Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,VTS,05/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100104671,261
Communities & Local Government,VTS,05/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100104671,5
Communities & Local Government,VTS,05/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100104671,8.83
Communities & Local Government,VTS,05/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100104671,30
Communities & Local Government,VTS,05/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100104671,5
Communities & Local Government,VTS,05/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100104671,9.2
Communities & Local Government,VTS,05/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100104671,2.88
Communities & Local Government,VTS,11/09/2014,Agency Staff,Human Resources,MICHAEL PAGE INTERNATIONAL,2100104675,"2,700.00"
Communities & Local Government,VTS,11/09/2014,Agency Staff,Human Resources,MICHAEL PAGE INTERNATIONAL,2100104676,864
Communities & Local Government,VTS,11/09/2014,Agency Staff,Human Resources,MICHAEL PAGE INTERNATIONAL,2100104677,864
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,23.39
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,10
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,5
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,4.4
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,5.94
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,10
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,6.6
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,10
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,4.4
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,14.8
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,5
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,9.6
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,6.64
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,5
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,10
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,6.6
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,6.19
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,10
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,35.6
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,5
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,2.2
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,9.6
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,5
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,4.88
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,2.2
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,26
Communities & Local Government,VTS,11/09/2014,Travel and Subsistence Account,Chief Executive's Resource,Staff Expenses,2100104678,9.6
Communities & Local Government,VTS,11/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100104681,5
Communities & Local Government,VTS,11/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100104681,132
Communities & Local Government,VTS,11/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100104681,13.3
Communities & Local Government,VTS,11/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100104681,72
Communities & Local Government,VTS,11/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100104681,79.2
Communities & Local Government,VTS,11/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100104681,42
Communities & Local Government,VTS,11/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100104681,255.35
Communities & Local Government,VTS,11/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100104681,15
Communities & Local Government,VTS,11/09/2014,Board Members Expenses NDPB,Board Cost,Board member expenses,2100104681,7.2
Communities & Local Government,VTS,11/09/2014,Domestic Services,Estates ,PHS DATASHRED,2100104685,360
Communities & Local Government,VTS,11/09/2014,Variable Maintenance < £15k,Estates ,COFELY LTD,2100104686,330.52
Communities & Local Government,VTS,11/09/2014,Variable Maintenance < £15k,Estates ,COFELY LTD,2100104687,"1,417.88"
Communities & Local Government,VTS,11/09/2014,Office Supplies,Operational,X M A LTD,2100104699,267.56
Communities & Local Government,VTS,11/09/2014,Printing,"Publications, Printing & Research",CLIFFE ENTERPRISE,2100104700,"12,000.00"
Communities & Local Government,VTS,11/09/2014,Domestic Services,Estates ,CLD SERVICES LTD,2100104702,838.61
Communities & Local Government,VTS,11/09/2014,Members Training,VTE,HON SOC OF THE MIDDLE TEMPLE,2100104718,"1,695.00"
Communities & Local Government,VTS,11/09/2014,Post,Chief Executive's Resource,NEOPOST LTD,2100104719,"5,000.00"
Communities & Local Government,VTS,11/09/2014,Financial Loss Allowance (NCS),Operational,Non staff Expenses,2100104724,116.58
Communities & Local Government,VTS,11/09/2014,Members Expenses NDPB,Operational,Non staff Expenses,2100104724,141.52
Communities & Local Government,VTS,11/09/2014,Members Expenses NDPB,Operational,Non staff Expenses,2100104724,10.38
Communities & Local Government,VTS,11/09/2014,Members Expenses NDPB,Operational,Non staff Expenses,2100104734,7.5
Communities & Local Government,VTS,11/09/2014,Members Expenses NDPB,Operational,Non staff Expenses,2100104734,216.33
Communities & Local Government,VTS,11/09/2014,Members Expenses NDPB,Operational,Non staff Expenses,2100104734,29.8
Communities & Local Government,VTS,12/09/2014,Financial Loss Allowance (NCS),Operational,Non staff Expenses,2100104783,186.54
Communities & Local Government,VTS,12/09/2014,Members Expenses NDPB,Operational,Non staff Expenses,2100104783,116.58
Communities & Local Government,VTS,12/09/2014,Members Expenses NDPB,Operational,Non staff Expenses,2100104783,20.76
Communities & Local Government,VTS,12/09/2014,Domestic Services,Operational,CLEANERS U LIKE,2100104791,424
Communities & Local Government,VTS,12/09/2014,Recruitment,Human Resources,GUARDIAN NEWS & MEDIA,2100104794,"1,080.00"
Communities & Local Government,VTS,12/09/2014,Meeting Expenses,Operational,BANNER BUSINESS SUPPLIES LTD,2100104795,63.12
Communities & Local Government,VTS,12/09/2014,Office Supplies,Chief Executive's Resource,BANNER BUSINESS SUPPLIES LTD,2100104795,832.34
Communities & Local Government,VTS,12/09/2014,Office Supplies,Operational,BANNER BUSINESS SUPPLIES LTD,2100104795,498.76
Communities & Local Government,VTS,12/09/2014,Office Supplies,Operational,BANNER BUSINESS SUPPLIES LTD,2100104795,296.54
Communities & Local Government,VTS,16/09/2014,Meeting Expenses,Operational,AVANTA HARROW LTD,2100104808,19.2
Communities & Local Government,VTS,16/09/2014,Temporary Accommodation,Operational,AVANTA HARROW LTD,2100104808,501
Communities & Local Government,VTS,16/09/2014,Mileage UK,Operational,Staff Expenses,2100104834,264.15
Communities & Local Government,VTS,16/09/2014,Mileage UK,Operational,Staff Expenses,2100104834,94.5
Communities & Local Government,VTS,16/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104834,6.5
Communities & Local Government,VTS,16/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104834,99.5
Communities & Local Government,VTS,16/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104834,14.1
Communities & Local Government,VTS,16/09/2014,Mileage UK,Operational,Staff Expenses,2100104835,113.4
Communities & Local Government,VTS,16/09/2014,Mileage UK,Operational,Staff Expenses,2100104835,86.4
Communities & Local Government,VTS,16/09/2014,Mileage UK,Operational,Staff Expenses,2100104835,56.7
Communities & Local Government,VTS,16/09/2014,Mileage UK,Operational,Staff Expenses,2100104835,24.3
Communities & Local Government,VTS,16/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104835,6.5
Communities & Local Government,VTS,16/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104835,4
Communities & Local Government,VTS,16/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104835,21.6
Communities & Local Government,VTS,16/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104835,8.7
Communities & Local Government,VTS,16/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104835,5
Communities & Local Government,VTS,16/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104835,3.65
Communities & Local Government,VTS,16/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104835,3
Communities & Local Government,VTS,16/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104835,3.37
Communities & Local Government,VTS,16/09/2014,Support services,Chief Executive's Resource,DCLG (ONLY FOR ERDF PAYOVER),2100104843,"5,625.00"
Communities & Local Government,VTS,18/09/2014,Support services,Chief Executive's Resource,*CGI IT UK LIMITED,2100104850,36.96
Communities & Local Government,VTS,18/09/2014,Support services,Chief Executive's Resource,*CGI IT UK LIMITED,2100104850,933.4
Communities & Local Government,VTS,18/09/2014,Agency Staff,Human Resources,MICHAEL PAGE INTERNATIONAL,2100104851,864
Communities & Local Government,VTS,18/09/2014,Agency Staff,Human Resources,MICHAEL PAGE INTERNATIONAL,2100104852,"2,700.00"
Communities & Local Government,VTS,18/09/2014,Heating and lighting,Estates ,BRITISH GAS BUSINESS,2100104853,788.74
Communities & Local Government,VTS,18/09/2014,Printing,"Publications, Printing & Research",CLIFFE ENTERPRISE,2100104856,297.6
Communities & Local Government,VTS,18/09/2014,Agency Staff,Human Resources,MICHAEL PAGE INTERNATIONAL,2100104857,"2,700.00"
Communities & Local Government,VTS,18/09/2014,Printing,"Publications, Printing & Research",CLIFFE ENTERPRISE,2100104858,588
Communities & Local Government,VTS,18/09/2014,Variable Maintenance < £15k,Estates ,COFELY LTD,2100104859,"3,982.68"
Communities & Local Government,VTS,18/09/2014,Welfare,Human Resources,RPS Business healthcare,2100104864,645
Communities & Local Government,VTS,19/09/2014,Meeting Expenses,Operational,AVANTA HARROW LTD,2100104869,28.8
Communities & Local Government,VTS,19/09/2014,Temporary Accommodation,Operational,AVANTA HARROW LTD,2100104869,612
Communities & Local Government,VTS,19/09/2014,Meeting Expenses,Operational,HOLIDAY INN NORTHAMPTON WEST,2100104870,12
Communities & Local Government,VTS,19/09/2014,Temporary Accommodation,Operational,HOLIDAY INN NORTHAMPTON WEST,2100104870,250
Communities & Local Government,VTS,19/09/2014,Mileage UK,Operational,Staff Expenses,2100104871,7.2
Communities & Local Government,VTS,19/09/2014,Mileage UK,Operational,Staff Expenses,2100104871,42.3
Communities & Local Government,VTS,19/09/2014,Mileage UK,Operational,Staff Expenses,2100104871,91.8
Communities & Local Government,VTS,19/09/2014,Mileage UK,Operational,Staff Expenses,2100104871,90.9
Communities & Local Government,VTS,19/09/2014,Mileage UK,Operational,Staff Expenses,2100104871,7.2
Communities & Local Government,VTS,19/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104871,4.3
Communities & Local Government,VTS,19/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104871,88
Communities & Local Government,VTS,19/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104871,3.2
Communities & Local Government,VTS,19/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104871,19.5
Communities & Local Government,VTS,19/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104871,9.79
Communities & Local Government,VTS,19/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104871,2.95
Communities & Local Government,VTS,19/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104871,5
Communities & Local Government,VTS,19/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104871,3.29
Communities & Local Government,VTS,19/09/2014,Travel and Subsistence Account,Operational,Staff Expenses,2100104871,6.09
Communities & Local Government,VTS,19/09/2014,Meeting Expenses,Operational,AVANTA HARROW LTD,2100104872,28.8
Communities & Local Government,VTS,19/09/2014,Temporary Accommodation,Operational,AVANTA HARROW LTD,2100104872,612
Communities & Local Government,VTS,19/09/2014,Meeting Expenses,Operational,AVANTA HARROW LTD,2100104873,19.2
Communities & Local Government,VTS,19/09/2014,Temporary Accommodation,Operational,AVANTA HARROW LTD,2100104873,408
Communities & Local Government,VTS,19/09/2014,Meeting Expenses,Operational,AVANTA HARROW LTD,2100104874,19.2
Communities & Local Government,VTS,19/09/2014,Temporary Accommodation,Operational,AVANTA HARROW LTD,2100104874,408
Communities & Local Government,VTS,19/09/2014,Temporary Accommodation,Operational,PREMIER INN,2100104875,714
Communities & Local Government,VTS,19/09/2014,Office Supplies,Operational,X M A LTD,2100104877,481.73
