Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
DEPARTMENT OF HEALTH,Airedale NHS Trust,10/06/11,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003152913,"44,749.19"
DEPARTMENT OF HEALTH,Airedale NHS Trust,30/06/11,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003155225,"42,542.99"
DEPARTMENT OF HEALTH,Airedale NHS Trust,03/06/11,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1223275,"33,176.62"
DEPARTMENT OF HEALTH,Airedale NHS Trust,03/06/11,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1223275,"6,635.32"
DEPARTMENT OF HEALTH,Airedale NHS Trust,30/06/11,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1225555,"33,176.62"
DEPARTMENT OF HEALTH,Airedale NHS Trust,30/06/11,VAT DEBTOR < ONE YEAR,BALANCE SHEET,CP PLUS LTD,12793/06,"24,237.50"
DEPARTMENT OF HEALTH,Airedale NHS Trust,30/06/11,DRUGS,PHARMACY,HEALTHCARE AT HOME LTD,OP/2503769,"34,320.00"
DEPARTMENT OF HEALTH,Airedale NHS Trust,24/06/11,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO07211,"183,124.89"
DEPARTMENT OF HEALTH,Airedale NHS Trust,24/06/11,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO07211,"140,438.43"
DEPARTMENT OF HEALTH,Airedale NHS Trust,24/06/11,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO07211,"56,346.12"
DEPARTMENT OF HEALTH,Airedale NHS Trust,24/06/11,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO07211,"46,955.10"
DEPARTMENT OF HEALTH,Airedale NHS Trust,24/06/11,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO07211,"28,087.69"
DEPARTMENT OF HEALTH,Airedale NHS Trust,24/06/11,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO07211,"14,043.94"
DEPARTMENT OF HEALTH,Airedale NHS Trust,24/06/11,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO07211,"3,197.64"
DEPARTMENT OF HEALTH,Airedale NHS Trust,24/06/11,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO07211,"1,944.24"
DEPARTMENT OF HEALTH,Airedale NHS Trust,24/06/11,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO07211,0.02
DEPARTMENT OF HEALTH,Airedale NHS Trust,24/06/11,CAPITAL CREDITORS < ONE YEAR,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO07211,-388.85
DEPARTMENT OF HEALTH,Airedale NHS Trust,24/06/11,CAPITAL CREDITORS < ONE YEAR,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO07211,"-1,944.24"
DEPARTMENT OF HEALTH,Airedale NHS Trust,24/06/11,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO07211,"-2,808.79"
DEPARTMENT OF HEALTH,Airedale NHS Trust,24/06/11,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO07211,"-14,043.94"
DEPARTMENT OF HEALTH,Airedale NHS Trust,24/06/11,B8D SENIOR MGRS,MEDICAL TRAINING,LEEDS PCT,19877057,"31,352.09"
DEPARTMENT OF HEALTH,Airedale NHS Trust,30/06/11,ADVERTISING AND STAFF RECRUITMENT,AGENCY STAFF,MEDACS HEALTHCARE PLC,863135,"25,070.38"
DEPARTMENT OF HEALTH,Airedale NHS Trust,03/06/11,BLOOD PRODUCTS,PATHOLOGY,NHS BLOOD AND TRANSPLANT,804061,"64,038.73"
DEPARTMENT OF HEALTH,Airedale NHS Trust,30/06/11,DRUGS,PHARMACY,NHS BUSINESS SERVICES AUTHORITY,PHS1000027578,"29,705.61"
