A3131,,,,,,,,,,Expenditure Over Threshold
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RUN AT 08/10/2013 17:13:25,,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Hcare Srv Rec NHS Trust,AMBULANCE SERVICES,NORTH WEST AMBULANCE SERVICE NHS TRUST,1067478,328853,,4110002888,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,External Consultancy Fees,CORPORATE COSTS & SERVICES,KPMG LLP,1068968,45000,,5500731237,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,1087826,29705,,1000142938,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Cont Care-Learning Disab(<65),MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,LANCASHIRE COUNTY COUNCIL,1088072,34272,,5100127335,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Cont Care-Learning Disab(<65),MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,LANCASHIRE COUNTY COUNCIL,1088111,35397.64,,5100127453,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Cont Care-Learning Disab(<65),MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,ST MARYS HOSPITALS LTD,1088179,27960,,2956,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EUXTON HALL HOSPITAL,1101014,493400.8,,11KMSEP13CHORLEY,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,1101039,283206,,2110003921,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Cont Care-Learning Disab(<65),MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,CALDERSTONES PARTNERSHIP NHS FOUNDATION TRUST,1132008,41093,,M0010219,
Department of Health,NHS Chorley And South Ribble CCG,30/09/2013,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1132181,116168,,213915,
