Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/07/2012,PHARMACY PILGRIM,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"34,978.32",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/07/2012,PHARMACY PILGRIM,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"33,626.28",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/07/2012,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,COFELY LTD,"33,099.60",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/07/2012,ENGIN & MAINT DAY TO DAY,DIRECTOR OF FACILITIES MANAGEMENT,J WILKINS LTD,"23,558.94",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/07/2012,STRUCTURE,CAPITAL PROGRAM,J TOMLINSON LTD,"93,648.00",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/07/2012,EQUIPMENT >5K,CAPITAL PROGRAM,SPECTRANETICS UK,"114,000.00",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/07/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"50,293.20",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/07/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"46,816.02",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/07/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"33,108.29",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/07/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"44,530.20",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/07/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"41,911.20",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/07/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"56,577.60",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/07/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,"54,000.00",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/07/2012,CONSULTANCY FEES,DIRECTOR OF SERVICE DELIVERY,NHS PROFESSIONALS,"90,000.00",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/07/2012,HAEMOPHILLIA BLOOD PRODUCTS,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"51,431.00",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/07/2012,HIRE OF CLINICAL EQUIPMENT,DIRECTOR OF NURSING & PATIENT SERVICES,ARJO HUNTLEIGH,"57,584.40",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/07/2012,EXTERNAL CONTRACTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"39,943.25",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/07/2012,HAEMOPHILLIA BLOOD PRODUCTS,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"66,451.00",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/07/2012,HIRE OF CLINICAL EQUIPMENT,DIRECTOR OF NURSING & PATIENT SERVICES,ARJO HUNTLEIGH,"55,968.07",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/07/2012,AGENCY STAFF CONSULTANTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"280,550.90",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/07/2012,HAEMOPHILLIA BLOOD PRODUCTS,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"53,010.00",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/07/2012,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"156,227.50",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/07/2012,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"27,466.92",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/07/2012,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"32,396.88",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/07/2012,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"56,342.40",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/07/2012,OTHER AMBULANCE SERVICES,DIRECTOR OF STRATEGY AND PERFORMANCE,AMVALE MEDICAL TRANSPORT LTD,"25,433.40",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/07/2012,XRAY MAINTENANCE,DIRECTOR OF NURSING & PATIENT SERVICES,TOSHIBA MEDICAL SYSTEMS,"261,485.46",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/07/2012,XRAY MAINTENANCE,DIRECTOR OF NURSING & PATIENT SERVICES,NHS SUPPLY CHAIN (MAIDSTONE),"25,693.23",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/07/2012,XRAY MAINTENANCE,DIRECTOR OF NURSING & PATIENT SERVICES,NHS SUPPLY CHAIN (MAIDSTONE),"25,693.23",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/07/2012,XRAY MAINTENANCE,DIRECTOR OF NURSING & PATIENT SERVICES,NHS SUPPLY CHAIN (MAIDSTONE),"25,693.23",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/07/2012,SW SUPPORT,DIRECTOR OF NURSING & PATIENT SERVICES,ACCENTURE UK LTD,"95,432.20",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/07/2012,CLINICAL SERVICE CONTRACT,DIRECTOR OF NURSING & PATIENT SERVICES,MEDICA GROUP,"34,365.95",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/07/2012,CLINICAL SERVICE CONTRACT,DIRECTOR OF NURSING & PATIENT SERVICES,MEDICA GROUP,"31,247.50",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/07/2012,HIRE OF CLINICAL EQUIPMENT,DIRECTOR OF NURSING & PATIENT SERVICES,ARJO HUNTLEIGH,"57,513.71",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/07/2012,CONSULTANCY FEES,DIRECTOR OF SERVICE DELIVERY,NHS PROFESSIONALS,"72,000.00",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/07/2012,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,DALKIA UTILITIES SERVICES PLC,"48,978.79",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/07/2012,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"251,310.74",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/07/2012,AGENCY STAFF CONSULTANTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"340,544.39",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/07/2012,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,COFELY LTD,"95,194.22",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/07/2012,ELECTRICITY,DIRECTOR OF FACILITIES MANAGEMENT,EDF ENERGY 1 LIMITED,"50,318.13",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/07/2012,ELECTRICITY,DIRECTOR OF FACILITIES MANAGEMENT,EDF ENERGY 1 LIMITED,"32,670.48",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/07/2012,TELEPHONES,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,BT PLC,"38,773.70",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/07/2012,OIL,DIRECTOR OF FACILITIES MANAGEMENT,CORONA ENERGY,"30,072.00",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/07/2012,GAS,DIRECTOR OF FACILITIES MANAGEMENT,CORONA ENERGY,"135,776.08",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/07/2012,WAN USAGE,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,BT GLOBAL SERVICES,"89,926.81",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/07/2012,BLOOD PRODUCTS,DIRECTOR OF SERVICE DELIVERY,NHS BLOOD AND TRANSPLANT,"80,389.83",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/07/2012,BLOOD PRODUCTS,DIRECTOR OF SERVICE DELIVERY,NHS BLOOD AND TRANSPLANT,"116,139.33",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/07/2012,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"236,893.95",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/07/2012,PHOTOCOPIER MACHINES,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,THE DANWOOD GROUP LTD,"88,183.68",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/07/2012,AGENCY STAFF CONSULTANTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"311,608.96",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/07/2012,ENGINEERING SERVICES,CAPITAL PROGRAM,ACS BPS LTD,"43,102.80",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/07/2012,RENTS,DIRECTOR OF FACILITIES MANAGEMENT,PROGRESS CARE HOUSING ASSOCIATION LTD,"89,749.16",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/07/2012,AGENCY STAFF CONSULTANTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"214,692.49",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/07/2012,COMPUTER PURCHASE ACCESSORIES,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,CACI LIMITED,"40,968.00",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/07/2012,RENTS,DIRECTOR OF SERVICE DELIVERY - GENERAL MEDICINE & A&E LINCOLN,REGENT'S PARK CARDIOVASCULAR SOLUTIONS L,"30,680.40",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/07/2012,STRUCTURE,CAPITAL PROGRAM,MOWBRAY & SON LTD,"86,802.81",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/07/2012,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"27,170.00",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/07/2012,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF FACILITIES MANAGEMENT,THE SUNLIGHT SERVICE GROUP LTD,"41,437.99",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/07/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE PRODUCT SERVICES,"47,460.00",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/07/2012,SERVICES FROM NON-NHS BODIES,DIRECTOR OF NURSING & PATIENT SERVICES,SYNERGY HEALTH (UK) LTD,"103,942.75",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/07/2012,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,COFELY LTD,"27,583.00",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/07/2012,ELECTRICITY,DIRECTOR OF FACILITIES MANAGEMENT,EDF ENERGY 1 LIMITED,"26,950.13",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/07/2012,ELECTRICITY,DIRECTOR OF FACILITIES MANAGEMENT,EDF ENERGY 1 LIMITED,"71,607.97",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/07/2012,ELECTRICITY,DIRECTOR OF FACILITIES MANAGEMENT,EDF ENERGY 1 LIMITED,"30,765.85",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/07/2012,EXTERNAL WORKS,CAPITAL PROGRAM,DANIEL CHARLES CONSTRUCTION LTD,"80,741.18",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/07/2012,FINISHES,CAPITAL PROGRAM,MOWBRAY & SON LTD,"209,091.24",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/07/2012,CHILDCARE VOUCHERS,PAN TRUST,KIDDIVOUCHERS LTD,"35,283.89",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/07/2012,POST MAR 95 RETIREMENTS,PROVISIONS,NHS PENSION SCHEME,"25,860.13",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/07/2012,BUILD MAINT DAY TO DAY,DIRECTOR OF FACILITIES MANAGEMENT,SEYMOUR & CASTLE LTD,"82,330.71",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/07/2012,CPAP MACHINES,DIRECTOR OF SERVICE DELIVERY - GENERAL SURGERY BOSTON,THE SNORING DISORDERS CENTRE LTD,"29,082.52",Jul-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/07/2012,CPAP MACHINES,DIRECTOR OF SERVICE DELIVERY - GENERAL SURGERY BOSTON,THE SNORING DISORDERS CENTRE LTD,"29,704.32",Jul-12
