objectid,scn16cd,scn16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E55000002,Cheshire and Merseyside,374405,380936,-2.38572001,53.32472992,2989507992.25242,607384.128678315
2,E55000003,"Greater Manchester, Lancashire and South Cumbria",362045,447378,-2.57940006,53.92115021,5983063958.19306,1179601.42850052
3,E55000004,Northern England,386194,549585,-2.21650004,54.84088898,16413727547.5481,1529989.50179806
4,E55000005,Yorkshire and The Humber,426652,443114,-1.59603,53.88354874,13417244336.0767,1485549.03589439
5,E55000006,East of England,571074,263229,0.50414598,52.24066925,19134642440.906,2492894.22853159
6,E55000007,East Midlands,477660,304146,-0.85403001,52.62953949,15313968770.827,1274620.5917748
7,E55000008,West Midlands,386294,295477,-2.2035799,52.55696869,13003726932.1382,921187.13361564
8,E55000009,South West,285015,102567,-3.63343,50.81119156,21198930533.3314,2934777.23696161
9,E55000010,South East Coast,555276,135827,0.216373,51.10071945,9195956300.03585,1277116.46291087
10,E55000011,Thames Valley,459681,205725,-1.13690996,51.74705124,5434673286.67174,514736.116992401
11,E55000012,Wessex,450080,116813,-1.28846002,50.94857025,6802277772.39985,1343278.01509985
12,E55000014,London,517516,178392,-0.30864,51.49227142,1573498439.21804,409656.25477969
