Body,Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Expense Code,Extended Description,Service Code,Service Label,Service Division Label,Service Division Code
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,06/03/2015,141178,2500,IAN CANNON LTD,CAN004,Communities Manager,NCL Ad-hoc Sports Pitches,1155,WORK ADJACENT TO PENRITH FC,LEICEN,Eden Leisure Centre & Appleby Swimming P,02130,Sports Facilities
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,06/03/2015,141225,1945,ASKINS & LITTLE STONEMASONRY SPECIALISTS,ASK005,Engineering Manager,Planned Maintenance,1016,STEPS TOWN HALL,ADMBLD,Administrative Buildings,00500,Town Hall
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,06/03/2015,141247,1912,BLUE JAM,BLU003,Communities Manager,Promotional activity,2084,PENRITH HALLOWEEN FESTIVAL 2014,TWNCEN,Town Centres,02636,Signature Events
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,06/03/2015,141282,557,CONTRACT SIGN SYSTEMS,CON005,Engineering Manager,Advertising,2086,POSTS/CAPS,OFFSTR,Vehicle Parking Off Street,02167,Vehicle parking
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,06/03/2015,141175,3058.2,CUMBRIA WASTE RECYCLING LTD,CUM022,Engineering Manager,material price fluctuations,3604,F-05-14/15,RECYCL,Recycling,03047,Recycling
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,06/03/2015,141179,1447.8,CUMBRIA COUNTY COUNCIL,CCC002,Engineering Manager,Professional fees,2045,SEARCHES IN JANUARY 2015,LANDCH,Land Charges,01002,Land Charges
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,06/03/2015,141192,4650,BRITTLETON BUILDERS,BRI007,Environmental Services,Capital grants,5505,140014/,MEREGR,1996 Mandatory Renovation Grants,06035,Disabled Facility Grants
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,06/03/2015,141217,1026.86,ROYAL MAIL NW,ROY001,Revenue/Benefits Manager,Postages,2054,POSTAGE 21.01.15 - 03.02.15,REVBEN,Revenue & Benefits,00106,Revenues
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,06/03/2015,141229,1080,CIVICA UK LTD,CIV002,Revenue/Benefits Manager,Supplies general,2015,REVENUE PROCESSING ON DEMAND JAN 15,CTXBEN,Council Tax Benefits,01164,Local Council Tax Scheme
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,06/03/2015,141233,2433.46,CARRIER DIRECT,CAR010,Communities Manager,Distribution,2051,JANUARY FULFILMENT COSTS 2015,TOUPRO,Tourism Promotion,02056,Eden Tourism
