Department for International Development,,,,,,,, Accounts 2011-12
,,,,,,,,
14.     Financial Instruments,,,,,,,,
,,,,,,,,
14.1 Non-Current Financial Assets - Equity Investments,,,,,,,,
,,,,,International Financial Institutions,CDC Group Plc,Actis LLP,Total
,,,,,£000,£000,£000,£000
,,,,,,,,
At 1 April 2010,,,,,"3,047,533 ","765,036 ","1,086 ","3,813,655 "
Additions,,,,,"5,756 ",-,-,"5,756 "
Revaluations,,,,,"47,245 ",-,555 ,"47,800 "
,,,,,,,,
At 1 April 2011,,,,,"3,100,534 ","765,036 ","1,641 ","3,867,211 "
Additions,,,,,"30,544 ",-,-,"30,544 "
Revaluations,,,,,"152,750 ",-,-,"152,750 "
Reclassification in year to current,,,,,-,-," (1,641)"," (1,641)"
At 31 March 2012,,,,,"3,283,828 ","765,036 ",-,"4,048,864 "
,,,,,,,,
,,,,,,,,
Current Financial Assets ,,,,,,,,
,,,,,,,Actis LLP,Total
,,,,,,,£000,£000
,,,,,,,,
At 1 April 2011,,,,,,,-,-
Additions,,,,,,,-,-
Reclassification in year from non-current,,,,,,,"1,641 ","1,641 "
Revaluations,,,,,,,37 ,37 
At 31 March 2012,,,,,,,"1,678 ","1,678 "
,,,,,,,,
The above relates to assets held by DFID.  CSC and ICAI do not hold any assets.,,,,,,,,
,,,,,,,,
Subsidiaries and associates: key data from last audited financial statements,,,,,,,,
,,,,,,,,Restated
,,,,,,,31 December 2011,31 December 2010
,,,,,,,£m's,£m's
CDC Group plc - Ordinary shares,,,,,,,,
Portfolio return (before tax),,,,,,, (66.3),258.5
Total return after tax,,,,,,, (72.0),268.7
Total net assets (valuation basis),,,,,,,"2,608.2 ",2803.5
,,,,,,,,
Actis LLP - Members capital,,,,,,,US $bn's,US $bn's
Funds under management,,,,,,,4.5,4.6
,,,,,,,,
,,,,,,,$m's,$m's
Profit / (loss) for the financial year available for division among Members,,,,,,,4.6,10.6
Total net assets,,,,,,,4.7,6.6
,,,,,,,,
,,,,,,,,
Department for International Development,,,,,,,, Accounts 2011-12
,,,,,,,,
14.      Financial Instruments (continued),,,,,,,,
,,,,,,,,
"All investments in IFIs are classified as 'available for sale' financial assets, as they do not meet the criteria for the other categories of financial assets specified in IAS 39. There is currently no intention to sell any of the investments shown above other than those classified within Current Financial Assets.",,,,,,,,
,,,,,,,,
Public Sector Bodies,,,,,,,,
,,,,,,,,
"DFID, on behalf of the Government, owns 100% of the issued ordinary share capital of CDC Group plc.  In 2004, fund management activities previously carried out by CDC were transferred to a newly formed limited liability partnership (Actis LLP).  As a result DFID, on behalf of the Government, owned 40% of the members capital of Actis LLP.  ",,,,,,,,
"In accordance with the FReM, investments in public corporations falling outside the resource accounting boundary, such as CDC and Actis LLP, are recognised at historical cost less any impairment.   Impairments are assessed by comparing the historic cost to DFID's share of net assets, with any impairment being taken to the statement of comprehensive net expenditure.",,,,,,,,
"HMT further requires that self financing public corporations achieve a rate of return, described as ""cost of capital"" to ensure that the opportunity cost of departments' investments is covered.  If the corporation does not meet its rate of return over each CSR period, then the shareholding department may face a further charge to the extent that such a return has not been met.",,,,,,,,
During CSR period 2008-2010 both Actis and CDC met their HMT determined rate of return and as a result no underperformance charge was levied.  ,,,,,,,,
,,,,,,,,
International financial institutions ,,,,,,,,
,,,,,,,,
"Investments in International Financial Institutions (IFIs) are valued at fair value.  There is no market in these investments - all shareholders are sovereign states.  Fair value has been assessed as DFID's share of the net assets of the IFI, based on the number of shares subscribed by DFID.  The Articles of Agreement of all the IFIs specify that this is the value that DFID would receive on the dissolution of the IFI.",,,,,,,,
"All investments in IFIs are denominated in a currency other then sterling.  DFID is therefore exposed to currency risk if the value of these currencies was to fall against sterling.  DFID is also exposed to market risk, as the value of each investment is dependent upon the net assets of the IFI.",,,,,,,,
Base currencies of investments in International Financial Institutions are shown below.  $(US) figures include those bodies for which US$ are used as the working equivalent for units of account formally expressed in Special Drawing Rights (SDR). Revaluations for IFIs include £55 million (net) of unrealised losses (2010-11: losses of £117 million) arising from changes in exchange rates.,,,,,,,,
Department for International Development,,,,,,,, Accounts 2011-12
,,,,,,,,
14.      Financial Instruments (continued),,,,,,,,
,,,,,,,,
International financial institutions (continued),,,,,,,,
,,,,,2011-12,,2010-11,
,,,,,Currency,,Currency,
,,,,, ' 000,£000, ' 000,£000
International Bank for Reconstruction and Development,,,,,"$1,766,200","1,103,241","$1,655,231","1,032,583"
International Finance Corporation,,,,,"$1,035,734","646,962","$937,671","584,947"
European Bank for Reconstruction and Development,,,,,"€ 1,186,660","988,702","€ 1,116,857","988,719"
Asian Development Bank,,,,,"$338,660","211,541","$368,263","229,734"
Inter-American Development Bank,,,,,"$183,218","114,445","$194,011","121,030"
African Development Bank (in Units of Account),,,,,"141,787","145,275","79,809","80,891"
Caribbean Development Bank,,,,,"$73,160","45,698","$57,987","36,174"
Multilateral Investment Guarantee Agency,,,,,"$44,769","27,964","$42,409","26,456"
,,,,,,"3,283,828 ",,"3,100,534"
,,,,,,,,
,,,,,,,,
14.2  Forward Currency Contracts,,,,,,,,
,,,,,,,,
During the year under review DFID entered into the purchase of forward purchases to cover its forecast net exposures in relation to a significant currency transaction in an area where the department operates.  No contracts matured in the period under review.,,,,,,,,
,,,,,,,,
"Forecast unrealised losses on forward purchases maturing in future periods, based on the actual exchange rates at the reporting period date, are analysed as follows:",,,,,,,,
,,,Foreign currency value,Sterling value,Unrealised gains,Unrealised losses,Maturing in,
,,,,£000,£000,£000,,
Current assets and liabilities,,,,,,,,
,,,,,,,,
South African Rand,,,"440,332,513","36,377 ", - ," (1,206)",2012-13,
,,,,"36,377 ", - ," (1,206)",,
Non Current Assets and Liabilities,,,,,,,,
,,,,,,,,
South African Rand,,,"484,677,155","38,146 ", - ," (1,561)",2013-14,
South African Rand,,,"243,103,976","18,443 ", - , (854),2014-15,
,,,,"56,589 ", - ," (2,415)",,
,,,,,,,,
Total,,,,"92,966 ", - ," (3,621)",,
,,,,,,,,
Department for International Development,,,,,,,, Accounts 2011-12
,,,,,,,,
14.      Financial Instruments (continued),,,,,,,,
,,,,,,,,
14.3 Interest rate exposure - 2011-12,,,,,,,,
,,,,Fixed rate,Floating rate,No interest,Total,Fixed rate weighted average interest rate
,,,,£000,£000,£000,£000, % 
2011-12 Financial Assets/(Liabilities): Cash,,,,,,,,
Sterling,,,, - ,"1,019","(5,909)","(4,890)", -   
US dollars,,,, - ,"1,229", - ,"1,229", -   
Euro,,,, - ,(90), - ,(90), -   
Other currencies,,,, - ,722, - ,722, -   
Total,,,, - ,"2,880","(5,909)","(3,029)", -   
,,,,,,,,
2011-12 Financial Assets: Loans and receivables,,,,,,,,
Sterling,,,,"6,292","11,074","13,967","31,333",3.21%
US dollars,,,, - , - , - , -   , - 
Euro,,,, - , - ,"60,538","60,538", - 
Other currencies,,,, - , - , - , -   , - 
Total,,,,"6,292","11,074","74,505","91,871",3.21%
,,,,,,,,
2011-12 Financial Assets: Available for sale,,,,,,,,
Sterling,,,, - , - , -   , - , - 
US dollars,,,, - , - ,"2,149,851","2,149,851", - 
Euro,,,, - , - ,"988,702","988,702", - 
Other currencies,,,, - , - ,"145,275","145,275", - 
Total,,,, - , - ,"3,283,828","3,283,828", - 
,,,,,,,,
2011-12 Financial liabilities: promissory notes at amortised cost,,,,,,,,
Sterling,,,, - , - ,"2,587,391","2,587,391", - 
US dollars,,,, - , - ,"1,343","1,343", - 
Euro,,,, - , - , - , - , - 
Other currencies,,,, - , - , - , - , - 
Total,,,, - , - ,"2,588,734","2,588,734", - 
,,,,,,,,
2011-12 Financial liabilities: other payables at amortised cost,,,,,,,,
Sterling,,,, - , - ,"220,089","220,089", - 
Other currencies,,,, - , - , - , -   , - 
Total,,,, - , - ,"220,089","220,089", - 
,,,,,,,,
Department for International Development,,,,,,,, Accounts 2011-12
,,,,,,,,
14.      Financial Instruments (continued),,,,,,,,
,,,,,,,,
Interest rate exposure - 2010-11,,,,,,,,
,,,,Fixed rate,Floating rate,No interest,Total,Fixed rate weighted average interest rate
,,,,£000,£000,£000,£000, % 
2010-11 Financial Assets: Cash,,,,,,,,
Sterling,,,, - ,"1,356 "," (20,681)"," (19,325)", -   
US dollars,,,, - ,"1,100 ", - ,"1,100 ", -   
Euro,,,, - , - , - , - , -   
Other currencies,,,, - ,"1,149 ", - ,"1,149 ", -   
Total,,,, - ,"3,605","(20,681)","(17,076)", -   
,,,,,,,,
2010-11 Financial Assets: Loans and receivables,,,,,,,,
Sterling,,,,"7,144","11,434","13,298 ","31,876 ",3.20%
US dollars,,,, - , - , - , - , -   
Euro,,,, - , - ,"96,296 ","96,296 ", -   
Other currencies,,,, - , - , - , - , -   
Total,,,,"7,144","11,434","109,594","128,172",3.20%
,,,,,,,,
2010-11 Financial Assets: Available for sale,,,,,,,,
Sterling,,,, - , - , - , - , -   
US dollars,,,, - , - ,"2,030,924 ","2,030,924 ", -   
Euro,,,, - , - ,"988,719 ","988,719 ", -   
Other currencies,,,, - , - ,"80,891 ","80,891 ", -   
Total,,,, - , - ,"3,100,534","3,100,534", -   
,,,,,,,,
2010-11 Financial liabilities: promissory notes at amortised cost,,,,,,,,
Sterling,,,, - , - ,"2,242,238 ","2,242,238 ", -   
US dollars,,,, - , - ,"1,341 ","1,341 ", -   
Euro,,,, - , - , - , - , -   
Other currencies,,,, - , - , - , - , -   
Total,,,, - , - ,"2,243,579","2,243,579", -   
,,,,,,,,
2010-11 Financial liabilities: other payables at amortised cost,,,,,,,,
Sterling,,,, - , - ,"209,326 ","209,326 ", -   
Other currencies,,,, - , - , - , - , -   
Total,,,, - , - ,"209,326","209,326", -   
,,,,,,,,
Department for International Development,,,,,,,, Accounts 2011-12
,,,,,,,,
14.      Financial Instruments (continued),,,,,,,,
,,,,,,,,
14.4 Currency risk exposures,,,,,,,,
The tables below show the Department’s currency exposures that give rise to exchange rate gains and losses that are recognised in the operating cost statement.  Such exposures comprise those monetary assets and liabilities that are not denominated in the Department’s functional currency of sterling.,,,,,,,,
,,,,,,,,
,,,,,,31 March 2012,31 March 2011,
,,,,,,£000,£000,
,,,,,,,,
US dollars,,,,,,"1,229 ","1,100 ",
Euro,,,,,,"58,322 ","96,296 ",
Other currencies,,,,,,722 ,"1,149 ",
Total,,,,,,"60,273","98,544",
,,,,,,,,
,,,,,,,,
The table below shows the functional currency of the Department's investments classed as available for sale.,,,,,,,,
,,,,,,31 March 2012,31 March 2011,
,,,,,,£000,£000,
,,,,,,,,
US dollars,,,,,,"2,149,851 ","2,030,924 ",
Euros,,,,,,"988,702 ","988,719 ",
Unit of Account (African Development Bank),,,,,,"145,275 ","80,891 ",
Total,,,,,,"3,283,828 ","3,100,534 ",
,,,,,,,,
14.5 Liquidity risk,,,,,,,,
The following tables show the maturity profile of the Department’s financial assets and liabilities other than cash and equity investments.,,,,,,,,
,,,,,,31 March 2012,31 March 2011,
,,,,,,,,
Financial assets: maturity profile,,,,,,£000, £000 ,
,,,,,,,,
Due on demand,,,,,, - , - ,
"Due within one year, but not on demand",,,,,,"12,168","16,752",
Due within one to two years,,,,,,"10,428","15,048",
Due within two to three years,,,,,,"8,578","16,596",
Due within three to four years,,,,,,"11,202","14,045",
Due within four to five years,,,,,,"8,340","11,879",
Due after five years,,,,,,"41,155","53,852",
Total,,,,,,"91,871","128,172",
Department for International Development,,,,,,,, Accounts 2011-12
,,,,,,,,
14.      Financial Instruments (continued),,,,,,,,
,,,,,,,,
14.5 Liquidity risk (continued),,,,,,,,
,,,,,,31 March 2012,31 March 2011,
Financial liabilities: maturity profile,,,,,,£000, £000 ,
,,,,,,,,
Due on demand,,,,,,"2,588,734","2,243,579 ",
"Due within one year, but not on demand",,,,,,"173,879","171,532 ",
Due within one to five years,,,,,,"57,097","66,565 ",
Less interest element of finance lease,,,,,,"(19,798)"," (28,771)",
Total,,,,,,"2,799,912","2,452,905 ",
,,,,,,,,
,,,,,,,,
14.6 Credit risk,,,,,,,,
,,,,,,,,
The carrying amount of financial assets represents the maximum credit exposure. The maximum exposure to credit risk was as follows:,,,,,,,,
,,,,,,,,
,,,,,,31 March 2012,31 March 2011,
,,,Note,,,£000, £000 ,
,,,,,,,,
Fair value financial assets,,,14.1,,,"3,283,828","3,100,534",
Loans and receivables,,,16,,,"91,871","128,172",
Cash and cash equivalents,,,17,,,"(3,029)","(17,076)",
Total,,,,,,"3,372,670","3,211,629",
,,,,,,,,
The Department's ageing analysis was as follows:,,,,,,,,
,,,,,,Net loans and receivables,,
,,,,,,31 March 2012,31 March 2011,
,,,,,, £000 , £000 ,
,,,,,,,,
Not past due,,,,,,"32,342","68,643",
Past due not provided against,,,,,,"59,529","59,529",
Total,,,,,,"91,871","128,172",
,,,,,,,,
Department for International Development,,,,,,,, Accounts 2011-12
,,,,,,,,
14.      Financial Instruments (continued),,,,,,,,
,,,,,,,,
14.6 Credit risk (continued),,,,,,,,
,,,,,,,,
The movement in provisions against loans and receivables was as follows:,,,,,,,,
,,,,,,,,
