Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",177,169.53,353,337.17,1051,1016.63,569,546.06,96,93.59,0,0,2246,2162.98,20,20,9,9,54,54,3,3,86,86,2332,2248.98,"£6,842,513","-£1,569",£574,"£24,761","£1,261,434","£542,323","£8,670,036","£757,908","£33,229","£791,136","£9,461,172",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",839,766.91,539,505.35,752,704.27,181,175.57,9,9,0,0,2320,2161.1,48,47.4,2,2,33,33,0,0,83,82.4,2403,2243.5,"£5,337,893","£68,857","£713,232","£86,506","£1,039,203","£504,554","£7,750,245","£276,248",£0,"£276,248","£8,026,493",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",86,79.45,132,125.63,242,226.14,93,89.1,3,3,0,0,556,523.32,0,0,0,0,0,0,0,0,0,0,556,523.32,"£1,298,269","£48,732","£4,069","£30,791","£248,859","£106,093","£1,736,813",£0,£0,£0,"£1,736,813",
Food and Environment Research Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",153,139.44,137,126.36,215,198.49,74,71.26,4,4,18,18,601,557.55,9,9,2,2,5,5,1,1,17,17,618,574.55,"£1,321,994","£18,031","£21,686","£8,826","£96,598","£248,870","£1,716,005","£35,264","£13,234","£48,498","£1,764,503",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",792,701.31,617,568.18,503,482.44,151,149.84,15,15,0,0,2078,1916.77,60,60,63,63,0,0,0,0,123,123,2201,2039.77,"£4,295,919","£62,713","£11,925","£73,196","£788,335","£315,085","£5,547,173","£44,013","£610,396","£654,408","£6,201,582","With the introduction of a new HR system in July, currently we are not in a position to provide separate figures for our interim managers and specialist contractors so the figure provided in column T&U is for both of these roles."
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",36,34.43,30,28.52,49,48.41,41,40.7,3,3,0,0,159,155.06,9,8,0,0,2,0.4,0,0,11,8.4,170,163.46,"£456,782","£9,211","£82,342","£3,951","£94,147","£50,393","£696,826","£38,091",£0,"£38,091","£734,917",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Board does not employ any staff
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Committees do not employ any staff
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,392,380.84,392,380.84,19,19,0,0,26,26,0,0,45,45,437,425.84,"£1,107,884","£46,715",£0,"£11,802","£100,156","£129,529","£1,396,087","£56,092",£0,"£56,092","£1,452,179",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",9,8.42,30,28.98,19,17.92,8,8,4,4,0,0,70,67.32,2,2,0,0,0,0,0,0,2,2,72,69.32,"£176,924",£417,£0,£0,"£31,934","£14,102","£223,377","£3,375",£0,"£3,375","£226,752",
Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1834,1719.3,2637,2488.84,3016,2862.5,1787,1721.36,121,120.27,927,917.92,10322,9830.19,243,236.64,67,64.68,67,66.4,71,67.14,448,434.86,10770,10265.05,"£25,060,235","£201,694","£5,359","£772,235","£3,287,116","£2,047,112","£31,373,751","£505,399","£1,485,764","£1,991,163","£33,364,914",
Joint Nature Conservation Committee,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",14,12.74,25,24.11,119,113.61,22,20.55,1,1,6,1.05,187,173.06,0.5,0.5,0,0,0,0,0,0,0.5,0.5,187.5,173.56,"£436,696","£7,697","£1,750","£4,586","£82,553","£34,001","£567,284",£752,£0,£752,"£568,035",
Marine Management Organisation,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",32,30.75,89,86.92,99,96.56,38,37.9,5,4.81,0,0,263,256.94,9,9,0,0,0,0,0,0,9,9,272,265.94,"£672,000",£0,£0,"£8,484","£131,725","£50,815","£863,023","£8,149",£0,"£8,149","£871,172",
National Forest Company,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1,1,4,4,12,10,1,1,1,1,0,0,19,17,0,0,0,0,0,0,0,0,0,0,19,17,"£50,597",£175,£961,£0,"£9,336","£3,870","£64,939",£0,£0,£0,"£64,939",
Natural England,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",212,192.73,342,323.14,1344,1260.99,166,163.55,20,20,11,10.4,2095,1970.81,228,227.2,0,0,0,0,0,0,228,227.2,2323,2198.01,"£4,992,446","£56,481",£758,"£38,047","£946,541","£377,350","£6,411,623","£276,704",£0,"£276,704","£6,688,327",
"Royal Botanic Gardens, Kew",Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",212,192.2,155,145.6,180,173.4,56,54.6,11,11,76,76,690,652.8,21,20,9,8.2,4,4,0,0,34,32.2,724,685,"£1,613,219","£3,092",£0,"£17,765","£295,612","£123,780","£2,053,468","£93,821","£11,007","£104,827","£2,158,295",
Sea Fish Industry Authority,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",4,4,0,0,0,0,0,0,0,0,76,76,80,80,0,0,0,0,0,0,0,0,0,0,80,80,"£242,819",£18,£0,£0,"£29,674","£21,770","£294,281",£0,£0,£0,"£294,281",Bulk of staff do not fall into specified categories.
