Primary Liable party name,Full Property Address,Current Rateable Value,2010 NDR - Analysis code desc,Account Start date
Barrow Borough Council,"Stall 74, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",2125,Shop,17/03/2017
Bonilla Enterprise Ltd,"Black Bull, 14, Tudor Square, Dalton In Furness, Cumbria, LA15 8RJ",8000,Public House,03/03/2017
Gorgemead Limited,"108-110, Duke Street, Barrow In Furness, Cumbria, LA14 1LW",14000,Shop,01/03/2017
Gorgemead Limited,"168-170, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",29250,Shop,01/03/2017
Gorgemead Limited,"3, Anchor Road, Barrow In Furness, Cumbria, LA14 2QW",4650,Shop,01/03/2017
Gorgemead Limited,"42-44, Middlefield, Barrow In Furness, Cumbria, LA14 4BX",8000,Shop,01/03/2017
Gorgemead Limited,"62, Rawlinson Street, Barrow In Furness, Cumbria, LA14 2DN",7800,Shop,01/03/2017
Gorgemead Limited,"66-68, Dalton Road, Barrow In Furness, Cumbria, LA14 1JB",11250,Shop,01/03/2017
Gorgemead Limited,"First Floor Flat, 56b, Settle Street, Barrow In Furness, Cumbria, LA14 5HF",5700,Shop,01/03/2017
Gorgemead Limited,"J N Murray, Friars Lane, Barrow In Furness, Cumbria, LA13 9NN",14500,Shop,01/03/2017
Gorgemead Limited,"J N Murray Ltd, Central Drive, Barrow In Furness, Cumbria, LA14 3HY",13250,Shop,01/03/2017
Gorgemead Limited,"J N Murray, The Pharmacy, Warwick Street, Barrow In Furness, Cumbria, LA14 5AY",12750,Shop,01/03/2017
Musson Projects Llp,"Suite 6c Victoria Hall, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1BX",830,Offices,01/03/2017
Real State Company Ltd,"103-105, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",34250,Shop,01/03/2017
St Marys Hospice,"Agrilek Ltd,, Duke Street, Barrow In Furness, Cumbria, LA14 5UL",52000,Workshop,04/03/2017
Trustees Barrow Community Kitchen,"Community Centre, Longway, Barrow In Furness, Cumbria, LA13 ODW",4000,Community Centre,10/03/2017
