Department Family,Entity,Voucher Date,Expense Type,Expense Area,Supplier,Transaction Number,Tax Code,Amount,Vat Registration Number,
NHS,NHS Hertfordshire,07/03/2011,Agency - Management,Finance & Commercial Development,LEAP,10040128,R,"29,225.00",853 2015 54,
NHS,NHS Hertfordshire,04/01/2011,Alcohol Misuse-Stevenage Community Projects,Primary Care Community Projects (East),HERTFORDSHIRE COUNTY COUNCIL,10032000,0,"42,812.00",,
NHS,NHS Hertfordshire,22/03/2011,Bowel Screening,Non block - NHS,NOTTINGHAM UNI.HOSP.NHS TRUST,10043011,0,"140,652.78",654 4348 27,
NHS,NHS Hertfordshire,28/03/2011,Bowel Screening,NHS SLA,WEST HERTFORDSHIRE HOSPITALS N,10043714,0,"40,130.00",,
NHS,NHS Hertfordshire,28/03/2011,Bowel Screening,NHS SLA,WEST HERTFORDSHIRE HOSPITALS N,10043715,0,"40,130.00",,
NHS,NHS Hertfordshire,24/01/2011,Building - Equipment & Materials,Facilities Management,CARILLION SERVICES LTD,10034485,NR,"46,496.28",100 6366 17,
NHS,NHS Hertfordshire,24/01/2011,Building - Equipment & Materials,Facilities Management,CARILLION SERVICES LTD,10034486,NR,418.15,100 6366 17,
NHS,NHS Hertfordshire,24/01/2011,Building - Equipment & Materials,Facilities Management,CARILLION SERVICES LTD,10034486,NR,"4,461.48",100 6366 17,
NHS,NHS Hertfordshire,24/01/2011,Building - Equipment & Materials,Facilities Management,CARILLION SERVICES LTD,10034486,NR,328.19,100 6366 17,
NHS,NHS Hertfordshire,24/01/2011,Building - Equipment & Materials,Facilities Management,CARILLION SERVICES LTD,10034486,NR,266.83,100 6366 17,
NHS,NHS Hertfordshire,24/01/2011,Building - Equipment & Materials,Facilities Management,CARILLION SERVICES LTD,10034486,NR,177.26,100 6366 17,
NHS,NHS Hertfordshire,24/01/2011,Building - Equipment & Materials,Facilities Management,CARILLION SERVICES LTD,10034486,NR,580.37,100 6366 17,
NHS,NHS Hertfordshire,24/01/2011,Building - Equipment & Materials,Facilities Management,CARILLION SERVICES LTD,10034486,NR,"8,767.65",100 6366 17,
NHS,NHS Hertfordshire,24/01/2011,Building - Equipment & Materials,Facilities Management,CARILLION SERVICES LTD,10034486,NR,"4,137.53",100 6366 17,
NHS,NHS Hertfordshire,24/01/2011,Building - Equipment & Materials,Facilities Management,CARILLION SERVICES LTD,10034486,NR,695.40,100 6366 17,
NHS,NHS Hertfordshire,24/01/2011,Building - Equipment & Materials,Facilities Management,CARILLION SERVICES LTD,10034486,NR,"2,782.62",100 6366 17,
NHS,NHS Hertfordshire,24/01/2011,Building - Equipment & Materials,Facilities Management,CARILLION SERVICES LTD,10034486,NR,"1,263.09",100 6366 17,
NHS,NHS Hertfordshire,24/01/2011,Building - Equipment & Materials,Facilities Management,CARILLION SERVICES LTD,10034486,NR,180.82,100 6366 17,
NHS,NHS Hertfordshire,24/01/2011,Building - Equipment & Materials,Facilities Management,CARILLION SERVICES LTD,10034486,NR,625.10,100 6366 17,
NHS,NHS Hertfordshire,24/01/2011,Building - Equipment & Materials,Facilities Management,CARILLION SERVICES LTD,10034486,NR,"6,601.15",100 6366 17,
NHS,NHS Hertfordshire,09/03/2011,Building - External Contracts,Balance Sheet Capital (Commissioner),ARJ CONSTRUCTION LTD,10040586,0,"96,322.30",880 3768 94,
NHS,NHS Hertfordshire,22/03/2011,Building - External Contracts,Balance Sheet Capital (Commissioner),ARJ CONSTRUCTION LTD,10042891,0,"38,215.55",880 3768 94,
NHS,NHS Hertfordshire,31/03/2011,Building - External Contracts,Balance Sheet Capital (Commissioner),ARJ CONSTRUCTION LTD,10044223,0,"40,200.00",880 3768 94,
NHS,NHS Hertfordshire,11/03/2011,Building - External Contracts,Balance Sheet Capital (Commissioner),BENCHMARK CONTRACTS LTD,10041114,R,"51,337.53",599 3177 80,
NHS,NHS Hertfordshire,01/04/2011,Building - External Contracts,Balance Sheet Capital (Commissioner),G.D.CONTRUCTION (ST.ALBANS) LTD,10044301,0,"35,984.47",745 3848 05,
