CPS outcomes by principal offence category Northumbria October 2010,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,1,100.00%,0,0.00%
B Offences Against The Person,245,73.80%,87,26.20%
C Sexual Offences,10,47.60%,11,52.40%
D Burglary,87,95.60%,4,4.40%
E Robbery,12,80.00%,3,20.00%
F Theft And Handling,460,92.40%,38,7.60%
G Fraud And Forgery,21,95.50%,1,4.50%
H Criminal Damage,146,90.10%,16,9.90%
I Drugs Offences,148,98.70%,2,1.30%
J Public Order Offences,330,86.60%,51,13.40%
K All Other Offences (excluding Motoring),312,88.40%,41,11.60%
L Motoring Offences,618,91.70%,56,8.30%
Admin Finalisations,0,0.00%,8,100.00%
TOTAL,"2,390",88.30%,318,11.70%
