Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,174,162.61,224,217.64,693,679.37,620,596.26,115,111.76,0,0,1826,1767.64,12,12,1,1,116,100.72,0,0,129,113.72,1955,1881.36,6912131.58,25925.16,112708.77,96511.04,1375830.35,651641.89,9174748.79,1553002.99,96651.84,1649654.83,10824403.62,
Driving Standards Agency,Executive Agency,Department for Transport,232,194.09,1789,1675.51,215,210.87,43,42.45,2,2,0,0,2281,2124.92,5,5,2,2,0,0,0,0,7,7,2288,2131.92,4551539.74,110589.87,,146360.19,866132.59,345537.13,6020159.52,,13696.8,13696.8,6033856.32,
Driver & Vehicle Licensing Agency,Executive Agency,Department for Transport,4284,3785.29,755,715.51,624,605.42,130,125.76,5,5,0,0,5798,5236.98,0,0,3,2.3,2,1.4,0,0,5,3.7,5803,5240.68,9148874,85474.33,83,62913,1600957.33,571366.98,11469668.64,75679.21,51178.5,126857.71,11596526.35,
Highways Agency,Executive Agency,Department for Transport,1392,1349,324,306,1354,1307.44,322,311.65,36,35.19,0,0,3428,3309.28,0,0,82,23.45,0,0,0,0,82,23.45,3510,3332.73,8390376.04,633954.49,6852.65,71922.12,1767293.56,687721.32,11558120.18,472453.07,,472453.07,12030573.25,
Maritime & Coastguard Agency,Executive Agency,Department for Transport,409,371.25,222,208.82,307,287.19,106,104.07,6,5.49,0,0,1050,976.82,8,8,0,0,0,0,4,4,12,12,1062,988.82,2282288.25,198496.53,39200,117111.2,467199.13,208664.47,3312959.58,27887.62,121584,149471.62,3462431.2,
Vehicle Certification Agency,Executive Agency,Department for Transport,41,34.52,36,33.75,75,73.2,12,12,1,1,0,0,165,154.47,5,5,0,0,0,0,0,0,5,5,170,159.47,463070,10194,0,5918,103192,36627,619001,15782.04,,15782.04,634783.04,
Vehicle & Operator Services Agency,Executive Agency,Department for Transport,1038,969.36,796,781.16,399,392.63,41,40.95,4,4,0,0,2278,2188.1,27,27,12,12,16,16,0,0,55,55,2333,2243.1,4546442.16,307970.45,24953.6,297461.16,899198.66,396680.91,6472706.94,284636.34,3564.54,288200.88,6760907.82,
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,1,1,4,3.2,3,2.7,2,2,0,0,10,8.9,0,0,0,0,1,1,0,0,1,1,11,9.9,37235,3542,0,0,4772,3518,49067,30956.09,83.87,31039.96,80106.96,
Directly Operated Railways Ltd,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,0,0,0,0,14,11.4,14,11.4,0,0,0,0,1,0.1,0,0,1,0.1,15,11.5,40279.53,0,0,0,12748.25,18442.33,71470.11,,42212.5,42212.5,113682.61,
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,61,59.3,11,11,182,179.5,85,84.6,15,14.8,5,5,359,354.2,27,26,48,47.6,120,120,0,0,195,193.6,554,547.8,1508409.95,,0,789.92,89013.8,158118.96,1756332.63,785346.24,317685.54,1103031.78,2859364.41,
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,28,10.5,18,18,68,67.6,14,13.8,4,4,69,63.7,201,177.6,6,1.7,0,0,0,0,0,0,6,1.7,207,179.3,513804,9966,480,26951,2560,46781,600542,11349.1,,11349.1,611891.1,
Passenger Focus,Executive Non-Departmental Public Body,Department for Transport,1,1,16,15.2,13,12.6,10,10,2,2,0,0,42,40.8,1,1,0,0,4,0.9,0,0,5,1.9,47,42.7,140227,244,0,0,26289,12927,179687,5824.56,1620,7444.56,187131.56,
Trinity House,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,0,0,0,0,298,291,298,291,6,6,0,0,0,0,0,0,6,6,304,297,834344.9,3319.94,0,47469.5,325.25,72949.56,958409.15,14536.15,,14536.15,972945.3,
