Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Amount in Sterling,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/01/2011,PATHOLOGY SERVICES,DIAGNOSTICS PAN TRUST,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"769,939.00",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/01/2011,PATHOLOGY SERVICES,DIAGNOSTICS PAN TRUST,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"769,939.00",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/01/2011,CNST CONTRIBUTIONS,CHIEF NURSE,NHS LITIGATION AUTHORITY,"2,423,418.62",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/01/2011,CNST CONTRIBUTIONS,WOMEN & CHILDRENS PAN TRUST,NHS LITIGATION AUTHORITY,"2,851,763.38",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/01/2011,CNST CONTRIBUTIONS,CHIEF NURSE,NHS LITIGATION AUTHORITY,"64,857.18",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/01/2011,CNST CONTRIBUTIONS,WOMEN & CHILDRENS PAN TRUST,NHS LITIGATION AUTHORITY,"76,320.82",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/01/2011,PATHOLOGY SERVICES,DIAGNOSTICS PAN TRUST,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"769,939.00",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/01/2011,PATHOLOGY SERVICES,DIAGNOSTICS PAN TRUST,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"769,939.00",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/01/2011,ENERGY & UTILITIES OTHER NHS,FACILITIES / ESTATES,LINCOLNSHIRE PCT,"1,027.00",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/01/2011,OTHER ADMIN & CLERICAL,EMERGENCY CARE - PILGRIM,LINCOLNSHIRE PCT,"8,110.92",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/01/2011,OTHER ANCILLARY,FACILITIES / ESTATES,LINCOLNSHIRE PCT,"5,559.51",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/01/2011,OTHER NURSING,EMERGENCY CARE - PILGRIM,LINCOLNSHIRE PCT,"15,082.00",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/01/2011,PREMISES RENT OTHER NHS BODIES,FACILITIES / ESTATES,LINCOLNSHIRE PCT,"1,255.33",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/01/2011,PATHOLOGY SERVICES,DIAGNOSTICS PAN TRUST,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"769,939.00",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/01/2011,STRUCTURE,CAPITAL PROGRAM,LINDUM GROUP LTD,"50,306.31",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/01/2011,COMPUTER MAINTENANCE,INFORMATION TECHNOLOGY,BT GLOBAL SERVICES,"513,878.41",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/01/2011,WAN USAGE,INFORMATION TECHNOLOGY,BT GLOBAL SERVICES,"38,701.42",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,BLOOD PRODUCTS,DIAGNOSTICS PAN TRUST,NHS BLOOD AND TRANSPLANT,"143,301.36",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,BLOOD PRODUCTS,DIAGNOSTICS PAN TRUST,NHS BLOOD AND TRANSPLANT,"26,328.47",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,PHARMACY,DIAGNOSTICS PAN TRUST,HEALTHCARE PRODUCT SERVICES,"69,040.65",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/01/2011,EQUIPMENT >#5K,CAPITAL PROGRAM,SIEMENS PLC,"709,723.50",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/01/2011,PATHOLOGY SERVICES,DIAGNOSTICS PAN TRUST,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"769,939.00",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/01/2011,ENGIN AND MAINT EXT CONTRACTS,FACILITIES / ESTATES,APOLLO LIFTS LTD,"26,093.75",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,PHARMACY PILGRIM,DIAGNOSTICS PAN TRUST,ROCHE PRODUCTS LTD,"27,494.88",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/01/2011,PHARMACY,DIAGNOSTICS PAN TRUST,NOVARTIS PHARMACEUTICALS,"36,117.34",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/01/2011,LEGAL FEES - EMPLOYMENT,CHIEF NURSE,BEACHCROFT LLP,"24,054.63",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/01/2011,STRUCTURE,CAPITAL PROGRAM,MOWBRAY & SON LTD,"101,175.46",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,PHARMACY,DIAGNOSTICS PAN TRUST,GILEAD SCIENCES LTD,"30,849.04",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/01/2011,PHARMACY,DIAGNOSTICS PAN TRUST,NOVARTIS PHARMACEUTICALS,"38,233.64",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,PHARMACY,DIAGNOSTICS PAN TRUST,ROCHE PRODUCTS LTD,"68,393.22",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/01/2011,PATHOLOGY SERVICES,DIAGNOSTICS PAN TRUST,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"73,721.00",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,SUBSCRIPTION  FEES,CHIEF EXECUTIVE,NOTTINGHAM HEALTHCARE NHS TRUST,"81,198.52",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/01/2011,EQUIPMENT >#5K,CAPITAL PROGRAM,TOSHIBA MEDICAL SYSTEMS,"68,664.66",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/01/2011,ENGIN SERVICES,CAPITAL PROGRAM,COFELY LTD,"76,200.89",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/01/2011,PATHOLOGY SERVICES,DIAGNOSTICS PAN TRUST,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"769,939.00",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/01/2011,CLINICAL SERVICE CONTRACT,DIAGNOSTICS PAN TRUST,MEDICA GROUP,"37,821.50",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,EXTERNAL LAUNDRY CONTRACT,FACILITIES / ESTATES,THE SUNLIGHT SERVICE GROUP LTD,"46,621.77",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/01/2011,PATHOLOGY SERVICES,DIAGNOSTICS PAN TRUST,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"127,564.00",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/01/2011,HEALTHCARE AT HOME,DIAGNOSTICS PAN TRUST,HEALTHCARE AT HOME,"116,545.00",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,HEALTHCARE AT HOME,DIAGNOSTICS PAN TRUST,HEALTHCARE AT HOME,"65,780.00",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,SW SUPPORT,DIAGNOSTICS PAN TRUST,ACCENTURE UK LTD,"91,136.28",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"101,925.71",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"137,540.94",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,ELECTRICITY,FACILITIES / ESTATES,SOUTHERN ELECTRIC/GAS PLC,"26,523.07",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/01/2011,EQUIPMENT REPAIRS _ MATERIALS,DIAGNOSTICS PAN TRUST,VARIAN MEDICAL SYSTEMS UK LTD,"27,937.78",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,EXTERNAL CONTRACTS,DIRECTOR OF FINANCE,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"42,173.25",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/01/2011,HAEMOPHILLIA BLOOD PRODUCTS,DIAGNOSTICS PAN TRUST,HEALTHCARE AT HOME,"56,626.40",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/01/2011,ELECTRICITY,FACILITIES / ESTATES,SOUTHERN ELECTRIC/GAS PLC,"40,352.95",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/01/2011,SW SUPPORT,DIAGNOSTICS PAN TRUST,ACCENTURE UK LTD,"93,856.46",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"33,251.20",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"118,952.58",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"114,236.61",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/01/2011,CONSULTANCY FEES,DIRECTOR OF FINANCE,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"50,556.08",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,BLOOD PRODUCTS,DIAGNOSTICS PAN TRUST,NHS BLOOD AND TRANSPLANT,"106,392.36",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"137,378.16",Jan-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/01/2011,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"191,147.96",Jan-11
