"HM Treasury Transparency - Publication of spend over £25,000  Start Date: '01-NOV-2010', End Date: '30-NOV-2010', Payment Amount >=: '25000'",,,,,,,,

Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Number
Department of Health,NHS Telford & Wrekin,12/11/2010,Dental Practitioners - CQC readiness,Commissioning,DAWLEY DENTAL PRACTICE,201007,27500,
Department of Health,NHS Telford & Wrekin,19/11/2010,Premises Improvement Grants,Commissioning,WOODSIDE MEDICAL PRACTICE,INTERIM PMT 1 LIFESTYLE GYM,28773.87,
Department of Health,NHS Telford & Wrekin,15/11/2010,Purchase of Healthcare - General And Acute,Commissioning,MID STAFFORDSHIRE NHS FOUNDATION TRUST,NOV 10,64581,
Department of Health,NHS Telford & Wrekin,26/11/2010,Purchase of Healthcare - General And Acute,Commissioning,ALDER HEY CHILDRENS NHS FOUNDTION TRUST,0010863,48867,
Department of Health,NHS Telford & Wrekin,26/11/2010,Purchase of Healthcare - General And Acute,Commissioning,ALDER HEY CHILDRENS NHS FOUNDTION TRUST,0011497,48867,
Department of Health,NHS Telford & Wrekin,15/11/2010,Purchase of Healthcare - General And Acute,Commissioning,THE ROYAL WOLVERHAMPTON HOSPITALS NHS TRUST,NOV 10,76392,
Department of Health,NHS Telford & Wrekin,19/11/2010,Pathology Services,Commissioning,SHREWSBURY AND TELFORD HOSPITAL NHS TRUS,10047587,26874.16,
Department of Health,NHS Telford & Wrekin,26/11/2010,Purchase of Healthcare - General And Acute,Commissioning,SHREWSBURY AND TELFORD HOSPITAL NHS TRUS,10048034,643000,
Department of Health,NHS Telford & Wrekin,15/11/2010,Purchase of Healthcare - General And Acute,Commissioning,SHREWSBURY AND TELFORD HOSPITAL NHS TRUS,NOV 10,6644302,
Department of Health,NHS Telford & Wrekin,08/11/2010,Finance & Payroll Services,Corporate,SHROPSHIRE COUNTY PCT,30005496,38592,
Department of Health,NHS Telford & Wrekin,15/11/2010,Finance & Payroll Services,Corporate,SHROPSHIRE COUNTY PCT,30005705,38592,
Department of Health,NHS Telford & Wrekin,15/11/2010,Purchase of Healthcare - Community health Services,Commissioning,SHROPSHIRE COUNTY PCT,NOV 10,186794,
Department of Health,NHS Telford & Wrekin,05/11/2010,PBC Schemes - Electromedical Equipment Instruments,Commissioning,SPECTRUM OPHTHALMICS LTD,1/2 SUGARCUBE 380,36000,
Department of Health,NHS Telford & Wrekin,05/11/2010,PBC Schemes - Electromedical Equipment Instruments,Commissioning,SPECTRUM OPHTHALMICS LTD,1/2 SUGARCUBE 380,6300
Department of Health,NHS Telford & Wrekin,05/11/2010,Purchase of Healthcare - General And Acute,Commissioning,ROWLEY HALL HOSPITAL,ROWS/SO125,25684.11
Department of Health,NHS Telford & Wrekin,26/11/2010,Joint Commissioning Adult Pooled Budget-PCT Fndg,Commissioning,TELFORD & WREKIN COUNCIL,SPI10687,94920
Department of Health,NHS Telford & Wrekin,26/11/2010,Joint Commissioning Child Pooled Budget-PCT Fndg,Commissioning,TELFORD & WREKIN COUNCIL,SPI10693,69230
Department of Health,NHS Telford & Wrekin,26/11/2010,CHC Purchase of Healthcare - Community health Services,Commissioning,TELFORD & WREKIN COUNCIL,SPI13156,310291.92
Department of Health,NHS Telford & Wrekin,26/11/2010,CHC Commissioning Other Contractual,Commissioning,TELFORD & WREKIN COUNCIL,SPI13156,151470.54
Department of Health,NHS Telford & Wrekin,26/11/2010,CHC Learning Difficulties,Commissioning,TELFORD & WREKIN COUNCIL,SPI13156,270669.67
Department of Health,NHS Telford & Wrekin,26/11/2010,CHC Mental Illness,Commissioning,TELFORD & WREKIN COUNCIL,SPI13156,60853.75
Department of Health,NHS Telford & Wrekin,26/11/2010,CHC Residential Long Stay Expenditure,Commissioning,TELFORD & WREKIN COUNCIL,SPI13156,1261.93
Department of Health,NHS Telford & Wrekin,26/11/2010,CHC Purchase of Healthcare - Community health Services,Commissioning,TELFORD & WREKIN COUNCIL,SPI13156,1485.71
Department of Health,NHS Telford & Wrekin,12/11/2010,Out of Hours Medical Provision,Commissioning,THE SHROPSHIRE DOCTORS CO-OPERATIVE LTD,TW/075,140832.67
Department of Health,NHS Telford & Wrekin,15/11/2010,Purchase of Healthcare - General And Acute,Commissioning,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,NOV 10,100153
Department of Health,NHS Telford & Wrekin,15/11/2010,Purchase of Healthcare - General And Acute,Commissioning,UNIVERSITY HOSPITAL OF NORTH STAFFS NHS TRUST,NOV 10,99323
Department of Health,NHS Telford & Wrekin,15/11/2010,Purchase of Healthcare - General And Acute,Commissioning,BIRMINGHAM CHILDRENS HOSPITAL NHS FOUNDATION TRUST,NOV 10,60416
Department of Health,NHS Telford & Wrekin,15/11/2010,Purchase of Healthcare - General And Acute,Commissioning,ROBERT JONES AND AGNES HUNT NHS TRUST,NOV 10,394773
Department of Health,NHS Telford & Wrekin,15/11/2010,Purchase of Healthcare - Mental Illness,Commissioning,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,I0039087,28750
Department of Health,NHS Telford & Wrekin,08/11/2010,Estates Services,Corporate,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,I0039088,35724.5
Department of Health,NHS Telford & Wrekin,15/11/2010,Purchase of Healthcare - Mental Illness,Commissioning,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,I0039090,77398
Department of Health,NHS Telford & Wrekin,15/11/2010,Purchase of Healthcare - Mental Illness,Commissioning,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,NOV 10,1081703
Department of Health,NHS Telford & Wrekin,08/11/2010,Purchase of Healthcare - General And Acute,Commissioning,BIRMINGHAM EAST AND NORTH PCT,NOV 10,2111485
Department of Health,NHS Telford & Wrekin,05/11/2010,Alternative Provider Medical Services,Commissioning,MALLING HEALTH LLP,NOV 10 PRH,55635.5
