Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,31/08/2012,FM Computer Contracts,Finance and CSD,COMPUTACENTER (UK) LTD,1473666,"81,085.20",IT Managed Service
Department of Health,Care Quality Commission,31/08/2012,FM Computer Contracts,Finance and CSD,COMPUTACENTER (UK) LTD,1486477,"117,177.67",IT Managed Service
Department of Health,Care Quality Commission,31/08/2012,Agency Staff,Strategic Marketing & Comms,SAPIENT LTD,1519904,"31,452.00",Agency Staff
Department of Health,Care Quality Commission,31/08/2012,Agency Staff,Finance and CSD,SAPIENT LTD,1519920,"51,144.00",Agency Staff
Department of Health,Care Quality Commission,31/08/2012,Agency Staff,Finance and CSD,SAPIENT LTD,1519932,"40,728.00",Agency Staff
Department of Health,Care Quality Commission,31/08/2012,Agency Staff,Finance and CSD,SAPIENT LTD,1519940,"37,752.00",Agency Staff
Department of Health,Care Quality Commission,31/08/2012,Agency Staff,Finance and CSD,SAPIENT LTD,1519964,"182,134.50",Agency Staff
Department of Health,Care Quality Commission,31/08/2012,Agency Staff,Finance and CSD,SAPIENT LTD,1519969,"65,958.00",Agency Staff
Department of Health,Care Quality Commission,31/08/2012,Agency Staff,Finance and CSD,SAPIENT LTD,1519989,"27,342.00",Agency Staff
Department of Health,Care Quality Commission,31/08/2012,Agency Staff,Strategic Marketing & Comms,SAPIENT LTD,1519999,"26,454.00",Agency Staff
Department of Health,Care Quality Commission,31/08/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,1544499,"93,364.24",Agency Staff
Department of Health,Care Quality Commission,31/08/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,1544502,"79,151.72",Agency Staff
Department of Health,Care Quality Commission,31/08/2012,Agency Staff,Finance and CSD,CARLISLE MANAGED SOLUTIONS,1544503,"75,488.43",Agency Staff
Department of Health,Care Quality Commission,31/08/2012,Electricity,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,1548673,"16,816.80",Utilities
Department of Health,Care Quality Commission,31/08/2012,Insurance Services,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,1548673,"4,836.49",Insurance
Department of Health,Care Quality Commission,31/08/2012,Rates,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,1548673,"97,112.64",Rates
Department of Health,Care Quality Commission,31/08/2012,Rents,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,1548673,"254,842.86",Rent
Department of Health,Care Quality Commission,31/08/2012,Contract Maintenance Grounds Gardens Land,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,1548673,"90,847.12",Service Charge
Department of Health,Care Quality Commission,31/08/2012,Water Mains,Finance and CSD,COMMUNITIES & LOCAL GOVERNMENT,1548678,172.8,Utilities
