CPS outcomes by principal offence category thames_valley,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,2,66.7%,1,33.3%
B Offences Against The Person,260,74.3%,90,25.7%
C Sexual Offences,15,78.9%,4,21.1%
D Burglary,58,69.0%,26,31.0%
E Robbery,28,87.5%,4,12.5%
F Theft And Handling,343,91.7%,31,8.3%
G Fraud And Forgery,35,94.6%,2,5.4%
H Criminal Damage,82,86.3%,13,13.7%
I Drugs Offences,157,92.4%,13,7.6%
J Public Order Offences,70,83.3%,14,16.7%
K All Other Offences (excluding Motoring),173,80.5%,42,19.5%
L Motoring Offences,661,91.2%,64,8.8%
Admin Finalisations,0,0.0%,37,100.0%
TOTAL,"1,884",84.7%,341,15.3%
