Body Name,Body,Service label,Organisational unit,Expenditure category,Detailed Expenses type,Date,Transaction Number,Amount,"Capital/
Revenue",Supplier Name,Supplier ID
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Trading,People Directorate,Supplies and Services,Purchase Of Computer Software,01/12/2015,PLY096465,"2,436.13",Revenue,DVLA,55022
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Trading,People Directorate,Supplies and Services,Purchase Of Computer Software,01/12/2015,PLY096465,549.32,Revenue,DVLA,55022
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,B&B costs  client,01/12/2015,Various,560.00,Revenue,Port O Call,64272
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Supplies and Services,Legal Expenses,01/12/2015,PLY102609,690.00,Revenue,William Higginson,72189
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Legal Agents,01/12/2015,PLY102401,"1,866.30",Revenue,William Higginson,72189
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Legal Agents,01/12/2015,PLY102402,475.00,Revenue,William Higginson,72189
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Budget Share  OE,01/12/2015,PLY102755,660.00,Revenue,Bodmin College,90186
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Public Health,Public Health,Third Party Payments,Other Agency & Contracted Services,01/12/2015,PLY102752,"1,364.28",Revenue,Superdrug Stores Ltd,108697
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Supplies and Services,Purchase Of Equipment,01/12/2015,PLY102189,"6,009.55",Revenue,Polystar Plastics Ltd,110260
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Public Health,Public Health,Third Party Payments,Other Agency & Contracted Services,01/12/2015,PLY102906,805.50,Revenue,Helen Tugwell and Co. Ltd,111617
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Advertising & Publicity,01/12/2015,PLY102435,"1,488.36",Revenue,RH Advertising Ltd,117810
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Supplies and Services,Legal Expenses,08/12/2015,PLY103008,575.00,Revenue,Redacted personal data,31878
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Supplies and Services,Contributions To Other Bodies,08/12/2015,PLY103531,"4,853.74",Revenue,Cattewater Harbour Commissioners,74988
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Central Services,Executive Office,Supplies and Services,Grants To Other Bodies,08/12/2015,PLY103349,600.00,Revenue,Elburton Village Hall,63758
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Central Services,Executive Office,Supplies and Services,Grants To Other Bodies,08/12/2015,PLY103356,800.00,Revenue,Elburton Village Hall,63758
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Central Services,Executive Office,Supplies and Services,Grants To Other Bodies,08/12/2015,PLY103351,"1,000.00",Revenue,PCC St.Bartholomew and St.Mark,104052
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Supplies and Services,Purchase Of Materials,15/12/2015,PLY103083,"1,151.75",Revenue,Docwra Brothers,23660
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Course Expenses,15/12/2015,PLY103608,"2,000.00",Revenue,Early Birds Preschool,46009
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Other Education Payment,15/12/2015,PLY103593,"2,000.00",Revenue,Stoke Damerel Pre-School,61652
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,B&B costs  client,15/12/2015,Various,"1,330.00",Revenue,Port O Call,64272
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Legal Agents,15/12/2015,PLY103559,"2,820.00",Revenue,Victoria Hoyle,67280
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Legal Agents,15/12/2015,PLY103559,477.00,Revenue,Victoria Hoyle,67280
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Legal Agents,15/12/2015,PLY103566,575.00,Revenue,Yvonne Sutherland,72164
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Legal Agents,15/12/2015,PLY103576,"2,713.75",Revenue,Yvonne Sutherland,72164
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Budget Share  OE,15/12/2015,PLY103800,"3,896.00",Revenue,King Edward VI CS,82047
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Housing services,People Directorate,Supplies and Services,Prevention Fund,15/12/2015,PLY103894,630.00,Revenue,Plymouth Letting Agency,86872
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Housing services,People Directorate,Supplies and Services,Prevention Fund,15/12/2015,PLY103895,550.00,Revenue,Plymouth Letting Agency,86872
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Budget Share  OE,15/12/2015,PLY103802,975.00,Revenue,Budhaven School,99868
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Accommodation for vulnerable adult,15/12/2015,PLY102910,894.40,Revenue,Redacted personal data,104139
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Core Legal,Transformation and Change,Supplies and Services,Legal Expenses,15/12/2015,PLY103914,"2,420.93",Revenue,The Co-operative Funeralcare,120456
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,22/12/2015,Various,560.62,Revenue,Redacted personal data,37252
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Non  STD Weekly Maintenance,22/12/2015,Various,547.88,Revenue,Redacted personal data,38508
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,22/12/2015,PPPLY06522,600.00,Revenue,Mr A K Cotton,26053
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Transport,22/12/2015,PPPLY06523,"1,305.00",Revenue,Mr A K Cotton,26053
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Supplies and Services,Legal Expenses,22/12/2015,PLY105138,865.00,Revenue,Redacted personal data,31878
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Premises,Upkeep Of Grounds,22/12/2015,PLY104177,"1,635.00",Revenue,Taunton Deane Borough Council,39190
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Premises,Upkeep Of Grounds,22/12/2015,PLY104177,"2,049.00",Revenue,Taunton Deane Borough Council,39190
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Premises,Upkeep Of Grounds,22/12/2015,PLY104177,"2,598.26",Revenue,Taunton Deane Borough Council,39190
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,B&B costs  client,22/12/2015,Various,910.00,Revenue,Port O Call,64272
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Legal Agents,22/12/2015,PLY104221,468.75,Revenue,William Higginson,72189
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Legal Agents,22/12/2015,PLY104289,720.00,Revenue,William Higginson,72189
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Legal Agents,22/12/2015,PLY104289,544.65,Revenue,William Higginson,72189
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Legal Agents,22/12/2015,PLY104294,720.00,Revenue,William Higginson,72189
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Legal Agents,22/12/2015,PLY105169,843.75,Revenue,William Higginson,72189
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Landscaping  Hard,22/12/2015,PLY104143,585.00,Capital,Cornwall Environmental Consultants Ltd,84932
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Central Services,Transformation and Change,Supplies and Services,Professional Fees,22/12/2015,PLY104742,912.69,Revenue,Dr T Bracey,98888
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Central Services,Transformation and Change,Supplies and Services,Professional Fees,22/12/2015,PLY104741,"1,022.69",Revenue,Dr T Bracey,98888
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Central Services,Executive Office,Supplies and Services,Grants To Other Bodies,22/12/2015,PLY104649,"1,000.00",Revenue,Plymouth Foodbank,102470
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Subscriptions,22/12/2015,PLY104617,575.50,Revenue,South West Parent Partnership,104728
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Central Services,Transformation and Change,Supplies and Services,Legal Expenses,22/12/2015,PLY104612,"3,750.00",Revenue,Redacted personal data,117530
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Other Social Servs Block Contracts  Volu,22/12/2015,PLY104865,"2,807.00",Revenue,RH Advertising Ltd,117810
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Other Social Servs Block Contracts  Volu,22/12/2015,PLY104869,"8,408.00",Revenue,RH Advertising Ltd,117810
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,01/12/2015,Various,573.21,Revenue,Redacted personal data,102462
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Transformation and Change,Supplies and Services,Purchase Of Books/Media,01/12/2015,PLY102782,679.14,Revenue,Peters Ltd,23605
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Transformation and Change,Supplies and Services,Purchase Of Books/Media,01/12/2015,PLY102783,"1,465.05",Revenue,Peters Ltd,23605
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Transformation and Change,Supplies and Services,Purchase Of Books/Media,01/12/2015,PLY102784,"1,078.60",Revenue,Peters Ltd,23605
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Transformation and Change,Supplies and Services,Purchase Of Books/Media,01/12/2015,PLY102781,868.46,Revenue,Peters Ltd,23605
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Transformation and Change,Supplies and Services,Purchase Of Books/Media,01/12/2015,Various,470.30,Revenue,Peters Ltd,23605
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Place Directorate,Transfer Payments,Domestic Gate Fee,01/12/2015,PLY101800,"42,231.29",Revenue,Viridor Waste Management,23614
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,School Fees  Independent Schools,01/12/2015,PPPLY06426,"27,696.67",Revenue,City College Plymouth,23663
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Various,Various,Employees,Training,01/12/2015,Various,660.00,Revenue,City College Plymouth,23663
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care Property,Transformation and Change,Premises,Metered Water Charges,01/12/2015,PLY102619,557.42,Revenue,South West Water,23664
