Wakefield Council Purchase Card Spend for Quarter 1st October 2017 to 31st December 2017,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),SERCOP URI,Supplier Name,Purpose of Spend,Type,Transaction No.,Seq No.,Payment Date,Net Amount,Irrecoverable VAT,Merchant Category,P-Card Tran,Contract
,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,HOTEL ON BOOKING.COM,Adoption Support Fund Expenditure,Revenue,160978,116,14/12/2017,279.80,Nil,LODGING-HOTELSMOTELSRESORTS-NOT CLASSIFIED,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,TRAVELODGE,Adoption Support Fund Expenditure,Revenue,160978,223,14/12/2017,414.17,Nil,LODGING-HOTELSMOTELSRESORTS-NOT CLASSIFIED,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160972,184,15/11/2017,419.25,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160971,296,10/11/2017,336.40,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160972,114,15/11/2017,600.15,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160971,171,10/11/2017,600.02,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,REGENCULT,L,Cultural and Related Services,FACEBOOK,Advertising,Revenue,160978,391,14/12/2017,26.67,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,GOOGLE,Advertising,Revenue,160972,35,15/11/2017,272.27,Nil,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,REGENCULT,M,Environmental and Regulatory Services,GOOGLE,Advertising,Revenue,160980,286,02/01/2018,146.02,Nil,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,REGENCULT,M,Environmental and Regulatory Services,GOOGLE,Advertising,Revenue,160968,301,25/10/2017,146.55,Nil,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,REGENCULT,M,Environmental and Regulatory Services,GOOGLE,Advertising,Revenue,160962,274,05/10/2017,149.01,Nil,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/12/2017,CHILDYOU,4,Children´s and Education Services,ARGOS,Assistance to Families (Section 34),Revenue,160976,261,04/12/2017,55.93,Nil,DISCOUNT STORES,GPC,Not Yet Available
