 Title: ,Public sector expenditure on global biodiversity 2000-01 to 2010-11,,,,,,,,,,
Year:,2000-2010,,,,,,,,,,
Geography:,United Kingdom,,,,,,,,,,
Units:,£M,,,,,,,,,,
Source:,"Department for Environment, Food and Rural Affairs (Defra) and HM Treasury",,,,,,,,,,
URL:,http://www.defra.gov.uk/statistics/environment/supplementary/spfg21-expend-global-bio/,,,,,,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,,,,,,
Nat. Statistic:,No,,,,,,,,,,
Custodian,"Sustainable Production and Procurement, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,,,,,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,,,,,,,,
Release Date:,Jun-12,,,,,,,,,,
Notes:,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,Year
Biodiversity expenditure,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11
"UK public sector spending on global biodiversity (£M, current prices)",24.3,26.2,27.9,47.2,52.0,51.0,52.5,54.9,55.3,50.8,50.2
GDP deflator at market prices (2010/11 = 100),78.4,79.9,82.0,83.7,86.1,87.9,90.8,92.9,95.6,97.4,100.0
"UK public sector spending on global biodiversity (£M, 2010/11 prices)",31.0,32.8,34.0,56.4,60.4,58.0,57.8,59.2,57.9,52.2,50.2
