CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,5706,86.2%,916,13.8%
P01-Avon&Somerset,167,89.8%,19,10.2%
P02-Bedfordshire,35,81.4%,8,18.6%
P03-Cambridgeshire,82,87.2%,12,12.8%
P04-Cheshire,95,88.0%,13,12.0%
P06-Cleveland,124,78.0%,35,22.0%
P07-Cumbria,98,93.3%,7,6.7%
P08-Derbyshire,58,89.2%,7,10.8%
P09-Devon&Cornwall,179,78.9%,48,21.1%
P10-Dorset,64,86.5%,10,13.5%
P11-Durham,87,84.5%,16,15.5%
P12-DyfedPowys,40,85.1%,7,14.9%
P13-Essex,176,90.3%,19,9.7%
P14-Gloucestershire,26,92.9%,2,7.1%
P15-GreaterManchester,417,87.2%,61,12.8%
P16-Gwent,74,84.1%,14,15.9%
P17-Hampshire,200,87.0%,30,13.0%
P18-Hertfordshire,51,85.0%,9,15.0%
P19-Humberside,133,93.7%,9,6.3%
P20-Kent,154,92.8%,12,7.2%
P21-Lancashire,284,90.4%,30,9.6%
P22-Leicestershire,79,79.8%,20,20.2%
P23-Lincolnshire,58,89.2%,7,10.8%
P24-Merseyside,249,80.3%,61,19.7%
P25-Metropolitan&City,748,82.1%,163,17.9%
P26-Norfolk,105,91.3%,10,8.7%
P27-Northamptonshire,32,76.2%,10,23.8%
P28-Northumbria,236,88.4%,31,11.6%
P29-NorthWales,102,94.4%,6,5.6%
P30-NorthYorkshire,101,91.0%,10,9.0%
P31-Nottinghamshire,163,89.1%,20,10.9%
P32-SouthWales,247,89.2%,30,10.8%
P33-SouthYorkshire,95,79.2%,25,20.8%
P34-Staffordshire,115,89.1%,14,10.9%
P35-Suffolk,96,97.0%,3,3.0%
P36-Surrey,92,91.1%,9,8.9%
P37-Sussex,133,89.9%,15,10.1%
P38-ThamesValley,60,83.3%,12,16.7%
P39-Warwickshire,25,80.6%,6,19.4%
P40-WestMercia,90,86.5%,14,13.5%
P41-WestMidlands,217,88.2%,29,11.8%
P42-WestYorkshire,100,69.9%,43,30.1%
P43-Wiltshire,19,65.5%,10,34.5%
