VTS Site Number,VTS Name,VTS Address Line 1,VTS Address Line 2,VTS Address Line 3,VTS Address Line 4,VTS Post Code,VTS Telephone Number,Class 1,Class 2,Class 3,Class 4,Class 5,Class 7,Local authority unitary authority code,postcode 1,postcode 2,postcode 3,Output Area 2011,Lower-layer super output area 2011 code,Lower-layer super output area 2011 name,Middle-layer super output area 2011 code
0118AG,SUNSIDE SERVICE STATION LIMITED,SADDLEWORTH ROAD,GREETLAND,,HALIFAX,HX4 8LZ,01422 373127,Y,Y,,Y,,,E08000033,HX4 8LZ,HX4  8LZ,HX4 8LZ,E00054931,E01010900,Calderdale 026E,E02002269
0431AJ,THE NORTHOWRAM GARAGE LIMITED,BRADFORD ROAD,NORTHOWRAM,,HALIFAX,HX3 7HW,01422 205419,,,,Y,,,E08000033,HX3 7HW,HX3  7HW,HX3 7HW,E00055111,E01010935,Calderdale 003D,E02002246
1ALA98,SUMMERFIELD GARAGE,535 BRADFORD ROAD,BRIGHOUSE,,HUDDERSFIELD,HD6 4DL,01484 400921,,,,Y,,,E08000033,HD6 4DL,HD6  4DL,HD6 4DL,E00168668,E01010908,Calderdale 015D,E02002258
1ALC49,A AND G MOTOR ENGINEERS LTD,PARKFIELD GARAGE,GEORGE STREET,ELLAND,HALIFAX,HX5 0NE,01422  371948,Y,Y,,Y,,Y,E08000033,HX5 0NE,HX5  0NE,HX5 0NE,E00054899,E01010894,Calderdale 025D,E02002268
1ALE16,GRIZZLEYS MOT,30 WEST PARADE,,,HALIFAX,HX1 2TE,01422 322698,Y,Y,,,,,E08000033,HX1 2TE,HX1  2TE,HX1 2TE,E00055414,E01010995,Calderdale 012E,E02002255
1ALP11,CALDER BROOK GARAGE LIMITED,HOLME END,HEBDEN BRIDGE,,HALIFAX,HX7 8NX,01422 845063,,,,Y,,,E08000033,HX7 8NX,HX7  8NX,HX7 8NX,E00055051,E01010918,Calderdale 007B,E02002250
1ALV00,AB AUTO-WORKS,UNION STREET SOUTH,,,HALIFAX,HX1 2LE,01422 330344,,,,Y,,,E08000033,HX1 2LE,HX1  2LE,HX1 2LE,E00055407,E01010994,Calderdale 008E,E02002251
1ALW28,MODERNA MOTS LTD,UNIT 19 MODERNA BUSINESS PARK,MODERNA WAY BURNLEY ROAD,MYTHOLMROYD,HALIFAX,HX7 5QQ,01422 881088,Y,Y,,Y,Y,Y,E08000033,HX7 5QQ,HX7  5QQ,HX7 5QQ,E00055052,E01010917,Calderdale 007A,E02002250
1ALW30,BRISTOL STREET MOTORS HALIFAX,SHAY SYKE,,,HALIFAX,HX1 2ND,01422 380380,,,,Y,,,E08000033,HX1 2ND,HX1  2ND,HX1 2ND,E00055419,E01010989,Calderdale 018A,E02002261
2008BM,HEPWORTH HONDA,3 KING STREET,,,HALIFAX,HX1 1SR,01422 321111,,,,Y,,,E08000033,HX1 1SR,HX1  1SR,HX1 1SR,E00055407,E01010994,Calderdale 008E,E02002251
2037BX,MURTS MOTOR CENTRE LIMITED,HALIFAX ROAD,SANDBED,,HEBDEN BRIDGE,HX7 6PT,01422 842908,,,,Y,,,E08000033,HX7 6PT,HX7  6PT,HX7 6PT,E00054847,E01010882,Calderdale 004B,E02002247
2205AL,WHARF GARAGE LIMITED,WHARF STREET,SOWERBY BRIDGE,,HALIFAX,HX6 2AF,01422 831388,,,,Y,,,E08000033,HX6 2AF,HX6  2AF,HX6 2AF,E00055325,E01010979,Calderdale 017D,E02002260
2265B9,ELLAND MOT CENTRE,ELLAND AUTO POINT,VICTORIA ROAD,,ELLAND,HX5 0PU,01422 310411,,,,Y,,,E08000033,HX5 0PU,HX5  0PU,HX5 0PU,E00054919,E01010889,Calderdale 025A,E02002268
2364BB,PELLON TYRE AND AUTO CENTRE LTD,PELLON LANE,,,HALIFAX,HX1 4PZ,01422 362030,,,,Y,,,E08000033,HX1 4PZ,HX1  4PZ,HX1 4PZ,E00055261,E01010960,Calderdale 012A,E02002255
2746AU,HEADLANDS GARAGE LIMITED,DENHOLMGATE ROAD,HIPPERHOLME,,HALIFAX,HX3 8JX,01422 202795,,,,Y,,,E08000033,HX3 8JX,HX3  8JX,HX3 8JX,E00054964,E01010907,Calderdale 011C,E02002254
2892A3,MOUNT AUTOMOTIVE SOLUTIONS,NEW BOND STREET,,,HALIFAX,HX1 2TH,01422 361961,,,,Y,,,E08000033,HX1 2TH,HX1  2TH,HX1 2TH,E00055414,E01010995,Calderdale 012E,E02002255
