Body Name,Service Code,Expenditure Category,Payment Date,Transaction No,Supplier,Net Amount
Barrow Borough Council,HRA Estates,Tenants content insurance,26-Mar-2014,200019721,Thistle Tenant Risks,"1,928.26"
Barrow Borough Council,The park leisure centre,Equipment purchase,12-Mar-2014,200019465,The Physical Company,"1,732.95"
Barrow Borough Council,Town Hall,Professional fees,19-Mar-2014,200019527,Stuart Brahney Assoc,577.84
Barrow Borough Council,Playground,Grounds maintenance,26-Mar-2014,200019639,Continental Landscapes Ltd,701.87
Barrow Borough Council,Dock museum,Gas,05-Mar-2014,200019366,British Gas Business,"2,459.10"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,26-Mar-2014,200019585,Plumbing Trade Supplies,"4,306.27"
Barrow Borough Council,Telephones Holding A/C,Telephone charges paid,05-Mar-2014,200019301,Orange Payment Processing,692.53
Barrow Borough Council,Forum shop,TIC - third party income,12-Mar-2014,200019391,Stagecoach,"2,782.70"
Barrow Borough Council,Telephones Holding A/C,Telephone charges paid,26-Mar-2014,200019689,Orange Payment Processing,683.12
Barrow Borough Council,Events & festivals management,Publicity and promotion,26-Mar-2014,200019616,A-ha Distribution Ltd,575.00
Barrow Borough Council,Homeless families and dispersed accommodation - HRA,Furniture,05-Mar-2014,200019346,Furniture Resource Centre,933.82
Barrow Borough Council,Tenant demand maintenance - HRA,Consultancy fees,19-Mar-2014,200019518,PSS Consulting,"2,666.50"
Barrow Borough Council,Events & festivals management,Publicity and promotion,26-Mar-2014,200019632,HSP Milners,"1,186.00"
Barrow Borough Council,The mall and shops,Buildings repairs and maintenance,12-Mar-2014,200019464,Vinci Construction UK Ltd,678.50
Barrow Borough Council,Playground,Grounds maintenance,19-Mar-2014,200019507,Play Safe,"2,750.00"
Barrow Borough Council,Housing Benefits Admin,Benefits council tenants,05-Mar-2014,200019381,Liberata Uk Ltd,"17,047.06"
Barrow Borough Council,104 Abbey Road,Electricity,05-Mar-2014,200019302,NPower,553.25
Barrow Borough Council,Marina Village,Professional fees,19-Mar-2014,200019550,M&P Gadsden Consulting Eng Ltd,790.00
Barrow Borough Council,Human Resources,Management training,26-Mar-2014,200019609,Furness College,"1,300.00"
Barrow Borough Council,Playground,Equipment purchase,19-Mar-2014,200019507,Play Safe,536.40
Barrow Borough Council,Roof Top Car Park,Building and construction works,12-Mar-2014,200019389,Bill Caulfield Electrical,"9,768.36"
Barrow Borough Council,Current assets - payments in advance,Payment in advance - GF,26-Mar-2014,200019674,Canon UK Ltd,"1,380.81"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,05-Mar-2014,200019361,Cumbria Roofing Ulverston,"1,089.00"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,19-Mar-2014,200019475,AB Mitchell Developments,"10,594.66"
Barrow Borough Council,Public conveniences,Building cleaning,12-Mar-2014,200019443,Growing Concerns,"2,502.62"
Barrow Borough Council,Town Hall,Incidental costs,26-Mar-2014,200019588,Bill Caulfield Electrical,"1,142.89"
Barrow Borough Council,U Dance Show,Hire of halls,19-Mar-2014,200019561,Active Cumbria,-755.37
Barrow Borough Council,Barrow town hall,Gas,05-Mar-2014,200019366,British Gas Business,"1,866.93"
Barrow Borough Council,Capitalised Planned Maintenance,Bathrooms,05-Mar-2014,200019334,Rixonway Kitchens (Cum) Ltd,"3,112.73"
Barrow Borough Council,Disabled Facilities Grant,Grants,05-Mar-2014,200019306,NB Plastering,"2,000.00"
Barrow Borough Council,Legal,Solicitors fees,26-Mar-2014,200019692,Holdens Solicitors,"3,975.00"
Barrow Borough Council,Rural Regeneration Coastal Protection,Incidental costs,05-Mar-2014,200019373,IT Shaw Ltd,"20,000.90"
Barrow Borough Council,Barrow Island Environmental Improvements,Professional fees,26-Mar-2014,200019646,Farrer Huxley Associates,"10,615.30"
Barrow Borough Council,Forum 28,Metered water,05-Mar-2014,200019365,United Utilities Water Plc,"2,875.60"
Barrow Borough Council,Allotments,Metered water,19-Mar-2014,200019485,United Utilities Water Plc,"1,207.77"
Barrow Borough Council,Homeless families and dispersed accommodation - HRA,Furniture - dispersed accommodation,05-Mar-2014,200019346,Furniture Resource Centre,521.05
Barrow Borough Council,Estates management,Buildings repairs and maintenance,26-Mar-2014,200019610,Hydrojet Plumbing & Drainage,852.42
Barrow Borough Council,Disabled Facilities Grant,Grants,12-Mar-2014,200019471,NB Plastering,"2,380.00"
Barrow Borough Council,The markets,Buildings repairs and maintenance,19-Mar-2014,200019511,Bill Caulfield Electrical,527.23
Barrow Borough Council,The park leisure centre,Professional fees,19-Mar-2014,200019528,Ulverston Health Club,"1,620.00"
Barrow Borough Council,Internal audit,Internal audit contract,05-Mar-2014,200019348,Furness Audit Ltd,"11,925.00"
Barrow Borough Council,Major works maintenance - HRA,Adaptations,19-Mar-2014,200019475,AB Mitchell Developments,"3,321.62"
Barrow Borough Council,Capitalised Planned Maintenance,Bathrooms,19-Mar-2014,200019509,Plumbing Trade Supplies,529.05
Barrow Borough Council,Local Council Tax Reduction Scheme (LCTRS),LCTRS Admin,05-Mar-2014,200019381,Liberata Uk Ltd,"64,191.38"
Barrow Borough Council,Dock museum,Electricity,26-Mar-2014,200019696,NPower,"1,124.79"
Barrow Borough Council,Corporate management,External Audit fees,26-Mar-2014,200019711,Grant Thornton UK LLP,"16,814.75"
Barrow Borough Council,Disabled Facilities Grant,Grants,26-Mar-2014,200019625,AB Mitchell Developments,"3,756.00"
Barrow Borough Council,HRA Estates,Cleaning - other,19-Mar-2014,200019498,Bulloughs Cleaning Serv Ltd,"2,160.00"
Barrow Borough Council,Cemetery,Professional fees,19-Mar-2014,200019550,M&P Gadsden Consulting Eng Ltd,997.50
Barrow Borough Council,Forum catering,Catering contract - Forum,26-Mar-2014,200019719,Elior UK Ltd,835.52
Barrow Borough Council,Recycling,Greenwaste recycling,19-Mar-2014,200019514,Sinkfall Recycling,"1,370.40"
Barrow Borough Council,Emlyn Hughes house,Electricity,05-Mar-2014,200019302,NPower,821.92
Barrow Borough Council,Emlyn Hughes house,Electricity,26-Mar-2014,200019696,NPower,823.46
Barrow Borough Council,Warden services - HRA,Professional fees,26-Mar-2014,200019660,The Riverside Group Ltd,988.00
Barrow Borough Council,Market Hall & Offices,Incidental costs,26-Mar-2014,200019588,Bill Caulfield Electrical,"3,289.76"
Barrow Borough Council,Tenant demand maintenance - HRA,Consultancy fees,19-Mar-2014,200019518,PSS Consulting,"2,986.96"
Barrow Borough Council,Legal,Solicitors fees,19-Mar-2014,200019513,Brown Barron Solicitors,"1,986.00"
Barrow Borough Council,Suspense accounts,Income suspense account,26-Mar-2014,200019695,Creative Studios Cumbria Ltd,"4,090.15"
Barrow Borough Council,Information technology,Software maintenance,26-Mar-2014,200019589,Northgate Information Sol Uk Ltd,"5,677.08"
Barrow Borough Council,Insurance holding account,Insurance claims,26-Mar-2014,200019615,Zurich Municipal,"1,224.00"
Barrow Borough Council,Estates management,Metered water,05-Mar-2014,200019365,United Utilities Water Plc,989.53
Barrow Borough Council,Craven House,Incidental costs,26-Mar-2014,200019619,FTS Fire & Secuirty Ltd,"2,684.00"
Barrow Borough Council,Housing,Court Costs,24-Mar-2014,DD240314,HMCS,850.00
Barrow Borough Council,Housing,Property Rent,20-Mar-2014,DD200314,Marcus King,"10,750.00"
Barrow Borough Council,Human Resources,Cycle to Work Scheme,20-Mar-2014,DD200314,Close Brewery Rent,"1,079.89"
Barrow Borough Council,TSU,Telephone charges paid,13-Mar-2014,DD130314,BT,"1,052.80"
Barrow Borough Council,Dock museum,Equipment purchase,11-Mar-2014,DD110314,Lectus Produktion,617.79
Barrow Borough Council,Human Resources,Childcare Vouchers,06-Mar-2014,DD060314,Sodexo,"1,670.00"
Barrow Borough Council,Electoral Registration,Software purchase,04-Mar-2014,DD040314,Democracy Counts,"150,000.00"
Barrow Borough Council,Corporate Costs,Professional Fees,03-Mar-2014,DD030314,Security Plus Ltd,788.35
Barrow Borough Council,Corporate Costs,Professional fees,26-Mar-2014,DD260314,Allpay,"2,776.46"
Barrow Borough Council,Corporate Costs,Professional Fees,26-Mar-2014,DD260314,Capita Business Services Limited,"1,236.29"
Barrow Borough Council,Legal,Professional Fees,27-Mar-2014,DD270314,Information Comm,535.00
Barrow Borough Council,Corporate Costs,Professional fees,27-Mar-2014,DD270314,Allpay,"4,098.24"
Barrow Borough Council,Admin,Postage stock,27-Mar-2014,DD270314,Neopost Ltd,"1,000.00"
Barrow Borough Council,Corporate Costs,Bank Charges,28-Mar-2014,DD280314,Capita Business Services Limited,"1,856.42"
