Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,,,,,
Department of Health,Devon PCT,05/10/2010,AUC Additions,BALANCE SHEET,ARQUE LTD,7166698,"81,996.88",,,,,
Department of Health,Devon PCT,15/10/2010,Audit Fees: Statutory,COMMISSIONING FINANCE,AUDIT COMMISSION,7240420,"26,241.28",,,,,
Department of Health,Devon PCT,01/10/2010,Commissioning Other Contr,Alcohol Services,ADDACTION,7160900,"206,577.00",,,,,
Department of Health,Devon PCT,22/10/2010,Commissioning Other Contr,IS - OTHER PROVIDERS,EXETER MEDICAL LTD,7291180,"58,494.45",,,,,
Department of Health,Devon PCT,08/10/2010,Commissioning Other Contr,IS - OTHER PROVIDERS,MOUNT STUART HOSPITAL,7183938,"91,425.69",,,,,
Department of Health,Devon PCT,19/10/2010,Commissioning Other Contr,IS - OTHER PROVIDERS,NUFFIELD HEALTH,7265754,"44,573.00",,,,,
Department of Health,Devon PCT,22/10/2010,Commissioning Other Contr,IS - OTHER PROVIDERS,NUFFIELD HEALTH,7291170,"140,999.00",,,,,
Department of Health,Devon PCT,15/10/2010,Commissioning Other Contr,ISTC - Plymouth,PLYMOUTH TEACHING PCT,7160914,"103,497.00",,,,,
Department of Health,Devon PCT,22/10/2010,Commissioning Other Contr,ISTC - Plymouth,UKSH PENINSULA LTD,7160928,"-27,981.88",,,,,
Department of Health,Devon PCT,22/10/2010,Commissioning Other Contr,ISTC - Plymouth,UKSH PENINSULA LTD,7166597,"-27,981.88",,,,,
Department of Health,Devon PCT,22/10/2010,Commissioning Other Contr,ISTC - Plymouth,UKSH PENINSULA LTD,7291183,"154,967.25",,,,,
Department of Health,Devon PCT,08/10/2010,Commissioning Other Contr,Third party Drug Spend,ABBOTT LABORATORIES LTD,7192572,"28,451.13",,,,,
Department of Health,Devon PCT,12/10/2010,Computer Maintenance,Primary Care IM&T,CSC COMPUTER SCIENCES LTD,7220080,"68,854.42",,,,,
Department of Health,Devon PCT,15/10/2010,Consultant,CAMHS HQ Devon,DEVON PARTNERSHIP NHS TRUST,7220133,"209,958.19",,,,,
Department of Health,Devon PCT,05/10/2010,Continence Products,COUNTYWIDE BLADDER & BOWEL SERVICE,SCA HYGIENE PRODUCTS (UK) LTD,7175285,"178,111.70",,,,,
Department of Health,Devon PCT,01/10/2010,Contr Other External,DAWLISH HOSP GENRL,SIR ROBERT MCALPINE HEALTHCARE DAWLISH LTD,7154930,"31,500.38"
Department of Health,Devon PCT,01/10/2010,Depn of Gov Grant Assets,DAWLISH HOSP GENRL,SIR ROBERT MCALPINE HEALTHCARE DAWLISH LTD,7154930,"28,333.33"
Department of Health,Devon PCT,01/10/2010,Depn of Gov Grant Assets,N ABBOT ADMIN,RYHURST (NEWTON ABBOT) LTD,7147592,"181,906.18"
Department of Health,Devon PCT,15/10/2010,Drugs,EASTERN CLUSTERS RD&E SERVICES RECEIVED,ROYAL DEVON&EXETER NHS FOUNDATION TRUST,7183924,"79,237.25"
Department of Health,Devon PCT,27/10/2010,Drugs,EASTERN CLUSTERS RD&E SERVICES RECEIVED,ROYAL DEVON&EXETER NHS FOUNDATION TRUST,7265821,"158,632.99"
Department of Health,Devon PCT,15/10/2010,Drugs,GP PRESCRIBING,PLYMOUTH TEACHING PCT,7220097,"43,156.97"
Department of Health,Devon PCT,27/10/2010,ERet Provn Staff Ut NC,BALANCE SHEET,NHS PENSION SCHEME,7304097,"87,850.26"
Department of Health,Devon PCT,26/10/2010,External Data Contracts,END OF LIFE,DEVON DOCTORS LTD,7304041,"87,277.00"
Department of Health,Devon PCT,26/10/2010,External Data Contracts,END OF LIFE,DEVON DOCTORS LTD,7304087,"26,042.40"
Department of Health,Devon PCT,26/10/2010,External Data Contracts,END OF LIFE,DEVON DOCTORS LTD,7304180,"-87,277.00"
Department of Health,Devon PCT,15/10/2010,Hcare Srv Rec NHS Trust,Alcohol Services,DEVON PARTNERSHIP NHS TRUST,7183945,"156,205.50"
Department of Health,Devon PCT,15/10/2010,Hcare Srv Rec NHS Trust,DAT,DEVON PARTNERSHIP NHS TRUST,7183944,"423,392.17"
Department of Health,Devon PCT,15/10/2010,Hcare Srv Rec NHS Trust,DEVON PARTNERSHIP TRUST,DEVON PARTNERSHIP NHS TRUST,7211021,"296,312.00"
Department of Health,Devon PCT,15/10/2010,Hcare Srv Rec NHS Trust,DEVON PARTNERSHIP TRUST,DEVON PARTNERSHIP NHS TRUST,7211180,"6,993,845.09"
