CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,3545,83.6%,695,16.4%
P01-Avon&Somerset,61,81.3%,14,18.7%
P02-Bedfordshire,18,69.2%,8,30.8%
P03-Cambridgeshire,12,75.0%,4,25.0%
P04-Cheshire,88,88.9%,11,11.1%
P06-Cleveland,35,76.1%,11,23.9%
P07-Cumbria,54,87.1%,8,12.9%
P08-Derbyshire,39,84.8%,7,15.2%
P09-Devon&Cornwall,118,83.7%,23,16.3%
P10-Dorset,31,86.1%,5,13.9%
P11-Durham,36,92.3%,3,7.7%
P12-DyfedPowys,9,69.2%,4,30.8%
P13-Essex,52,83.9%,10,16.1%
P14-Gloucestershire,10,100.0%,0,0.0%
P15-GreaterManchester,137,84.6%,25,15.4%
P16-Gwent,23,79.3%,6,20.7%
P17-Hampshire,100,82.0%,22,18.0%
P18-Hertfordshire,34,79.1%,9,20.9%
P19-Humberside,42,95.5%,2,4.5%
P20-Kent,57,73.1%,21,26.9%
P21-Lancashire,96,82.1%,21,17.9%
P22-Leicestershire,25,71.4%,10,28.6%
P23-Lincolnshire,26,92.9%,2,7.1%
P24-Merseyside,178,88.6%,23,11.4%
P25-Metropolitan&City,708,83.6%,139,16.4%
P26-Norfolk,34,87.2%,5,12.8%
P27-Northamptonshire,92,91.1%,9,8.9%
P28-Northumbria,411,87.1%,61,12.9%
P29-NorthWales,42,84.0%,8,16.0%
P30-NorthYorkshire,17,70.8%,7,29.2%
P31-Nottinghamshire,49,80.3%,12,19.7%
P32-SouthWales,45,78.9%,12,21.1%
P33-SouthYorkshire,126,88.7%,16,11.3%
P34-Staffordshire,31,77.5%,9,22.5%
P35-Suffolk,26,86.7%,4,13.3%
P36-Surrey,17,89.5%,2,10.5%
P37-Sussex,65,90.3%,7,9.7%
P38-ThamesValley,165,85.1%,29,14.9%
P39-Warwickshire,19,73.1%,7,26.9%
P40-WestMercia,74,86.0%,12,14.0%
P41-WestMidlands,134,82.2%,29,17.8%
P42-WestYorkshire,187,71.9%,73,28.1%
P43-Wiltshire,22,81.5%,5,18.5%
