DE ref,Schoolname,Protestant,% Protestant,Catholic,% Catholic,Other Christian / non-Christian / no religion / unknown,% Other Christian / non-Christian / no religion / unknown,Enrolment
1AA0423,Malone Nursery School,0,0,0,0,50,100,50
1AB0006,Holy Cross PreSchool Playgroup,0,0,15,100,0,0,15
1AB0025,Wishing Well Family Centre,9,56.3,7,43.8,0,0,16
1AB0306,St Colmcille's PreSchool Playgroup,6,12.5,36,75,6,12.5,48
1AB0321,"First Steps Playgroup, Belfast",0,0,10,71.4,4,28.6,14
1AB0422,Resurrection Nursery and Playgroup,*,*,#,#,0,0,10
1AB0425,"Stepping Stones Playgroup, Newtownabbey",0,0,17,70.8,7,29.2,24
1AB0427,"174, Trust Playgroup",*,*,5,31.3,#,#,16
1AB0428,Naiscoil Mhic Rheachtain,0,0,16,100,0,0,16
1AB0477,Little Ducks,#,#,*,*,0,0,16
1AB0610,Flutterbies Playgroup,0,0,0,0,18,100,18
1BB0003,St John's PreSchool Playgroup,*,*,18,75,#,#,24
1BB0012,Our Lady's PreSchool Playgroup,0,0,9,100,0,0,9
1BB0013,Play and Learn Playgroup,0,0,24,100,0,0,24
1BB0018,Springhill Playgroup,19,95,0,0,1,5,20
1BB0024,Benmore Playgroup,#,#,*,*,*,*,24
1BB0322,St Oliver Plunkett PreSchool Playgroup,0,0,24,100,0,0,24
1BB0476,Na?scoil an Lonn?in,0,0,0,0,8,100,8
1BB0491,Forge Integrated Playgroup,16,35.6,9,20,20,44.4,45
1BB0492,"Sunshine Playgroup, Belfast",17,70.8,*,*,#,#,24
1BB0494,Belmont Playcare,30,68.2,*,*,#,#,44
1BB0507,Cranmore Integrated Primary School Playgroup,9,37.5,11,45.8,4,16.7,24
1BB0531,Springfield Primary School Playgroup,#,#,*,*,*,*,16
1BB0592,St Vincent de Paul PreSchool Playgroup,0,0,10,83.3,2,16.7,12
1CA0410,Wee Care Day Nursery,0,0,0,0,24,100,24
1CA0411,Early Learners Day Nursery,0,0,0,0,32,100,32
1CA0609,Kids @ BT9 Day Nursery,8,42.1,5,26.3,6,31.6,19
1CA0622,TLC Playgroup,9,45,11,55,0,0,20
1CA0633,Hillcrest Pre-School,*,*,*,*,#,#,11
1CA0635,"Bright Sparks, Belfast",0,0,0,0,14,100,14
1CA0636,"Child's Play Day Nursery, Belfast",0,0,0,0,16,100,16
1CA0649,Kids First Daycare,0,0,0,0,22,100,22
1CA0651,Windsor Womens Centre,#,#,*,*,*,*,8
2AA0063,Busy Bees Montessori Nursery School,#,#,*,*,0,0,7
2AA0348,Squirrels Montessori Nursery,12,44.4,9,33.3,6,22.2,27
2AB0029,"Orchard Community Playgroup, Limavady",21,52.5,16,40,3,7.5,40
2AB0035,Little Diamonds Community Playgroup,*,*,#,#,0,0,10
2AB0036,Straidarran Community Playgroup,#,#,*,*,0,0,18
2AB0040,St Bernadette's Playgroup,0,0,13,92.9,1,7.1,14
2AB0043,Rainbow Child and Family Centre,0,0,20,100,0,0,20
2AB0045,St Joseph's Community Playgroup,0,0,20,100,0,0,20
2AB0046,Na?scoil Neachtain,0,0,0,0,20,100,20
2AB0047,The Dry Arch Children's Centre,*,*,#,#,0,0,16
2AB0051,Eglinton Community PreSchool Centre,*,*,#,#,0,0,24
2AB0055,Little Flower Playgroup,0,0,18,100,0,0,18
2AB0056,Rascals Community Playgroup,0,0,0,0,16,100,16
2AB0057,Dungiven Community Playgroup,0,0,23,100,0,0,23
2AB0060,Greysteel Playgroup,0,0,11,100,0,0,11
2AB0066,Carebears Community Playgroup,*,*,#,#,0,0,19
2AB0071,Naiscoil Cholmcille,0,0,8,66.7,4,33.3,12
2AB0074,Roundabout Playgroup,*,*,#,#,0,0,10
2AB0078,Roslea Cross Community Playgroup,*,*,#,#,0,0,20
2AB0079,Irvinestown Playgroup,7,29.2,17,70.8,0,0,24
2AB0222,Newtownbutler Cross Community Playgroup,8,20.5,31,79.5,0,0,39
2AB0288,Magilligan Community Playgroup,*,*,#,#,0,0,17
2AB0290,Puddleducks Playgroup,0,0,0,0,20,100,20
2AB0291,"Jack and Jill Community Playgroup, Omagh",*,*,#,#,0,0,12
2AB0292,Dromore Community Playgroup,0,0,0,0,33,100,33
2AB0293,First Steps Children's Centre,#,#,*,*,0,0,18
2AB0295,"Little Friends Playgroup, Omagh",*,*,#,#,0,0,9
2AB0299,Banagher Community Playgroup,0,0,14,93.3,1,6.7,15
2AB0313,Park Community Playgroup,*,*,#,#,0,0,15
2AB0315,Green Elves Playgroup,0,0,13,100,0,0,13
2AB0316,Little Rascals Community Playgroup,0,0,0,0,15,100,15
2AB0318,Brookeborough & District Community Playgroup,7,43.8,9,56.3,0,0,16
2AB0319,"Stepping Stones PreSchool Playgroup, belleek",0,0,16,94.1,1,5.9,17
2AB0320,Belcoo Playgroup,0,0,12,100,0,0,12
2AB0339,Donagh 'Wee Folk' Playgroup,0,0,15,100,0,0,15
2AB0340,Little Smarties PreSchool,0,0,11,84.6,2,15.4,13
2AB0343,Peter Pan Playgroup,0,0,0,0,20,100,20
2AB0344,"Rainbow Community Playgroup, Omagh",0,0,0,0,19,100,19
