Title:,Genetic Resources for food and agriculture,,,,,
Year:,2001 / 2007,,,,,
Geography:,United Kingdom,,,,,
Units:,minimum effective population size,,,,,
Source:,"Scottish Agricultural College, Roslin Institute, Grassroots Systems Ltd.",,,,,
URL:,http://www.defra.gov.uk/statistics/environment/biodiversity/,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,
Nat. Statistic:,No,,,,,
Custodian," Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,
Contact:,transparency@defra.gsi.gov.uk,,,,,
Release Date:,Jun-12,,,,,
Notes:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Sheep,,,,Cattle,,
,2001,2007,,,2001,2007
0-49,5,5,,0-49,5,4
50-99,6,9,,50-99,3,7
100-149,2,3,,100-149,5,3
150-199,3,2,,150-199,3,1
200-249,1,2,,200-249,0,0
250-299,1,0,,250-299,1,2
>300,9,5,,>300,1,3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,2001,2007,,,
10%,Sheep,26,31,,,
,Cattle,13,16,,,
,,,,,,
20%,Sheep,36.3,40.8,,,
,Cattle,25.5,33.8,,,
