Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Number,Sum of Amount
Department of Health,Black Country Partnership NHS Foundation Trust,17-06-2013,RECHARGES,Premises & fixed plant,WOLVERHAMPTON CITY PCT,0010000204,45255.7
Department of Health,Black Country Partnership NHS Foundation Trust,17-06-2013,RECHARGES,Premises & fixed plant,WOLVERHAMPTON CITY PCT,0010000204,2060.82
Department of Health,Black Country Partnership NHS Foundation Trust,17-06-2013,RECHARGES,Premises & fixed plant,WOLVERHAMPTON CITY PCT,0010000204,193704.45
Department of Health,Black Country Partnership NHS Foundation Trust,06-06-2013,AP DRUGS - FP10,Supplies & Services-Clinical:,NHS BUSINESS SERVICES AUTHORITY,0010000282,3033.17
Department of Health,Black Country Partnership NHS Foundation Trust,06-06-2013,CAMHS DRUGS,Supplies & Services-Clinical:,NHS BUSINESS SERVICES AUTHORITY,0010000282,2464.54
Department of Health,Black Country Partnership NHS Foundation Trust,06-06-2013,CAMHS DRUGS - FP10,Supplies & Services-Clinical:,NHS BUSINESS SERVICES AUTHORITY,0010000282,2357.64
Department of Health,Black Country Partnership NHS Foundation Trust,06-06-2013,DRUG & ALCOHOL,Supplies & Services-Clinical:,NHS BUSINESS SERVICES AUTHORITY,0010000282,735.02
Department of Health,Black Country Partnership NHS Foundation Trust,06-06-2013,DRUG & ALCOHOL,Supplies & Services-Clinical:,NHS BUSINESS SERVICES AUTHORITY,0010000282,36353.06
Department of Health,Black Country Partnership NHS Foundation Trust,06-06-2013,DRUG & ALCOHOL,Supplies & Services-Clinical:,NHS BUSINESS SERVICES AUTHORITY,0010000282,5771.59
Department of Health,Black Country Partnership NHS Foundation Trust,06-06-2013,LD DRUGS,Supplies & Services-Clinical:,NHS BUSINESS SERVICES AUTHORITY,0010000282,1166.76
Department of Health,Black Country Partnership NHS Foundation Trust,06-06-2013,LD DRUGS - FP10,Supplies & Services-Clinical:,NHS BUSINESS SERVICES AUTHORITY,0010000282,1634.27
Department of Health,Black Country Partnership NHS Foundation Trust,06-06-2013,OAP DRUGS - FP10,Supplies & Services-Clinical:,NHS BUSINESS SERVICES AUTHORITY,0010000282,2801.41
Department of Health,Black Country Partnership NHS Foundation Trust,27-06-2013,AP DRUGS,Supplies & Services-Clinical:,THE DUDLEY GROUP OF HOSPITALS,0010000298,35760.72
Department of Health,Black Country Partnership NHS Foundation Trust,27-06-2013,CAMHS DRUGS,Supplies & Services-Clinical:,THE DUDLEY GROUP OF HOSPITALS,0010000298,3578.83
Department of Health,Black Country Partnership NHS Foundation Trust,27-06-2013,LD DRUGS,Supplies & Services-Clinical:,THE DUDLEY GROUP OF HOSPITALS,0010000298,4210.66
Department of Health,Black Country Partnership NHS Foundation Trust,27-06-2013,OAP DRUGS,Supplies & Services-Clinical:,THE DUDLEY GROUP OF HOSPITALS,0010000298,6162.04
Department of Health,Black Country Partnership NHS Foundation Trust,27-06-2013,RECHARGES,Premises & fixed plant,THE ROYAL WOLVERHAMPTON HOSPITAL,0010000315,38724.76
Department of Health,Black Country Partnership NHS Foundation Trust,06-06-2013,LEASE CAR CONTROL,Other receivables,ENSURE UK LTD,0030005061,63900.2
Department of Health,Black Country Partnership NHS Foundation Trust,06-06-2013,ADD-07-BDG-PENN HOSPITAL,Buildings Excluding Dwellings-,PKL GROUP (UK) LTD,0030005155,30780
Department of Health,Black Country Partnership NHS Foundation Trust,20-06-2013,SOFTWARE SUPPORT,Premises & fixed plant,STONE COMPUTERS LTD,0030007354,44982
Department of Health,Black Country Partnership NHS Foundation Trust,20-06-2013,CAPITAL CREDITORS,Other trade payables - capital,KIER CONSTRUCTION - CENTRAL,0040002003,647671.3
