"HM Treasury Transparency - Publication of spend over œ25,000  June 2012",,,,,,
,,,,,,
Department,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
TW Revenue Funds,07/06/12,APMS Essential Services,APMS Town Centre Malling,MALLING HEALTH LLP,JUN12 TELFORD TOWN CENTRE,"68,949.68"
TW Revenue Funds,07/06/12,APMS Essential Services,APMS PRH Malling,MALLING HEALTH LLP,JUN12 PRH,"62,830.45"
TW Revenue Funds,07/06/12,Mental Illness,Spec Pl'mt Elec - Ment Illness Non-NHS,LIGHTHOUSE HEALTHCARE LIMITED,LHL2010087,"56,159.29"
TW Revenue Funds,07/06/12,Computer Software / License  Fees,Commissioning Mgt PCT Fndg,SCC,OP/L497978,"54,947.11"
TW Revenue Funds,08/06/12,General And Acute,Bl Cont Reg Spec - Gen  and  Acute,BIRMINGHAM EAST AND NORTH PCT,JUN12,"1,850,761.00"
TW Revenue Funds,08/06/12,FP10'S,Bl Cont Gen - Primary Care,NHS BUSINESS SERVICES AUTHORITY,PHS1000030960,"44,858.92"
TW Revenue Funds,08/06/12,Drugs,HIV/Aids Drug Treatmt,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,10065997,"41,080.43"
TW Revenue Funds,14/06/12,Revenue Grants,Shropshire & Mid-Wales Hospice,SEVERN HOSPICE LTD,27678,"693,500.00"
TW Revenue Funds,14/06/12,Community Health Services,CHC/Free Nursing Care,Morris Care Centre,FNC&CHC JNE12 MORRIS CARE,"77,298.52"
TW Revenue Funds,14/06/12,Community Health Services,CHC/Interim Care/Free Nursing Care,Lightmoor View Nursing Home,FNC&CHC JNE12 LIGHTMOOR,"45,042.29"
TW Revenue Funds,14/06/12,GMS 2 Prem  Rent Others,"GMS Charlton St, Oakengates",MATRIX REALTY MEDICAL LIMITED,JUN12,"44,451.30"
TW Revenue Funds,14/06/12,Community Health Services,Shropshire & Mid-Wales Hospice,SEVERN HOSPICE LTD,27680,"35,907.50"
TW Revenue Funds,14/06/12,Community Health Services,CHC/Interim Care/Free Nursing Care,Rylands Care,FNC&CHC JNE12 RYLANDS,"29,575.39"
TW Revenue Funds,14/06/12,Community Health Services,CHC/Free Nursing Care,Cottage Christian Nursing Home,FNC&CHC JNE12 COTTAGE CHRISTIAN,"27,722.19"
TW Revenue Funds,15/06/12,General And Acute,Bl Cont Gen - Gen  and  Acute,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,JUN12,"7,402,408.00"
TW Revenue Funds,15/06/12,Community Health Services,Bl Cont Gen - Primary Care,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,50002092,"1,795,970.00"
