Prompt Payment Report - 2014/15,,
,,
10 Day Prompt Payment Reporting,,
Name of organisation,UK Atomic Energy Authority (NDPB),
Reporting Month:,27 July - 23 August (P5),
,,
No. of invoices received,1153,
No. of invoices paid within 8 working days or less,1022,
No. of Invoices paid over 8 working days,117,
No. of disputed invoices*,14,
% of invoices paid within 8 days,90%,
,,
,,
Note:,,
,,
Disputed invoices are not included in statistics,,
The following payment types are excluded from the return:,,
Payments to Staff (e.g. salary or T&S costs),,
Foreign Currency Payments,,
Any Grant Payments,,
,,
,,
