Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount in Sterling,,
Department of Health,The Pennine Acute Hospitals NHS Trust,10/09/2015,Oldham Pharmacy,Oldham Pharmacy,AAH CUSTOMER SERVICE,0001520250,"179,072.19",,
Department of Health,The Pennine Acute Hospitals NHS Trust,10/09/2015,Rochdale Pharmacy,Rochdale Pharmacy,AAH CUSTOMER SERVICE,0001520251,"80,583.04",,
Department of Health,The Pennine Acute Hospitals NHS Trust,10/09/2015,Bury Pharmacy,Bury Pharmacy,AAH CUSTOMER SERVICE,0001520252,"45,969.55",,
Department of Health,The Pennine Acute Hospitals NHS Trust,10/09/2015,North Manchester Pharmacy,North Manchester Pharmacy,AAH CUSTOMER SERVICE,0001520253,"131,942.25",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Oldham Pharmacy,Oldham Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001519870,"13,911.34",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,Oldham Pharmacy,Oldham Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001523820,"26,373.68",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Oldham Pharmacy,Oldham Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001526076,"9,334.82",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Rochdale Pharmacy,Rochdale Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001519870,"13,547.84",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Rochdale Pharmacy,Rochdale Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001526076,"11,381.07",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,Bury Pharmacy,Bury Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001519870,"1,110.80",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,Bury Pharmacy,Bury Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001523820,"10,476.08",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,Bury Pharmacy,Bury Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001526076,"3,834.08",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/09/2015,North Manchester Pharmacy,North Manchester Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001519870,"14,313.88",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,North Manchester Pharmacy,North Manchester Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001523820,"46,618.87",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/09/2015,North Manchester Pharmacy,North Manchester Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001526076,"12,650.05",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/09/2015,Oldham Pharmacy,Oldham Pharmacy,ALLOGA UK LTD,0001523822,"40,861.38",,
