?BODY NAME,SERVICE LABEL PORTFOLIO,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER ID
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,01/06/2012,210378,417.6,NEWARK SECURITY SERVICES LTD,100371
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,22/06/2012,211241,417.6,NEWARK SECURITY SERVICES LTD,100371
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,VOICE DISTRIBUTION,22/06/2012,211305,424,THE NATIONAL LEAFLET COMPANY,101460
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,22/06/2012,211270,427.5,CHANDLERS (FARM EQUIPMENT) LTD,100632
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,PREMISES REPAIRS & RENEWALS,22/06/2012,211372,440,REDACTED PERSONAL DATA,100476
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,PREMISES SECURITY,01/06/2012,210410,440,TV INSTALLATION SERVICES (MANSFIELD)LTD,100577
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,01/06/2012,210341,442.26,SHERWOOD TRUCK AND VAN LTD,100497
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CLEANING MATERIALS,22/06/2012,211329,449.22,BLUE DIAMOND HYGIENE SUPPLIES,100047
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,15/06/2012,211031,450,TV INSTALLATION SERVICES (MANSFIELD)LTD,100577
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROFESSIONAL SERVICES,15/06/2012,211043,450,ACCEPT MANAGEMENT,101627
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,01/06/2012,210482,453,RENTOKIL INITIAL UK LTD,100824
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,MATERIALS,22/06/2012,211272,459.2,BEAL (UK) LTD,101613
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,15/06/2012,211066,469.3,G4S CASH SOLUTIONS (UK) LTD,100731
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,VOICE DISTRIBUTION,22/06/2012,211304,480.76,THE NATIONAL LEAFLET COMPANY,101460
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REPAIRS AND MAINTENANCE,01/06/2012,210546,490,PARKS AND PLAYGROUND SOLUTIONS LTD,101034
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,01/06/2012,210384,500,ANDREW GEORGE HARRISON LTD,100012
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CONTRACTUAL SERVICES,01/06/2012,210429,500,NOTTINGHAMSHIRE POLICE,100397
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CONTRACTUAL SERVICES,01/06/2012,210430,500,NOTTINGHAMSHIRE POLICE,100397
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,01/06/2012,210433,500,TV INSTALLATION SERVICES (MANSFIELD)LTD,100577
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,PLANNING APPLICATION REFUNDS,01/06/2012,210356,500,PATHFINDER CARE LTD,101635
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,STANDING CHARGES TELEPHONES,08/06/2012,210813,500.04,VIRGIN MEDIA BUSINESS LTD,101629
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM PUBLIC LIABILITY,29/06/2012,211572,503,ZURICH INSURANCE PLC,100937
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,REPAIRS AND MAINTENANCE,29/06/2012,211619,511.2,TV INSTALLATION SERVICES (MANSFIELD)LTD,100577
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,29/06/2012,211628,518.83,REDACTED PERSONAL DATA,101620
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PARISH CNCLS AND VOL BODIES,15/06/2012,210975,520,REDACTED PERSONAL DATA,101624
