Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description
Department of Health,NHS Blood and Transplant,26/10/2012,BUSINESS RATES,Estates & Logistics,SOUTH GLOUCESTERSHIRE COUNCIL PO BOX 101,1591904,54502,Business rates
Department of Health,NHS Blood and Transplant,12/10/2012,TEST KITS HTLV,Blood Supply,ROCHE DIAGNOSTICS LIMITED,1636904,14440.86,For testing of donations and samples for specific markers
Department of Health,NHS Blood and Transplant,12/10/2012,TEST KITS NAT,Blood Supply,ROCHE DIAGNOSTICS LIMITED,1636904,227125.8,For testing of donations and samples for specific markers
Department of Health,NHS Blood and Transplant,12/10/2012,TEST KITS HTLV,Blood Supply,ROCHE DIAGNOSTICS LIMITED,1636906,28382.34,For testing of donations and samples for specific markers
Department of Health,NHS Blood and Transplant,12/10/2012,TEST KITS NAT,Blood Supply,ROCHE DIAGNOSTICS LIMITED,1636906,446008.2,For testing of donations and samples for specific markers
Department of Health,NHS Blood and Transplant,12/10/2012,INVENTORY MATERIALS,NBS and ODT All Areas,JOHNSON & JOHNSON MEDICAL LTD (THERAKOS),1639980,64044,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,05/10/2012,INVENTORY MATERIALS,NBS and ODT All Areas,HAEMONETICS LIMITED,1642031,-118359.36,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,05/10/2012,IMPORTS FRESH FROZEN PLASMA,Blood Supply,MACO PHARMA UK LTD,1642100,55440,Imports of Fresh Frozen Plasma
Department of Health,NHS Blood and Transplant,05/10/2012,WASTE DISPOSAL - CLINICAL,Estates & Logistics,SRCL LTD,1642107,25766.36,External Contract for disposal of clinical waste
Department of Health,NHS Blood and Transplant,19/10/2012,LEGAL FEES,Clinical,MILLS & REEVE,1643550,37919.23,Legal fees incurred - relating to patent application
Department of Health,NHS Blood and Transplant,05/10/2012,OTHER PROFESSIONAL FEES,Estates & Logistics,FRAIKIN LTD,1643810,735,Other professional fees - management fee relating to fleet repair contract
Department of Health,NHS Blood and Transplant,05/10/2012,VEHICLE REPAIRS & MAINTENANCE,Estates & Logistics,FRAIKIN LTD,1643810,35566.44,External contract for fleet vehicle repairs amd maintenance
Department of Health,NHS Blood and Transplant,05/10/2012,AVERAGE COST VARIANCE,General and Other,HAEMONETICS LIMITED,1644145,18,Difference between Purchase Order and Supplier Invoice price for Stores items
Department of Health,NHS Blood and Transplant,05/10/2012,INVENTORY MATERIALS,NBS and ODT All Areas,HAEMONETICS LIMITED,1644145,67838.4,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,05/10/2012,AVERAGE COST VARIANCE,General and Other,HAEMONETICS LIMITED,1644159,18,Difference between Purchase Order and Supplier Invoice price for Stores items
Department of Health,NHS Blood and Transplant,05/10/2012,INVENTORY MATERIALS,NBS and ODT All Areas,HAEMONETICS LIMITED,1644159,41057.52,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,05/10/2012,AVERAGE COST VARIANCE,General and Other,HAEMONETICS LIMITED,1644182,18,Difference between Purchase Order and Supplier Invoice price for Stores items
Department of Health,NHS Blood and Transplant,05/10/2012,INVENTORY MATERIALS,NBS and ODT All Areas,HAEMONETICS LIMITED,1644182,66800.16,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,12/10/2012,EQUIPMENT MAINTENANCE CONTRACT,Specialist and Customer Services,TERUMO UK,1644429,892.5,Costs of maintenance contracts on equipment
Department of Health,NHS Blood and Transplant,12/10/2012,EQUIPMENT MAINTENANCE CONTRACT,Blood Supply,TERUMO UK,1644429,25882.5,Costs of maintenance contracts on equipment
Department of Health,NHS Blood and Transplant,05/10/2012,INVENTORY MATERIALS,NBS and ODT All Areas,TERUMO BCT EUROPE NV/SA,1644491,114048,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,12/10/2012,IT HARDWARE MAINTENANCE,Business Transformation Services,SAVANT LIMITED,1644964,29271.75,Maintenance costs of IT hardware
Department of Health,NHS Blood and Transplant,12/10/2012,IT SOFTWARE MAINTENANCE,Business Transformation Services,SAVANT LIMITED,1644964,220078.76,Maintenance costs of IT software
Department of Health,NHS Blood and Transplant,05/10/2012,INVENTORY MATERIALS,NBS and ODT All Areas,TERUMO BCT EUROPE NV/SA,1645045,41472,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,26/10/2012,POSTAGE,Organ Donation & Transplantation,ROYAL MAIL(PETERBOROUGH),1645118,21002.65,Postage costs
Department of Health,NHS Blood and Transplant,05/10/2012,ELECTRICITY,Estates & Logistics,OXFORD RADCLIFFE HOSPITALS NHS TRUST,1645124,29074.74,Electricity costs
Department of Health,NHS Blood and Transplant,12/10/2012,RENT/LEASE,Estates & Logistics,OXFORD RADCLIFFE HOSPITALS NHS TRUST,1645131,38500,Property rent costs
Department of Health,NHS Blood and Transplant,05/10/2012,AUDIT EXTERNAL FINANCIAL,Finance,NATIONAL AUDIT OFFICE,1645168,90000,Fees for external audit of statutory accounts
Department of Health,NHS Blood and Transplant,05/10/2012,AVERAGE COST VARIANCE,General and Other,HAEMONETICS LIMITED,1645182,18,Difference between Purchase Order and Supplier Invoice price for Stores items
Department of Health,NHS Blood and Transplant,05/10/2012,INVENTORY MATERIALS,NBS and ODT All Areas,HAEMONETICS LIMITED,1645182,108620.4,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,12/10/2012,PREMISES MAINTENANCE - MINOR WORKS,Blood Supply,INTERSERVE  CONSTRUCTION LTD,1645237,33615.37,Minor works projects costs
Department of Health,NHS Blood and Transplant,05/10/2012,CAPITAL PURCHASES ACCOUNT,NBS and ODT All Areas,JOHNSON & JOHNSON MEDICAL LTD (THERAKOS),1645333,66300,Purchase of Fixed Assets
Department of Health,NHS Blood and Transplant,12/10/2012,AVERAGE COST VARIANCE,General and Other,ORTHO CLINICAL DIAGNOSTICS,1645488,0.01,Difference between Purchase Order and Supplier Invoice price for Stores items
Department of Health,NHS Blood and Transplant,12/10/2012,TEST KITS TPHA,Blood Supply,ORTHO CLINICAL DIAGNOSTICS,1645488,5621.4,For testing of donations and samples for specific markers
Department of Health,NHS Blood and Transplant,12/10/2012,TEST KITS HEPB,Blood Supply,ORTHO CLINICAL DIAGNOSTICS,1645488,5710.46,For testing of donations and samples for specific markers
Department of Health,NHS Blood and Transplant,12/10/2012,TEST KITS HEPC,Blood Supply,ORTHO CLINICAL DIAGNOSTICS,1645488,15932.78,For testing of donations and samples for specific markers
Department of Health,NHS Blood and Transplant,05/10/2012,AVERAGE COST VARIANCE,General and Other,CABLE & WIRELESS COMMUNICATIONS MILTON KEYNES,1645899,0.04,Difference between Purchase Order and Supplier Invoice price for Stores items
Department of Health,NHS Blood and Transplant,05/10/2012,PAGERS,Business Transformation Services,CABLE & WIRELESS COMMUNICATIONS MILTON KEYNES,1645899,159.74,Costs incurred relating to use of pagers
Department of Health,NHS Blood and Transplant,05/10/2012,IT SOFTWARE MAINTENANCE,Business Transformation Services,CABLE & WIRELESS COMMUNICATIONS MILTON KEYNES,1645899,1116.2,Maintenance costs of IT software
Department of Health,NHS Blood and Transplant,05/10/2012,IT SOFTWARE LICENCE FEES,Business Transformation Services,CABLE & WIRELESS COMMUNICATIONS MILTON KEYNES,1645899,5620.66,Purchase of IT software licences
Department of Health,NHS Blood and Transplant,05/10/2012,IT HARDWARE MAINTENANCE,Business Transformation Services,CABLE & WIRELESS COMMUNICATIONS MILTON KEYNES,1645899,15184.27,Maintenance costs of IT hardware
Department of Health,NHS Blood and Transplant,05/10/2012,MOBILE TELEPHONES,Business Transformation Services,CABLE & WIRELESS COMMUNICATIONS MILTON KEYNES,1645899,36409.22,Mobile telephone costs
Department of Health,NHS Blood and Transplant,05/10/2012,TELEPHONES,Business Transformation Services,CABLE & WIRELESS COMMUNICATIONS MILTON KEYNES,1645899,79467.58,Telephone costs
Department of Health,NHS Blood and Transplant,05/10/2012,IT COMMUNICATIONS LINKS,Business Transformation Services,CABLE & WIRELESS COMMUNICATIONS MILTON KEYNES,1645899,141729.24,Costs of IT infrastructure communications links
Department of Health,NHS Blood and Transplant,05/10/2012,POSTAGE,Blood Supply,STRALFORS,1646199,25474.24,Postage costs
Department of Health,NHS Blood and Transplant,12/10/2012,INVENTORY MATERIALS,NBS and ODT All Areas,TERUMO BCT EUROPE NV/SA,1646323,72576,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,05/10/2012,INVENTORY MATERIALS,NBS and ODT All Areas,TERUMO BCT EUROPE NV/SA,1646326,31104,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,05/10/2012,VEHICLE FUEL & OILS,Estates & Logistics,HARVEST ENERGY LTD,1646643,30579.26,Charges for vehicle fuel
Department of Health,NHS Blood and Transplant,05/10/2012,AVERAGE COST VARIANCE,General and Other,NORLAND MANAGED SERVICES,1646667,-0.01,Difference between Purchase Order and Supplier Invoice price for Stores items
Department of Health,NHS Blood and Transplant,05/10/2012,PREMISES MAINTENANCE - PLANNED,Estates & Logistics,NORLAND MANAGED SERVICES,1646667,53166.23,Planned / scheduled premises maintenace costs
Department of Health,NHS Blood and Transplant,05/10/2012,PREMISES MAINTENANCE - PLANNED,Estates & Logistics,NORLAND MANAGED SERVICES,1646677,52758.76,Planned / scheduled premises maintenace costs
Department of Health,NHS Blood and Transplant,19/10/2012,EQUIPMENT PURCHASES,Blood Supply,RENFREW GROUP INTERNATIONAL,1646783,46749.84,Purchase of Equipment
Department of Health,NHS Blood and Transplant,19/10/2012,IT SOFTWARE MAINTENANCE,Business Transformation Services,INSIGHT DIRECT UK LIMITED,1647067,38238.72,Maintenance costs of IT software
Department of Health,NHS Blood and Transplant,26/10/2012,EQUIPMENT MAINTENANCE CONTRACT,Specialist and Customer Services,PHARMAGRAPH,1647122,63722.5,Costs of maintenance contracts on equipment
Department of Health,NHS Blood and Transplant,19/10/2012,CARRIAGE INWARDS,Specialist and Customer Services,VH BIO LTD,1647158,66,Carriage charges on stores purchases
