Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,PINS,03/03/2014,Advertising,Common Land,TMP (UK) LIMITED,,Large,,5106201378,Statutory Advertising - Common Land,W1T 7RQ,427.34,
Communities & Local Government,PINS,03/03/2014,Agency Staff,Finance & Procurement,BROOK STREET (UK) LTD,,Large,,5106201427,Agency worker for Finance & Commercial,AL1 4JB,472.86,
Communities & Local Government,PINS,03/03/2014,Agency Staff,ICT Business Partner,CAPITA RESOURCING LTD,,Large,,5106201371,Website Developer,SL6 1DP,"2,226.00",
Communities & Local Government,PINS,03/03/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106201443,A4 Paper,NR3 1PD,953.10,
Communities & Local Government,PINS,03/03/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106201443,Stationery,NR3 1PD,763.70,
Communities & Local Government,PINS,03/03/2014,Publications,Library,THOMSON REUTERS (PROFESSIONAL) UK L,,Large,,5106201437,Encyclopedia of Planning Law & Practice,SP10 9AH,"54,474.00",
Communities & Local Government,PINS,04/03/2014,Advertising,ROW New Work,TMP (UK) LIMITED,,Large,,5106201511,Statutory Advertising - ROW New Work,W1T 7RQ,428.03,
Communities & Local Government,PINS,04/03/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106201417,Test contractor DL,SL6 1DP,"2,226.00",
Communities & Local Government,PINS,04/03/2014,DEV Exp (AUC) Intngble Software Acq Cost,Project Horizon,MOUCHEL MANAGEMENT CONSULTING,,Large,,5106201522,Horizon Tech Specialist Rate 2,GU22 6QX,"5,068.80",
Communities & Local Government,PINS,04/03/2014,DEV Exp (AUC) Intngble Software Acq Cost,Project Horizon,MOUCHEL MANAGEMENT CONSULTING,,Large,,5106201523,Horizon Tech Specialist Rate 2,GU22 6QX,"10,771.20",
Communities & Local Government,PINS,04/03/2014,IT - Service Contracts,ICT Business Partner,SYNETRIX LTD,,Large,,2100018003,House move - quote no RM_001 v3.00,ST5 5NB,-665.56,
Communities & Local Government,PINS,04/03/2014,IT - Service Contracts,ICT Business Partner,SYNETRIX LTD,,Large,,2100018003,House move - quote no RM_002 v3.00,ST5 5NB,-665.56,
Communities & Local Government,PINS,04/03/2014,IT - Service Contracts,ICT Business Partner,SYNETRIX LTD, ,Large,,2100018003,House move - quote no RM_003 v3.00,ST5 5NB,-665.56,
Communities & Local Government,PINS,04/03/2014,IT - Service Contracts,ICT Business Partner,SYNETRIX LTD,,Large,,2100018003,House move - quote no RM_004 v3.00,ST5 5NB,"-1,040.56",
Communities & Local Government,PINS,04/03/2014,IT - Service Contracts,ICT Business Partner,SYNETRIX LTD,,Large,,5106201486,House move - quote no RM_001 v3.00,ST5 5NB,665.56,
Communities & Local Government,PINS,04/03/2014,IT - Service Contracts,ICT Business Partner,SYNETRIX LTD,,Large,,5106201486,House move - quote no RM_002 v3.00,ST5 5NB,665.56,
Communities & Local Government,PINS,04/03/2014,IT - Service Contracts,ICT Business Partner,SYNETRIX LTD,,Large,,5106201486,House move - quote no RM_003 v3.00,ST5 5NB,665.56,
Communities & Local Government,PINS,04/03/2014,IT - Service Contracts,ICT Business Partner,SYNETRIX LTD,,Large,,5106201486,House move - quote no RM_004 v3.00,ST5 5NB,"1,040.56",
Communities & Local Government,PINS,04/03/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106201488,Paper Order 20/2/14 PD,NR3 1PD,727.66,
Communities & Local Government,PINS,04/03/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106201488,Stationery Order 20/2/14 PD,NR3 1PD,387.91,
Communities & Local Government,PINS,04/03/2014,Technical Aids for the disabled,Human Resources,CAPITA HEALTH SOLUTIONS,,Large,,5106201500,Pension/Ill Health,DL1 9HN,620.00,
Communities & Local Government,PINS,04/03/2014,Vehicle hire,Admin Support,ENTERPRISE RENT-A-CAR,,Large,,5106201463,Damage to Hire Car,TW20 8RX,588.46,
Communities & Local Government,PINS,05/03/2014,Agency Staff,Finance & Procurement,BROOK STREET (UK) LTD,,Large,,5106201572,Agency worker for Finance & Commercial,AL1 4JB,472.86,
Communities & Local Government,PINS,05/03/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106201580,Post Charges 17 - 21 Feb,S49 1HQ,"2,286.42",
Communities & Local Government,PINS,05/03/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106201580,Post Charges 17 - 21 Feb Vat Exempt,S49 1HQ,1.49,
Communities & Local Government,PINS,05/03/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106201582,Royal Mail Credit Balance,S49 1HQ,"9,000.00",
Communities & Local Government,PINS,05/03/2014,DEV Exp (AUC) Intngble Software Acq Cost,Project Horizon,MOUCHEL MANAGEMENT CONSULTING,,Large,,5106201497,Horizon Tech Specialist Rate 1,GU22 6QX,"5,601.60",
Communities & Local Government,PINS,05/03/2014,DEV Exp (AUC) Intngble Software Acq Cost,Project Horizon,MOUCHEL MANAGEMENT CONSULTING,,Large,,5106201524,Horizon Tech Specialist Rate 1,GU22 6QX,"2,800.80",
Communities & Local Government,PINS,05/03/2014,IT - Service Contracts,ICT Business Partner,INFORMED SOLUTIONS LTD,,Data Not Provided,,5106201595,Mapping & Infrastructure Services,WA14 4PA,"62,420.00",
Communities & Local Government,PINS,05/03/2014,IT - Software Maintenance,Finance & Procurement,INFOR GLOBAL SOL (FARNBOROUGH 11) L,,Large,,5106201605,SunSystems Migration,B80 7AS,330.47,
Communities & Local Government,PINS,05/03/2014,IT - Software Maintenance,ICT Business Partner,NORTHGATE ARINSO LIMITED,,Large,,5106201592,Annual support for HRI Empower,HP2 4NW,"23,515.19",
Communities & Local Government,PINS,05/03/2014,Mobile phone costs,ICT Business Partner,ORANGE (AIRTIME/LINE RENTAL),,Large,,5106201586,Orange a/c 72632785 FY 2013-14,S98 1DX,861.17,
Communities & Local Government,PINS,05/03/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106201547,8600 Black Printer Cartridges,NG11 7EP,"1,089.00",
Communities & Local Government,PINS,05/03/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106201601,Paper Order W/C 10/2/14,NR3 1PD,"1,058.88",
Communities & Local Government,PINS,05/03/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106201601,Stationery Order W/C 10/2/14,NR3 1PD,696.18,
Communities & Local Government,PINS,05/03/2014,Online Database Information Retrieval,Library,HAYMARKET PUBLISHING SERVS LTD,,Data Not Provided,,5106201550,DCP Online Subscription,TW11 9BE,"1,656.00",
Communities & Local Government,PINS,05/03/2014,Training,Business Improvement,CAPITA BUSINESS SERVICES LTD,,Large,,5106201474,Process Improvement Training additional,SW1H 0XA,"1,219.51",
Communities & Local Government,PINS,05/03/2014,Training,Business Improvement,CAPITA BUSINESS SERVICES LTD,,Large,,5106201475,Process Improvement Training additional,SW1H 0XA,609.75,
Communities & Local Government,PINS,05/03/2014,Training,Business Improvement,CAPITA BUSINESS SERVICES LTD,,Large,,5106201476,Process Improvement Training additional,SW1H 0XA,"1,219.51",
Communities & Local Government,PINS,05/03/2014,Training,Business Improvement,CAPITA BUSINESS SERVICES LTD,,Large,,5106201477,Process Improvement Training additional,SW1H 0XA,"1,219.51",
Communities & Local Government,PINS,06/03/2014,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106201551,5 X AA Agency Staff,SW20 0BA,532.80,
