CPS outcomes by principal offence category kent,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,50.0%,2,50.0%
B Offences Against The Person,214,78.0%,46,22.0%
C Sexual Offences,27,79.3%,10,20.7%
D Burglary,69,81.5%,9,18.5%
E Robbery,8,82.1%,1,17.9%
F Theft And Handling,368,93.9%,33,6.1%
G Fraud And Forgery,30,87.1%,2,12.9%
H Criminal Damage,117,83.9%,7,16.1%
I Drugs Offences,118,95.9%,9,4.1%
J Public Order Offences,161,79.2%,28,20.8%
K All Other Offences (excluding Motoring),82,80.6%,16,19.4%
L Motoring Offences,514,91.6%,47,8.4%
Admin Finalisations,0,0.0%,26,100.0%
TOTAL,"1,708",87.9%,236,12.1%
