Transaction Date,Transaction Reference,Merchant,Total
01/04/2014,493088519,Hogg Robinson Group Ltd,"-£4,891.25"
01/04/2014,493088520,Hogg Robinson Group Ltd,"-£4,891.25"
01/04/2014,493351454,Hogg Robinson Group Ltd,"-£1,470.15"
01/04/2014,493351452,Hogg Robinson Group Ltd,£591.10
01/04/2014,493351416,Hogg Robinson Group Ltd,£735.90
02/04/2014,493351455,Hogg Robinson Group Ltd,"-£6,912.15"
02/04/2014,494052989,Hogg Robinson Group Ltd,"£1,180.58"
02/04/2014,494052988,Hogg Robinson Group Ltd,"£1,180.58"
04/04/2014,PCCL1715960,SANA LISBOA HOTEL        ,585.69
04/04/2014,PCCL1716202,WINDSOR EXCELSIOR HOTEL   ,1034.6
04/04/2014,494054196,Hogg Robinson Group Ltd,"-£4,354.00"
04/04/2014,494365198,Hogg Robinson Group Ltd,"£4,742.87"
05/04/2014,PCCL1716025,ST.REGIS DOHA HOTEL      ,2049.75
06/04/2014,494365058,Hogg Robinson Group Ltd,"£2,082.75"
07/04/2014,494634458,Hogg Robinson Group Ltd,"£1,773.84"
07/04/2014,494630352,Hogg Robinson Group Ltd,"£2,608.45"
07/04/2014,494630349,Hogg Robinson Group Ltd,"£2,917.45"
07/04/2014,494629512,Hogg Robinson Group Ltd,"£3,290.95"
07/04/2014,494629514,Hogg Robinson Group Ltd,"£3,290.95"
08/04/2014,PCCL1716026,ST.REGIS DOHA HOTEL      ,2029.36
08/04/2014,495181147,Hogg Robinson Group Ltd,£629.81
08/04/2014,495181146,Hogg Robinson Group Ltd,£921.11
08/04/2014,494876516,Hogg Robinson Group Ltd,"£5,943.05"
09/04/2014,PCCL1716034,H M LAND REGISTRY        ,625.2
09/04/2014,PCCL1716027,ST.REGIS DOHA HOTEL      ,1154.29
09/04/2014,494877041,Hogg Robinson Group Ltd,"£1,940.90"
09/04/2014,495181300,Hogg Robinson Group Ltd,"£2,663.45"
09/04/2014,495181302,Hogg Robinson Group Ltd,"£3,372.99"
09/04/2014,495181303,Hogg Robinson Group Ltd,"£3,372.99"
10/04/2014,495181309,Hogg Robinson Group Ltd,"-£4,790.75"
10/04/2014,495181306,Hogg Robinson Group Ltd,"-£3,169.05"
10/04/2014,495181314,Hogg Robinson Group Ltd,"-£2,357.85"
10/04/2014,495608509,Hogg Robinson Group Ltd,£753.10
10/04/2014,495610464,Hogg Robinson Group Ltd,"£1,450.85"
10/04/2014,495610463,Hogg Robinson Group Ltd,"£1,901.85"
10/04/2014,495181317,Hogg Robinson Group Ltd,"£2,290.70"
10/04/2014,495880488,Hogg Robinson Group Ltd,"£2,970.35"
10/04/2014,495627766,Hogg Robinson Group Ltd,"£3,528.05"
11/04/2014,PCCL1715919,HILTON VIENNA            ,819.59
11/04/2014,496601028,Hogg Robinson Group Ltd,-£630.38
11/04/2014,495610469,Hogg Robinson Group Ltd,£866.75
11/04/2014,496230646,Hogg Robinson Group Ltd,"£1,933.85"
11/04/2014,496230647,Hogg Robinson Group Ltd,"£2,233.85"
11/04/2014,495610467,Hogg Robinson Group Ltd,"£2,595.65"
14/04/2014,496128424,Hogg Robinson Group Ltd,"£3,737.05"
15/04/2014,496255853,Hogg Robinson Group Ltd,£795.60
16/04/2014,PCCL1715792,SHANGRI-LA HOTEL KL      ,594
16/04/2014,PCCL1716079,SHANGRI-LA HOTEL KL      ,659.85
16/04/2014,PCCL1715889,SERI PACIFIC KUALA LUMPUR,854.44
16/04/2014,497233212,Hogg Robinson Group Ltd,£540.60
16/04/2014,496358061,Hogg Robinson Group Ltd,£720.70
16/04/2014,496598629,Hogg Robinson Group Ltd,"£2,174.95"
16/04/2014,496281291,Hogg Robinson Group Ltd,"£3,017.00"
16/04/2014,496598630,Hogg Robinson Group Ltd,"£3,077.55"
17/04/2014,PCCL1715926,SERI PACIFIC KUALA LUMPUR,685.74
17/04/2014,496604251,Hogg Robinson Group Ltd,"-£3,494.60"
17/04/2014,497473102,Hogg Robinson Group Ltd,"£4,966.20"
19/04/2014,PCCL1715761,SERI PACIFIC KUALA LUMPUR,1191.69
19/04/2014,PCCL1715914,SERI PACIFIC KUALA LUMPUR,2449.83
19/04/2014,PCCL1716143,SERI PACIFIC KUALA LUMPUR,888.28
19/04/2014,PCCL1716144,SERI PACIFIC KUALA LUMPUR,893.32
22/04/2014,498189675,Hogg Robinson Group Ltd,"-£2,805.28"
22/04/2014,497473098,Hogg Robinson Group Ltd,£660.68
22/04/2014,497770444,Hogg Robinson Group Ltd,£737.47
22/04/2014,497770445,Hogg Robinson Group Ltd,£737.47
22/04/2014,497770438,Hogg Robinson Group Ltd,"£1,111.42"
22/04/2014,497770463,Hogg Robinson Group Ltd,"£1,892.23"
22/04/2014,497473309,Hogg Robinson Group Ltd,"£2,646.65"
23/04/2014,497473311,Hogg Robinson Group Ltd,"-£2,247.90"
23/04/2014,498189850,Hogg Robinson Group Ltd,£564.90
23/04/2014,497770485,Hogg Robinson Group Ltd,"£2,469.65"
23/04/2014,497770478,Hogg Robinson Group Ltd,"£2,595.45"
23/04/2014,497770484,Hogg Robinson Group Ltd,"£2,646.65"
23/04/2014,497770479,Hogg Robinson Group Ltd,"£3,288.75"
23/04/2014,497770480,Hogg Robinson Group Ltd,"£3,288.75"
24/04/2014,498189842,Hogg Robinson Group Ltd,"£2,117.75"
24/04/2014,498189839,Hogg Robinson Group Ltd,"£6,373.35"
25/04/2014,498189834,Hogg Robinson Group Ltd,£798.95
25/04/2014,498449915,Hogg Robinson Group Ltd,"£1,231.45"
25/04/2014,498449912,Hogg Robinson Group Ltd,"£1,231.45"
25/04/2014,498189829,Hogg Robinson Group Ltd,"£1,285.75"
25/04/2014,498449914,Hogg Robinson Group Ltd,"£2,015.25"
25/04/2014,498189835,Hogg Robinson Group Ltd,"£3,382.33"
25/04/2014,498189832,Hogg Robinson Group Ltd,"£4,910.95"
25/04/2014,498189831,Hogg Robinson Group Ltd,"£4,910.95"
28/04/2014,PCCL1715764,AUVSI PRODUCT            ,3568.4
28/04/2014,499027850,Hogg Robinson Group Ltd,"£1,318.88"
29/04/2014,PCCL1715638,ONLINE ERGONOMICS        ,888
29/04/2014,PCCL1715669,SOUTH EAST DRAWING OFF V ,788.28
29/04/2014,499031836,Hogg Robinson Group Ltd,"£1,707.79"
29/04/2014,499031837,Hogg Robinson Group Ltd,"£1,707.79"
30/04/2014,499730401,Hogg Robinson Group Ltd,"-£3,401.00"
01/05/2014,499724936,Hogg Robinson Group Ltd,£811.20
01/05/2014,499724934,Hogg Robinson Group Ltd,£928.85
01/05/2014,499724928,Hogg Robinson Group Ltd,"£4,749.95"
02/05/2014,499724689,Hogg Robinson Group Ltd,-£794.05
02/05/2014,500455757,Hogg Robinson Group Ltd,£916.24
02/05/2014,500157560,Hogg Robinson Group Ltd,"£1,302.04"
06/05/2014,500157561,Hogg Robinson Group Ltd,"£2,708.54"
06/05/2014,501192790,Hogg Robinson Group Ltd,"£3,807.80"
07/05/2014,PCCL1717634,BRISTOL HOTEL            ,606.86
07/05/2014,PCCL1718221,NDIA SOFIC               ,1214.54
07/05/2014,500764633,Hogg Robinson Group Ltd,"£3,220.85"
07/05/2014,500764632,Hogg Robinson Group Ltd,"£3,220.85"
08/05/2014,500758696,Hogg Robinson Group Ltd,"-£4,326.45"
08/05/2014,500758697,Hogg Robinson Group Ltd,"-£4,326.45"
08/05/2014,501204121,Hogg Robinson Group Ltd,"£1,010.65"
08/05/2014,501194279,Hogg Robinson Group Ltd,"£1,900.45"
08/05/2014,501204177,Hogg Robinson Group Ltd,"£2,048.25"
08/05/2014,501194273,Hogg Robinson Group Ltd,"£2,224.45"
08/05/2014,501194283,Hogg Robinson Group Ltd,"£5,396.15"
09/05/2014,PCCL1717788,NANT YR ODYN CNTRY       ,618.6
09/05/2014,501628401,Hogg Robinson Group Ltd,£509.90
09/05/2014,501194264,Hogg Robinson Group Ltd,£826.15
09/05/2014,501194265,Hogg Robinson Group Ltd,£826.15
09/05/2014,501194258,Hogg Robinson Group Ltd,"£1,162.05"
09/05/2014,501484904,Hogg Robinson Group Ltd,"£1,668.50"
09/05/2014,501626944,Hogg Robinson Group Ltd,"£2,607.63"
12/05/2014,502064860,Hogg Robinson Group Ltd,£528.30
12/05/2014,501600227,Hogg Robinson Group Ltd,£562.30
12/05/2014,501759647,Hogg Robinson Group Ltd,£622.06
12/05/2014,501595028,Hogg Robinson Group Ltd,£723.40
12/05/2014,501595005,Hogg Robinson Group Ltd,"£3,122.55"
12/05/2014,501595030,Hogg Robinson Group Ltd,"£3,765.55"
12/05/2014,501595019,Hogg Robinson Group Ltd,"£4,509.85"
13/05/2014,502073105,Hogg Robinson Group Ltd,"-£1,231.45"
13/05/2014,502380859,Hogg Robinson Group Ltd,£507.40
13/05/2014,502380864,Hogg Robinson Group Ltd,£508.39
13/05/2014,502380865,Hogg Robinson Group Ltd,£508.39
13/05/2014,502068241,Hogg Robinson Group Ltd,£511.68
13/05/2014,502073107,Hogg Robinson Group Ltd,£836.75
13/05/2014,502064330,Hogg Robinson Group Ltd,"£1,590.10"
14/05/2014,502380858,Hogg Robinson Group Ltd,£605.40
14/05/2014,502380579,Hogg Robinson Group Ltd,"£1,304.25"
14/05/2014,502624059,Hogg Robinson Group Ltd,"£1,772.63"
15/05/2014,502380580,Hogg Robinson Group Ltd,"-£3,694.15"
