,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,69,80.2%,17,19.8%,"8,178",75.3%,"2,684",24.7%,721,69.9%,310,30.1%,"1,562",85.4%,267,14.6%,532,76.4%,164,23.6%,"10,146",90.9%,"1,017",9.1%,754,85.6%,127,14.4%,"2,403",85.5%,406,14.5%,"4,510",93.5%,312,6.5%,"4,022",85.0%,711,15.0%,"2,753",84.4%,510,15.6%,"8,615",85.6%,"1,446",14.4%,726,100.0%
Avon and Somerset,1,100.0%,0,0.0%,210,79.2%,55,20.8%,29,63.0%,17,37.0%,38,86.4%,6,13.6%,8,100.0%,0,0.0%,287,93.8%,19,6.2%,24,96.0%,1,4.0%,63,81.8%,14,18.2%,116,95.9%,5,4.1%,65,82.3%,14,17.7%,91,85.0%,16,15.0%,141,71.2%,57,28.8%,15,100.0%
Bedfordshire,1,100.0%,0,0.0%,69,67.6%,33,32.4%,8,80.0%,2,20.0%,5,71.4%,2,28.6%,6,85.7%,1,14.3%,82,84.5%,15,15.5%,8,88.9%,1,11.1%,16,76.2%,5,23.8%,25,89.3%,3,10.7%,27,79.4%,7,20.6%,13,72.2%,5,27.8%,63,85.1%,11,14.9%,21,100.0%
Cambridgeshire,0,-,0,-,73,75.3%,24,24.7%,5,83.3%,1,16.7%,16,94.1%,1,5.9%,4,100.0%,0,0.0%,106,93.8%,7,6.2%,10,76.9%,3,23.1%,25,86.2%,4,13.8%,39,97.5%,1,2.5%,26,81.3%,6,18.8%,24,100.0%,0,0.0%,74,88.1%,10,11.9%,5,100.0%
Cheshire,1,100.0%,0,0.0%,167,83.9%,32,16.1%,10,90.9%,1,9.1%,34,94.4%,2,5.6%,0,0.0%,1,100.0%,194,95.1%,10,4.9%,9,81.8%,2,18.2%,40,90.9%,4,9.1%,73,91.3%,7,8.8%,60,93.8%,4,6.3%,61,93.8%,4,6.2%,154,90.6%,16,9.4%,19,100.0%
Cleveland,1,100.0%,0,0.0%,99,69.2%,44,30.8%,7,70.0%,3,30.0%,33,84.6%,6,15.4%,5,100.0%,0,0.0%,219,87.3%,32,12.7%,8,72.7%,3,27.3%,46,80.7%,11,19.3%,67,89.3%,8,10.7%,114,78.1%,32,21.9%,12,70.6%,5,29.4%,97,80.8%,23,19.2%,3,100.0%
Cumbria,0,-,0,-,67,79.8%,17,20.2%,8,88.9%,1,11.1%,14,100.0%,0,0.0%,0,0,0,0,86,93.5%,6,6.5%,2,66.7%,1,33.3%,32,91.4%,3,8.6%,49,100.0%,0,0.0%,25,96.2%,1,3.8%,75,96.2%,3,3.8%,71,87.7%,10,12.3%,8,100.0%
Derbyshire,0,-,0,-,142,76.3%,44,23.7%,13,76.5%,4,23.5%,22,95.7%,1,4.3%,12,63.2%,7,36.8%,210,87.9%,29,12.1%,11,91.7%,1,8.3%,42,97.7%,1,2.3%,74,91.4%,7,8.6%,60,88.2%,8,11.8%,37,74.0%,13,26.0%,132,88.0%,18,12.0%,7,100.0%
Devon and Cornwall,1,100.0%,0,0.0%,171,76.0%,54,24.0%,11,73.3%,4,26.7%,28,93.3%,2,6.7%,3,100.0%,0,0.0%,154,89.5%,18,10.5%,9,81.8%,2,18.2%,57,89.1%,7,10.9%,80,96.4%,3,3.6%,62,84.9%,11,15.1%,92,88.5%,12,11.5%,193,91.5%,18,8.5%,9,100.0%
Dorset,0,-,0,-,118,81.9%,26,18.1%,11,61.1%,7,38.9%,15,62.5%,9,37.5%,0,0,0,0,170,93.4%,12,6.6%,6,100.0%,0,0.0%,36,85.7%,6,14.3%,41,95.3%,2,4.7%,70,94.6%,4,5.4%,19,67.9%,9,32.1%,93,83.0%,19,17.0%,11,100.0%
Durham,0,-,0,-,93,79.5%,24,20.5%,8,61.5%,5,38.5%,20,74.1%,7,25.9%,7,100.0%,0,0.0%,156,87.2%,23,12.8%,12,85.7%,2,14.3%,41,93.2%,3,6.8%,22,91.7%,2,8.3%,82,89.1%,10,10.9%,18,90.0%,2,10.0%,80,84.2%,15,15.8%,2,100.0%
Dyfed Powys,0,-,0,-,86,86.9%,13,13.1%,4,66.7%,2,33.3%,8,100.0%,0,0.0%,2,100.0%,0,0.0%,36,92.3%,3,7.7%,2,100.0%,0,0.0%,23,79.3%,6,20.7%,85,98.8%,1,1.2%,49,89.1%,6,10.9%,18,90.0%,2,10.0%,178,93.2%,13,6.8%,3,100.0%
Essex,2,100.0%,0,0.0%,256,78.5%,70,21.5%,16,69.6%,7,30.4%,40,88.9%,5,11.1%,11,91.7%,1,8.3%,289,95.1%,15,4.9%,17,85.0%,3,15.0%,71,91.0%,7,9.0%,88,98.9%,1,1.1%,71,84.5%,13,15.5%,108,93.1%,8,6.9%,204,89.9%,23,10.1%,11,100.0%
Gloucestershire,0,-,0,-,41,82.0%,9,18.0%,3,100.0%,0,0.0%,13,92.9%,1,7.1%,3,100.0%,0,0.0%,76,95.0%,4,5.0%,5,100.0%,0,0.0%,24,92.3%,2,7.7%,33,100.0%,0,0.0%,16,88.9%,2,11.1%,7,63.6%,4,36.4%,41,87.2%,6,12.8%,18,100.0%
GreaterManchester,0,-,0,-,474,76.6%,145,23.4%,41,67.2%,20,32.8%,79,84.0%,15,16.0%,40,88.9%,5,11.1%,515,94.1%,32,5.9%,45,95.7%,2,4.3%,171,90.0%,19,10.0%,199,93.4%,14,6.6%,291,90.1%,32,9.9%,137,85.1%,24,14.9%,387,84.7%,70,15.3%,51,100.0%
Gwent,0,-,0,-,77,71.3%,31,28.7%,10,71.4%,4,28.6%,28,87.5%,4,12.5%,5,100.0%,0,0.0%,96,90.6%,10,9.4%,9,100.0%,0,0.0%,28,93.3%,2,6.7%,55,93.2%,4,6.8%,50,84.7%,9,15.3%,29,72.5%,11,27.5%,82,91.1%,8,8.9%,4,100.0%
Hampshire,0,-,0,-,351,74.5%,120,25.5%,19,63.3%,11,36.7%,50,89.3%,6,10.7%,8,66.7%,4,33.3%,395,90.2%,43,9.8%,10,90.9%,1,9.1%,115,81.6%,26,18.4%,146,93.0%,11,7.0%,138,85.7%,23,14.3%,79,79.8%,20,20.2%,214,79.3%,56,20.7%,26,100.0%
Hertfordshire,2,100.0%,0,0.0%,146,75.6%,47,24.4%,10,76.9%,3,23.1%,21,87.5%,3,12.5%,8,61.5%,5,38.5%,198,88.4%,26,11.6%,17,94.4%,1,5.6%,43,93.5%,3,6.5%,88,89.8%,10,10.2%,62,76.5%,19,23.5%,21,67.7%,10,32.3%,155,83.3%,31,16.7%,10,100.0%
Humberside,0,-,0,-,135,83.9%,26,16.1%,18,64.3%,10,35.7%,48,90.6%,5,9.4%,5,55.6%,4,44.4%,280,92.7%,22,7.3%,10,76.9%,3,23.1%,43,89.6%,5,10.4%,73,98.6%,1,1.4%,71,97.3%,2,2.7%,24,85.7%,4,14.3%,159,90.9%,16,9.1%,12,100.0%
Kent,14,93.3%,1,6.7%,178,80.5%,43,19.5%,28,80.0%,7,20.0%,52,91.2%,5,8.8%,13,100.0%,0,0.0%,287,90.3%,31,9.7%,25,83.3%,5,16.7%,51,85.0%,9,15.0%,88,88.9%,11,11.1%,56,91.8%,5,8.2%,117,85.4%,20,14.6%,171,88.6%,22,11.4%,37,100.0%
Lancashire,1,100.0%,0,0.0%,293,76.9%,88,23.1%,25,75.8%,8,24.2%,56,87.5%,8,12.5%,16,72.7%,6,27.3%,301,91.2%,29,8.8%,16,100.0%,0,0.0%,102,85.0%,18,15.0%,99,94.3%,6,5.7%,192,92.8%,15,7.2%,121,93.8%,8,6.2%,255,83.6%,50,16.4%,26,100.0%
Leicestershire,0,-,0,-,194,81.5%,44,18.5%,14,77.8%,4,22.2%,28,93.3%,2,6.7%,4,50.0%,4,50.0%,155,94.5%,9,5.5%,24,80.0%,6,20.0%,30,83.3%,6,16.7%,37,90.2%,4,9.8%,52,89.7%,6,10.3%,10,66.7%,5,33.3%,150,87.2%,22,12.8%,5,100.0%
Lincolnshire,0,-,0,-,83,76.9%,25,23.1%,7,63.6%,4,36.4%,25,100.0%,0,0.0%,0,0,0,0,120,93.0%,9,7.0%,3,100.0%,0,0.0%,22,91.7%,2,8.3%,17,89.5%,2,10.5%,47,78.3%,13,21.7%,23,92.0%,2,8.0%,106,79.1%,28,20.9%,9,100.0%
