Payment Date,Transaction id,Supplier,Expense Type,Expense Area,Amount in Sterling
08/07/2010,2647985,42 Bedford Row,Legal & Professional Fees,Legal Directorate,1025
01/07/2010,2648127,AB Multimedia Ltd,Online Information Sources,Communications - Internal,3152.5
01/07/2010,2648054,Access Plus Marketing Service Ltd,Printing (Internal),Health Directorate - Payment by Results,712.52
06/07/2010,2648208,Access Plus Marketing Service Ltd,Printing (Internal),Financial Management Policy and Research,712.52
06/07/2010,2648219,Access Plus Marketing Service Ltd,Corporate Subscriptions,Communications - Marketing,2071.83
06/07/2010,2648288,Access Plus Marketing Service Ltd,Corporate Subscriptions,Communications - Marketing,750
15/07/2010,2648517,Access Plus Marketing Service Ltd,Publications (External),Studies,2010.19
08/07/2010,2647824,Accor Corporate Services,Health & Safety (Non Furniture),HR Service Centre,2824.75
28/07/2010,2648792,Adrian Bowen,Contractor Costs,LGH&CS management,3000
06/07/2010,2648213,Alan Pickstock Associates,Consultants (Non Time Sheet User),Communications - Account Management,4500
06/07/2010,2648293,Arena Business Centres,Office Equipment (Revenue),Regional Costs - Ops Southern,22
06/07/2010,2648293,Arena Business Centres,Postage & Delivery Charges,Regional Costs - Ops Southern,5.17
06/07/2010,2648293,Arena Business Centres,Rent Licences (Not Leased),Estate Management,1590
06/07/2010,2648293,Arena Business Centres,Telecommunication Charges,Regional Costs - Ops Southern,264.72
08/07/2010,2646829,Arnold Clark Finance Ltd,Car Termination Penalties,Organisational Development,-1.74
08/07/2010,2646829,Arnold Clark Finance Ltd,Car Termination Penalties,Organisational Development,-41.72
08/07/2010,2646829,Arnold Clark Finance Ltd,Car Termination Penalties,Organisational Development,4.53
08/07/2010,2646829,Arnold Clark Finance Ltd,Car Termination Penalties,Organisational Development,108.95
08/07/2010,2646829,Arnold Clark Finance Ltd,Car Termination Penalties,Organisational Development,434.85
13/07/2010,2647445,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of Operations - South East - Ops Southern,334.32
13/07/2010,2647445,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,London operational staff,376.8
13/07/2010,2647445,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Audit Approach Division,7.67
13/07/2010,2647445,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Audit Approach Division,272.07
13/07/2010,2647445,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of North West Management - Ops Northern,7.46
13/07/2010,2647445,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of North West Management - Ops Northern,231.83
13/07/2010,2647445,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of Operations - South East - Ops Southern,10.79
13/07/2010,2647445,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of Operations - South East - Ops Southern,713.51
13/07/2010,2647445,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,North East and Humberside,13.52
13/07/2010,2647445,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,North East and Humberside,213.14
13/07/2010,2647445,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,North East and Humberside,11.47
13/07/2010,2647445,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,North East and Humberside,307.75
13/07/2010,2647445,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Housing Admin,9.35
13/07/2010,2647445,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Housing Admin,167.26
13/07/2010,2647445,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Housing Admin,7.67
13/07/2010,2647445,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of Operations - South East - Ops Southern,7.67
13/07/2010,2647445,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Housing Admin,309.69
13/07/2010,2647445,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,London operational staff,5.86
08/07/2010,2647965,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,Head of Operations - South East - Ops Southern,51.24
08/07/2010,2647965,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,Head of Operations - South East - Ops Southern,4013.27
08/07/2010,2647966,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,London operational staff,4935.77
08/07/2010,2647966,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,London operational staff,53.04
