Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,Sussex Community NHS Trust,16/10/2013,AUC Additions,Balance Sheet,A & F PILBEAM LTD,16927223,23389
Department of Health,Sussex Community NHS Trust,23/10/2013,AUC Additions,Balance Sheet,FORD MOTOR COMPANY LTD,16976727,30397
Department of Health,Sussex Community NHS Trust,23/10/2013,AUC Additions,Balance Sheet,MAINTEL EUROPE LTD,16729800,29112.36
Department of Health,Sussex Community NHS Trust,16/10/2013,AUC Additions,Balance Sheet,TASKER CONSTRUCTION,16941049,162744.98
Department of Health,Sussex Community NHS Trust,23/10/2013,Computer Maintenance,IT Management,QLIKTECH UK LTD,16962801,26895.77
Department of Health,Sussex Community NHS Trust,15/10/2013,Computer Network Costs,IT Management,NHS SURREY AND SUSSEX CSU,16956156,105985
Department of Health,Sussex Community NHS Trust,09/10/2013,Continence Products,Continence Home Delivery,PAUL HARTMANN LTD,16950280,44395.44
Department of Health,Sussex Community NHS Trust,09/10/2013,Continence Products,Continence Home Delivery,PAUL HARTMANN LTD,16950281,47909.43
Department of Health,Sussex Community NHS Trust,23/10/2013,Continence Products,Continence Home Delivery,PAUL HARTMANN LTD,16973279,41297.49
Department of Health,Sussex Community NHS Trust,30/10/2013,Continence Products,Continence Home Delivery,PAUL HARTMANN LTD,17000868,44935.33
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,Arundel D Hosp WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,2774.1
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,Bognor WM MIU WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,436.8
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,Bognor WM Med Derm WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,158.55
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,Bognor WM Outpatients WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,295.05
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,Chronic Pain WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,332.85
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,Dental Services,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,78.75
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,Don Baines Ward WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,3964.8
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,Heart Failure North,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,-48.3
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,Horizon Unit   WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,9063.6
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,Horsham Hosp MIU WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,1199.1
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,IC South WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,34.65
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,Lane Bray Ward WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,37670.85
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,Leslie Smith Ward WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,2506.35
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,MSK - PCIS (Crawley) WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,336
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,MSK - PCIS (W) WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,436.8
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,Macmillan WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,76.65
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,Midhurst C Hosp WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,1845.9
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,Occupational Health WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,1662.15
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,S Comm Child Nursing WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,37.8
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,S Comm Neuro Team WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,53.55
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,S Podiatry WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,783.3
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,SCD Dental Lancing WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,81.9
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,Salvington Lodge WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,3744.3
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,School Nursing - South WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,8.4
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,Specialist Continuing Care,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,354.9
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,The Cherries WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,11.55
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,VW Arun WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,751.8
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,VW Bognor Cent WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,269.85
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,VW Bognor East WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,15.75
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,VW Rural WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,43.05
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,VW Shoreham WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,56.7
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,VW Worthing Cent WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,319.2
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,W Podiatry WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,262.5
Department of Health,Sussex Community NHS Trust,15/10/2013,Drugs,Zachary Merton Ward WS,WESTERN SUSSEX HOSPITALS NHS TRUST,16943886,3875.55
Department of Health,Sussex Community NHS Trust,15/10/2013,External Consultancy Fees,Chief Executive,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,16940934,52608.15
Department of Health,Sussex Community NHS Trust,23/10/2013,Limbs,Prosthetic Services,OTTO BOCK HEALTHCARE PLC,16948360,54523.93
Department of Health,Sussex Community NHS Trust,15/10/2013,Med & Surg Equip Hire,Caravelle Ward WS,SURREY AND SUSSEX HEALTHCARE NHS TRUST,16950350,8018.34
Department of Health,Sussex Community NHS Trust,15/10/2013,Med & Surg Equip Hire,Horizon Unit   WS,SURREY AND SUSSEX HEALTHCARE NHS TRUST,16950350,12565.21
Department of Health,Sussex Community NHS Trust,15/10/2013,Med & Surg Equip Hire,Stroke Rehab Ward WS,SURREY AND SUSSEX HEALTHCARE NHS TRUST,16950350,5154.65
Department of Health,Sussex Community NHS Trust,15/10/2013,Med & Surg Equip Hire,Viking Ward WS,SURREY AND SUSSEX HEALTHCARE NHS TRUST,16950350,8018.34
Department of Health,Sussex Community NHS Trust,23/10/2013,NonNHS Trade Pybls Curr,Balance Sheet,BT PLC,16988876,34218.97
Department of Health,Sussex Community NHS Trust,01/10/2013,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,16908764,49066.38
