CPS outcomes by principal offence category cestershire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,50,66.7%,25,33.3%
C Sexual Offences,4,100.0%,0,0.0%
D Burglary,16,94.1%,1,5.9%
E Robbery,0,0,0,0
F Theft And Handling,83,95.4%,4,4.6%
G Fraud And Forgery,14,87.5%,2,12.5%
H Criminal Damage,12,85.7%,2,14.3%
I Drugs Offences,29,87.9%,4,12.1%
J Public Order Offences,30,88.2%,4,11.8%
K All Other Offences (excluding Motoring),7,77.8%,2,22.2%
L Motoring Offences,120,86.3%,19,13.7%
Admin Finalisations,0,0.0%,8,100.0%
TOTAL,365,83.7%,71,16.3%
