Minister,Date,Name of organisation or individual,Purpose of meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Jul-2015,BAE Systems,To discuss the defence and aerospace sector
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Jul-2015,Nissan,To discuss investment opportunities in the UK
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Jul-2015,Start Up Loans Company,To discuss the work of the company
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Jul-2015,General Electric,To discuss inward investment
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Jul-2015,Careers and Enterprise Company,To discuss entrepreneurship
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Jul-2015,Royal Mail,To discuss competition and regulation in the postal sector
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Jul-2015,Moby Group,To discuss strategic communications
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Jul-2015,"British Bankers’ Association, Barclays, British Business Bank,  Close Brothers Group, Clydesdale, Co-op, Danske Bank, Handelsbanken, HSBC, Lloyds, Metro Bank RBS, Santander",To discuss access to finance
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Jul-2015,Virgin Atlantic ,To discuss Virgin Atlantic’s performance and future plans
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Jul-2015,Cambridge Satchel Company,To discuss self-employment
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Jul-2015,Go ON UK,To discuss deregulation
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Jul-2015,Russell Group,To discuss international students  and funding
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Jul-2015,"Birmingham Roundtable Digital Economy Council, Greater Birmingham & Solihull LEP, Agritech Leadership Council, Aerospace Growth Partnership, Medical Technology Strategy Group, Confederation of British Industry, Centrica, Sharing Economy UK, Food & Drink Federation, Perpetuum, Innovate UK, E-infrastructure Leadership Council, Toyota Manufacturing UK Ltd",To discuss industrial approach
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Sep-2015,IBM,To discuss skills
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Sep-2015,Professor Waterson,To discuss the Consumer Rights Act 2015
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Sep-2015,"Hutchinson Whampoa Ltd, Three UK",Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Sep-2015,Confederation of British Industry,To discuss Europe and Industrial Strategy
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Sep-2015,Airbus,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Sep-2015,New College of Humanities,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Sep-2015,Viacom,To discuss digital single market
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Sep-2015,"Simon Devonshire, Professor Dafforn (BIS Entrepreneurs in Residence)",To discuss the BIS Entrepreneur in Residence Scheme
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Sep-2015,London Stock Exchange,To discuss listed companies and visit to China
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, The Rt Hon Sajid Javid MP",Sep-2015,Benefit Corporation,To discuss business & society
"Minister of State for Trade and Investment, Lord Maude",Jul-2015,"The Bar Council, British Chambers of Commerce, Confederation of British Industry, City UK, EEF The Manufactures’ Organisation, Federation of Small Businesses, Institute of Chartered Accountants of England and Wales, Institute of Directors, The Law Society",To discuss the Eurozone
