Newcastle City Council Invoices over £250 paid in February 2013,,,,,,,,,
,,,,,,,,,
Directorate Name,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,05/02/2013,3663,5786340,Revenue,1KF07,BANQUETING SUITE             K,451.73 
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,05/02/2013,3663,5786431,Revenue,1KF04,STAFF RESTAURANT             K,632.93 
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,20/02/2013,3663,5801655,Revenue,1KF07,BANQUETING SUITE             K,331.85 
Environment & Regeneration,Cityworks City Hall         ,Supplies & Services,07/02/2013,3A ENTERTAINMENT LTD,5788339,Revenue,3KLCH,City Hall Holding Account    K,"55,767.11 "
Childrens Services,EDUCATION                              ,Third Party Payments,13/02/2013,A WILDERNESS WAY,5793892,Revenue,1MC02,IND Sector Placements        E,"3,500.00 "
Childrens Services,EDUCATION                              ,Third Party Payments,20/02/2013,A WILDERNESS WAY,5801369,Revenue,1MC02,IND Sector Placements        E,"3,500.00 "
Childrens Services,EDUCATION                              ,Third Party Payments,24/02/2013,A WILDERNESS WAY,5803409,Revenue,1MC02,IND Sector Placements        E,"3,500.00 "
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,05/02/2013,A&J KEITH LTD,5786237,Revenue,1KBRM,Sub Contractors R & M        K,"86,034.31 "
Environment & Regeneration,NS: Repairs & Maintenance  ,Supplies & Services,10/02/2013,A&J KEITH LTD,5789606,Revenue,1KBAA,Building Contracts           K,"1,820.00 "
Adult & Culture,Adult Serv-Arts & Cul      ,Supplies & Services,27/02/2013,AA FLAGS LTD,5808865,Revenue,1DF05,Outer West Arts Officer      M,669.00 
Environment & Regeneration,E&R-Highway&Traffic Management   ,Capital Expenditure,24/02/2013,AAG,5803749,Capital,2DP02,Devt Capital CC              K,465.00 
HRA,HRA Planning QS            ,Premises,20/02/2013,AARAN BUILDERS (NE) LTD,5801579,Revenue,1HE01,HRA NHD Mngmnt - Citywide    H,"1,388.40 "
HRA,HRA Assets                 ,Capital Expenditure,20/02/2013,AARAN BUILDERS (NE) LTD,5801577,Capital,2HE9Q,Capital Cont 9-Newburn       H,"2,496.80 "
HRA,HRA Assets                 ,Premises,20/02/2013,AARAN BUILDERS (NE) LTD,5801578,Revenue,1HE01,HRA NHD Mngmnt - Citywide    H,492.40 
Childrens Services,Childrens Services Support       ,Supplies & Services,10/02/2013,AAT (GB) LTD,5764508,Revenue,1MD66,CWD Care Packages            E,"4,772.00 "
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2013,ABBEYFIELD CASTLE FARM,5805354,Revenue,1MG20,Ind Res Care Elderly         M,"-2,212.48 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2013,ABBEYFIELD CASTLE FARM,5805354,Revenue,1MG20,Ind Res Care Elderly         M,"6,976.00 "
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2013,ABBEYFIELD THE GROVE,5805344,Revenue,1MG20,Ind Res Care Elderly         M,"-3,725.64 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2013,ABBEYFIELD THE GROVE,5805344,Revenue,1MG20,Ind Res Care Elderly         M,"6,976.00 "
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2013,ABBEYMOOR,5805355,Revenue,1MG10,Ind Nursing Care Elderly     M,-476.80 
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2013,ABBEYMOOR,5805355,Revenue,1MM10,Ind Nursing Care MH          M,-311.40 
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2013,ABBEYMOOR,5805355,Revenue,1MG10,Ind Nursing Care Elderly     M,"3,462.52 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2013,ABBEYMOOR,5805355,Revenue,1MM10,Ind Nursing Care MH          M,"2,010.56 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2013,ABBEYWELL COURT CARE HOMES,5805383,Revenue,1MG10,Ind Nursing Care Elderly     M,"2,300.00 "
