Unique Reference Number,Date,Merchant Category Code,Location,Merchant Category Group,Amount,Supplier
FCOGPC161100001,11/01/2016,LIMOUSINES AND TAXICABS,UKR,Travel - Air/Rail/Road,501.54,FOPGONCHAROV21TRSW5VOA
FCOGPC161100002,11/01/2016,DEPARTMENT STORES,PAK,General Retail and Wholesale,501.64,METRO ISLAMABAD
FCOGPC161100003,11/01/2016,AUTOMOTIVE TIRE STORES,ARE,"Vehicles, servicing and spares",503.7,AL MANKHOOL TYRES TRDG
FCOGPC161100004,11/01/2016,AUTOMOBILE PARKING LOTS AND GARAGES,USA,General Retail and Wholesale,504.57,STANDARD PARKING 
FCOGPC161100005,11/01/2016,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Statutory Bodies,511.2,CAPITA BUS SVS-MOTO
FCOGPC161100006,11/01/2016,AUTOMOTIVE BODY REPAIR SHOPS,HKG,"Vehicles, servicing and spares",516.61,CROWN MOTORS LTD-SV
FCOGPC161100007,11/01/2016,CUSTOMER FINANCIAL INST - MERCHANDISE & SERVICES,ISL,Cash,520.44,CASH-SKOTSILFUR      L
FCOGPC161100008,11/01/2016,"CLEANING AND MAINTENANCE, JANITORIAL SERVICES",BRA,Cleaning Services and Supplies,522.9,KIT CLEAN SOL LIMPEZA
FCOGPC161100009,11/01/2016,"CONTRACTORS,SPECIAL TRADE-NOT ELSEWHERE CLASSIFIED",NGA,Building Services,539.09,FRANCINO ENT NIG LTD
FCOGPC161100010,11/01/2016,"CONTRACTORS,SPECIAL TRADE-NOT ELSEWHERE CLASSIFIED",NGA,Building Services,539.09,FRANCINO ENT NIG LTD
FCOGPC161100011,11/01/2016,HOTELS/MOTELS/RESORTS ,LBN,Hotels,553.02,ACCOMMODATION PROVIDER
FCOGPC161100012,11/01/2016,CUSTOMER FINANCIAL INST - MERCHANDISE & SERVICES,ISL,Cash,562.03,CASH-SKOTSILFUR      L
FCOGPC161100013,11/01/2016,"EATING PLACES, RESTAURANTS",NAM,Restuarants and Bars,599.63,SHOW GROUND GRILL HOUS
FCOGPC161100014,11/01/2016,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,TUN,Professional Services,602.2,TUNISIE TELECOM
FCOGPC161100015,11/01/2016,HOTELS/MOTELS/RESORTS ,MLT,Hotels,611.17,ACCOMMODATION PROVIDER
FCOGPC161100016,11/01/2016,TRAVEL AGENCIES,KEN,Travel Agencies,615.86,HRG KENYA
FCOGPC161100017,11/01/2016,HARDWARE STORES,BHR,General Retail and Wholesale,624.53,ABUKHALIL BUILDING MAT
FCOGPC161100018,11/01/2016,"FREIGHT CARRIER,TRUCKING-LCL/LNG DIST, MVG/STORAGE",BRA,Freight and Storage,627.49,METROPOLITAN TRANSPORT
FCOGPC161100019,11/01/2016,"GROCERY STORES, SUPERMARKETS",EGY,General Retail and Wholesale,638.96,CARREFOUR - CFC EFT
FCOGPC161100020,11/01/2016,MISCELLANEOUS AND SPECIALTY RETAIL STORES,BRB,General Retail and Wholesale,659.2,PSMT (BARBADOS) LTD
FCOGPC161100021,11/01/2016,TRAVEL,BRA,Airline,692.47,AIRLINE
FCOGPC161100022,11/01/2016,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",BWA,Utilities and Non Automotive Fuel,701.58,SKIP HIRE
FCOGPC161100023,11/01/2016,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS",JPN,Catering and Catering Supplies,702.92,SQ BANGIT FLORDELIZA
FCOGPC161100024,11/01/2016,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.,KEN,"Office Stationery, equipment and supplies",704.24,NISSI CREATIVE SERVICE
FCOGPC161100025,11/01/2016,HARDWARE EQUIPMENT AND SUPPLIES,JOR,Miscellaneous Industrial/Commercial Supplies,724.19,BASHITI HARDWARE
