Either Way Offences and Attempts ,Current Quarter Month 1,Current Quarter Month 2,Current Quarter Month 3,Q2 2010/2011,Previous Quarter Month 1,Previous Quarter Month 2,Previous Quarter Month 3,Q2 2009/2010
Theft ,108,95,127,330,111,105,77,293
Removal of articles from places open to  the public ,0,0,0,0,0,0,0,0
Abstracting electricity,0,0,0,0,0,3,0,3
False accounting,0,0,2,2,0,0,1,1
Handling stolen goods,3,2,4,9,1,0,3,4
Going equipped for stealing etc,0,0,0,0,0,0,3,3
Making off without payment ,20,25,27,72,23,22,19,64
Making a false representation ,30,17,31,78,31,32,19,82
Failing to disclose information ,0,0,0,0,2,1,0,3
Fraud by abuse of position ,3,0,2,5,1,5,3,9
Possession of articles for use in frauds,1,1,0,2,0,0,0,0
Making or supplying articles for use in frauds,1,1,0,2,0,1,0,1
Obtaining services dishonestly ,1,4,5,10,9,3,4,16
Threats to destroy or damage property,0,0,1,1,1,0,0,1
Possessing anything with intent to destroy or damage property ,0,0,0,0,0,0,0,0
Possession of any class of drug (consistent with personal use),53,58,51,162,84,66,66,216
Other Forgery ,1,0,1,2,1,1,3,5
Total,221,203,251,675,264,239,198,701
,,,,,,,,
