Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract,Project Code,Expenditure
HMRC,HMRC,03/09/2012,Crown Sol's Off NI,Debt Management & Banking,CROWN SOLICITORS OFFICE,5100046817,"£36,247.00",High Court Cost,BT1 3JY,,,,
HMRC,HMRC,03/09/2012,Court Fees,Debt Management & Banking,THE INSOLVENCY SERVICE,5100046873,"£138,480.00",Court Fees,B4 6FD,,,,
HMRC,HMRC,03/09/2012,Debt collection serv,Debt Management & Banking,IQOR HOLDINGS LTD,5100046878,"£143,663.11",Debt Collection Services,PR1 3EL,,,,
HMRC,HMRC,03/09/2012,Debt collection serv,Debt Management & Banking,IQOR HOLDINGS LTD,5100046879,"£41,995.57",Debt Collection Services,PR1 3EL,,,,
HMRC,HMRC,03/09/2012,Debt collection serv,Debt Management & Banking,IQOR HOLDINGS LTD,5100046880,"£42,794.95",Debt Collection Services,PR1 3EL,,,,
HMRC,HMRC,03/09/2012,Non-IMS IT for CSR,People Function,SPECIALIST COMPUTER CTR,5100046886,"£39,049.27",Specialist Computer Centre (SCC) is the main contractor for the Fast Stream contract for 2013 recruitment round.  Parity Solutions is sub-contracted to SCC.  Licence fee for  Fast Stream On Line Testing and E Tray activity (£24540).  Part Payment for Set up of On Line Test environment refresh (£14509.27). ,B11 2LE,,,,
HMRC,HMRC,03/09/2012,Vehicle servicing ma,Criminal Investigations,INCHCAPE FLEET SOLUTIONS,5100046996,"£148,175.04",Vehicle Fleet Costs,P06 4RP,,,,
HMRC,HMRC,03/09/2012,Vehicle leasing,Criminal Investigations,INCHCAPE FLEET SOLUTIONS,5100046996,"£82,477.70",Vehicle Fleet Costs,P06 4RP,,,,
HMRC,HMRC,03/09/2012,Vehicle repairs,Criminal Investigations,INCHCAPE FLEET SOLUTIONS,5100046996,"£22,641.23",Vehicle Fleet Costs,P06 4RP,,,,
HMRC,HMRC,03/09/2012,Vehicle servicing ma,Criminal Investigations,INCHCAPE FLEET SOLUTIONS,5100046996,"£12,557.11",Vehicle Fleet Costs,P06 4RP,,,,
HMRC,HMRC,03/09/2012,Fleet mgmt services,Criminal Investigations,INCHCAPE FLEET SOLUTIONS,5100046996,"£10,146.17",Vehicle Fleet Costs,P06 4RP,,,,
HMRC,HMRC,03/09/2012,Vehicle repairs,Criminal Investigations,INCHCAPE FLEET SOLUTIONS,5100046996,£955.83,Vehicle Fleet Costs,P06 4RP,,,,
HMRC,HMRC,04/09/2012,High Court Costs,Debt Management & Banking,RBSG CENTRAL,1900111078,"£40,000.00",High Court Costs,SE99 1AA,,,,
HMRC,HMRC,04/09/2012,Employee education,People Function,UNIVERSITY OF SOUTHAMPTON,5100047190,"£36,000.00",Training to upskill staff in specialist professions across Knowledge Analysis and Intelligence (KAI),SO17 1BJ,,,,
HMRC,HMRC,04/09/2012,Marketing Promotion,Communications & Marketing,WCRS,5100047195,"£25,922.30",ERG Approved research on SA Campaign,W1W 7RT,,,,
HMRC,HMRC,04/09/2012,Proprietry sys maint,Information Management Services,DWP,5100047201,"£63,497.56",Activation PINS & user ID card production recharges (Jul 12),CF14 3UW
HMRC,HMRC,04/09/2012,External Database IS,Information Management Services,SPECIALIST COMPUTER CTR,5100047277,"£50,245.66",Gartner review of Single Business Identifier (SBI) project root cause analysis,B11 2LE
HMRC,HMRC,05/09/2012,Dept forms Stock,Commercial Directorate,WILLIAMS LEA LTD,5100037603,"£52,330.50",Generic print product,WF6 1TN
HMRC,HMRC,05/09/2012,Landlord Charges,Estates & Support Services,LAMBERT SMITH HAMPTON GROUP LTD,5100047321,"£26,042.98",Standard Landlord Service Charge payable to the Landlord,W1D 1NN
HMRC,HMRC,05/09/2012,Landlord Charges,Estates & Support Services,LAMBERT SMITH HAMPTON GROUP LTD,5100047321,"£1,960.22",Standard Landlord Service Charge payable to the Landlord,W1D 1NN
HMRC,HMRC,05/09/2012,Non PFI serv VAT,Estates & Support Services,MacLELLAN INTERNATIONAL LTD,5100047330,"£433,439.70",Monthly charge for provision of services on the Newcastle estate,B70 1EN
HMRC,HMRC,05/09/2012,Rent,Estates & Support Services,SOMERSET HOUSE TRUST,5100047450,"£553,256.93",Quarterly rent payment payable to the Landlord,WC2R 1LA
HMRC,HMRC,05/09/2012,Landlord Charges,Estates & Support Services,SOMERSET HOUSE TRUST,5100047450,"£244,877.41",Standard Landlord Service Charge payable to the Landlord,WC2R 1LA
HMRC,HMRC,05/09/2012,Rent,Estates & Support Services,WESTFIELD,5100047451,"£142,121.27",Quarterly rent payment payable to the Landlord,WC1V 6EA
HMRC,HMRC,05/09/2012,Landlord Charges,Estates & Support Services,WESTFIELD,5100047451,"£4,130.23",Standard Landlord Service Charge payable to the Landlord,WC1V 6EA
HMRC,HMRC,05/09/2012,Build/cont insurance,Estates & Support Services,WESTFIELD,5100047451,"£1,138.50",Building insurance,WC1V 6EA
HMRC,HMRC,05/09/2012,Research (VAT rec),Business Customer & Strategy,QUADRANGLE GROUP LLP,5100047456,"£90,288.00",Research (VAT rec),SE1 2YE
HMRC,HMRC,05/09/2012,Samplng & Analytical,Specialist Investigations (SI),LGC LTD,5100047470,"£95,657.99",Forensic Services,TW11 0LY
HMRC,HMRC,05/09/2012,Dept forms Stock,Commercial Directorate,WILLIAMS LEA LTD,5100047479,"£46,470.34",Generic print product,WF6 1TN
HMRC,HMRC,05/09/2012,Dept forms Stock,Commercial Directorate,WILLIAMS LEA LTD,5100047480,"£27,970.20",Generic print product,WF6 1TN
HMRC,HMRC,05/09/2012,Dept forms Stock,Commercial Directorate,WILLIAMS LEA LTD,5100047487,"£26,328.60",Generic print product,WF6 1TN
HMRC,HMRC,05/09/2012,Dept forms Stock,Commercial Directorate,WILLIAMS LEA LTD,5100047501,"£46,599.17",Generic print product,WF6 1TN
