Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Oldham CCG,30/11/2014,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,ST GEORGES NURSING HOME LTD,5593210,"28,509.05",,5205
Department of Health,NHS Oldham CCG,30/11/2014,Charges from CSU,QUALITY ASSURANCE,NHS GREATER MANCHESTER CSU,5609721,"272,242.00",,7300001867
Department of Health,NHS Oldham CCG,30/11/2014,Clinical&Medical-Voluntary Sector,MENTAL HEALTH CONTRACTS,TURNING POINT (SERVICES) LTD,5637649,"199,938.07",447222460,SITPS00008656
Department of Health,NHS Oldham CCG,30/11/2014,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,CHADDERTON TOTAL-CARE UNIT LTD,5637948,"33,198.89",,I0058656
Department of Health,NHS Oldham CCG,30/11/2014,Cont Care-Mental Health (<65),CHC ADULT JOINT FUNDED,CHADDERTON TOTAL-CARE UNIT LTD,5637953,"42,210.60",,I0058636
Department of Health,NHS Oldham CCG,30/11/2014,Clinical&Medical-Independent Sector,OUT OF HOURS,GO TO DOC LTD,5662131,"143,760.00",,7808
Department of Health,NHS Oldham CCG,30/11/2014,Clinical&Medical-Independent Sector,OUT OF HOURS,GO TO DOC LTD,5662136,"143,760.00",,7807
Department of Health,NHS Oldham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-CQUIN,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,5662188,"39,083.00",,40051465
Department of Health,NHS Oldham CCG,30/11/2014,Hcare Srv Rec NHS Trust-Drugs,COMMUNITY SERVICES,PENNINE ACUTE HOSPITALS NHS TRUST,5662277,"33,130.32",,113459
Department of Health,NHS Oldham CCG,30/11/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,PENNINE ACUTE HOSPITALS NHS TRUST,5662281,"137,164.50",,113458
Department of Health,NHS Oldham CCG,30/11/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,PENNINE ACUTE HOSPITALS NHS TRUST,5662285,"55,843.00",,113457
Department of Health,NHS Oldham CCG,30/11/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,PENNINE MSK PARTNERSHIP,5677465,"443,170.00",,737
Department of Health,NHS Oldham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,5677476,"48,071.00",,2110015778
Department of Health,NHS Oldham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5677488,"626,260.00",,6210013908
Department of Health,NHS Oldham CCG,30/11/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,NORTH WEST AMBULANCE SERVICE NHS TRUST,5677536,"549,108.00",654435138,4110012935
Department of Health,NHS Oldham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,5677560,"173,128.54",654941709,318063
Department of Health,NHS Oldham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,5677600,"615,666.00",,3110005535
Department of Health,NHS Oldham CCG,30/11/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,5677627,"289,891.17",,33351
Department of Health,NHS Oldham CCG,30/11/2014,Clinical&Medical-Voluntary Sector,HOSPICES,DR KERSHAWS HOSPICE,5677644,"(37,930.00)",,67
Department of Health,NHS Oldham CCG,30/11/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,OAKLANDS HOSPITAL,5677723,"102,857.00",,1251114
Department of Health,NHS Oldham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,5677747,"45,765.00",,40051444
Department of Health,NHS Oldham CCG,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,5677752,"265,784.00",,1000156553
Department of Health,NHS Oldham CCG,30/11/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,PENNINE ACUTE HOSPITALS NHS TRUST,5677765,"48,386.92",,113460
