Minister,Date,Name of External Organisation,Purpose of meeting,
"Secretary of State for Environment, Food and Rural Affairs",,"Greenpeace, National Trust, Woodland Trust, Wildlife and Countryside Link, Campaign for the Protection of Rural England, World Wildlife Fund, Royal Society for the Protection of Birds, Green Alliance, Living Landscape",Introductory meeting to discuss Climate Change,
"Secretary of State for Environment, Food and Rural Affairs",May-10,National farmers Union,Introductory meeting,
"Secretary of State for Environment, Food and Rural Affairs",May-10,National Council Voluntary Organisation & 3rd Sector meeting,Introductory session with key stakeholders,
"Secretary of State for Environment, Food and Rural Affairs",May-10,Stakeholder Breakfast Event,100 main stakeholders introductory meeting,
"Secretary of State for Environment, Food and Rural Affairs",Jun-10,Food & Drink Federation,Introductory meeting,
"Secretary of State for Environment, Food and Rural Affairs",Jun-10,"Timber Trade Federation & NGOs: World Wildlife Fund, Environmental Investigations Agency, Greenpeace, Timber Trade Federation, Confor , Kingfisher, Progressio",To discuss international forestry issues,
"Secretary of State for Environment, Food and Rural Affairs",Jun-10,Country Land & Business Association,Introductory meeting,
"Secretary of State for Environment, Food and Rural Affairs",Jun-10,Morrisons,Introductory meeting,
"Secretary of State for Environment, Food and Rural Affairs",Jun-10,Tenant Farmers Association,Introductory meeting,
"Secretary of State for Environment, Food and Rural Affairs",Jun-10,Waitrose,To discuss Countryside/Rural issues,
"Secretary of State for Environment, Food and Rural Affairs",Jul-10,University of Oxford,To discuss badgers,
"Secretary of State for Environment, Food and Rural Affairs",Jul-10,United Utilities,To discuss drought,
"Secretary of State for Environment, Food and Rural Affairs",Jul-10,The Royal Society for the Protection of Birds,To discuss Spending Review/Biodiversity,
"Secretary of State for Environment, Food and Rural Affairs",Jul-10,Confederation of British Industry,To discuss waste/climate change,
"Secretary of State for Environment, Food and Rural Affairs",Jul-10,National Farmers Union,to discuss spending review,
"Secretary of State for Environment, Food and Rural Affairs",Jul-10,English National Park Authorities Association,To discuss National parks/funding,
"Secretary of State for Environment, Food and Rural Affairs",Jul-10,Federation of Small Businesses,Introductory meeting to business in rural areas,
"Secretary of State for Environment, Food and Rural Affairs",Jul-10,Church Building Council,To discuss Bats,
Minister of State for Agriculture and Food,May-10,"Greenpeace, National Trust, Woodland Trust, Wildlife and Countryside Link, Campaign to Protect Rural England, World Wildlife Foundation, Royal Society for the Protection of Birds, Green Alliance, Living Landscape",To discuss manifesto commitments with green groups,
Minister of State for Agriculture and Food,May-10,National Farmers’ Union,To discuss farming issues,
Minister of State for Agriculture and Food,Jun-10,Farming Regulation Task Force,To discuss deregulation of farming,
Minister of State for Agriculture and Food,Jun-10,"Game Farmers Association, Independent Expert, National Gamekeepers Organisation, The British Association for Sooting & Conservation, Country Land and Business Association, Game & Wildlife Conservancy Trust, Royal Society for the Prevention of Cruelty to Animals, Countryside Alliance, League Against Cruel Sports",To discuss gamebird codes,
Minister of State for Agriculture and Food,Jun-10,Masters of Foxhounds,To discuss hunting,
Minister of State for Agriculture and Food,Jun-10,Food & Drink Federation,To discuss food strategy,
Minister of State for Agriculture and Food,Jun-10,"World Wildlife Fund, Environmental Investigation Agency, Greenpeace, Confor, Kingfisher, Progressio , Timber Trade Federation",To discuss International Forestry,
Minister of State for Agriculture and Food,Jun-10,British Horse Society,To discuss the horse industry,
Minister of State for Agriculture and Food,Jun-10,National Farmers’ Union,"To discuss badger control, Campaign for Farmed Environment, Deregulation of Farming, Chicken Stocking Density",
Minister of State for Agriculture and Food,Jun-10,Country Land & Business Association,,"To discuss the countryside, biodiversity & CAP reform"
Minister of State for Agriculture and Food,Jun-10,National Farmers’ Union Scotland,Initial Meeting,
Minister of State for Agriculture and Food,Jun-10,National Farmers’ Union,To discuss TB Eradication,
Minister of State for Agriculture and Food,Jun-10,British Poultry Council,To discuss Chicken Stock Density,
Minister of State for Agriculture and Food,Jun-10,National Beef Association,To discuss the Beef Cattle Industry,
