Department Family ,Entity ,Date ,Expense Type ,Expense Area ,Supplier ,Transaction Number ,Amount ,Invoice Description ,Postal Code ,Supplier Type ,Contract Number ,Project Code ,Expenditure Type 
Crown Prosecution Service,Crown Prosecution Service,30/01/2012,Logica contract,Business Information Sys Dir,Logica UK Limited London,300112,"452,184.92",T3 revised Core Infrastructure transition charge,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/01/2012,Crown Court Graduated Fee Scheme,Avon & Somerset,Rowland Nicholas ,1146787,"40,122.23",Crown Court Graduated Fee Scheme,EC4Y 7EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/01/2012,Crown Court Graduated Fee Scheme,Cheshire,Chambers Michael Laurence ,1147001,"63,464.20",Crown Court Graduated Fee Scheme,CH1 2LU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/01/2012,Crown Court Graduated Fee Scheme,Avon & Somerset,Lickley Nigel ,1147033,"72,520.66",Crown Court Graduated Fee Scheme,EC4Y 7EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/01/2012,Crown Court Graduated Fee Scheme,London,Millett Kenneth ,1147646,"60,754.12",Crown Court Graduated Fee Scheme,EC4Y 7BH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,09/01/2012,Crown Court Graduated Fee Scheme,West Mercia,Hankin Jonas ,1147989,"33,095.30",Crown Court Graduated Fee Scheme,B2 5LS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,09/01/2012,Crown Court Graduated Fee Scheme,West Yorkshire,Moulson Peter ,1148008,"45,139.64",Crown Court Graduated Fee Scheme,LS1 2LW,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,09/01/2012,Crown Court Graduated Fee Scheme,Durham,Scott-Bell Rosalind ,1148049,"27,380.41",Crown Court Graduated Fee Scheme,NE1 3DE,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/01/2012,Crown Court Graduated Fee Scheme,Central Fraud Group,Weeks Janet ,1148642,"45,140.22",Crown Court Graduated Fee Scheme,EC4Y 7HB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/01/2012,Crown Court Graduated Fee Scheme,West Yorkshire,Moulson Peter ,1148666,"51,034.80",Crown Court Graduated Fee Scheme,LS1 2LW,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/01/2012,Presentational Equipment,Central Fraud Group,Control Risks Group London,1148942,"41,214.74",Presentational Equipment,SE1 2QG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/01/2012,Expert Fees,Special Crime Division,J P French Associates York,1149350,"45,455.10",Expert Fees,YO24 1AR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/01/2012,Crown Court Graduated Fee Scheme,Northumbria,Smith Robert QC ,1149504,"68,006.09",Crown Court Graduated Fee Scheme,LS1 2SJ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/01/2012,Crown Court Graduated Fee Scheme,Merseyside,Flewitt Neil ,1149530,"66,222.84",Crown Court Graduated Fee Scheme,L2 9YA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,12/01/2012,Legacy RCPO Scheme Fees,Central Fraud Group,Parroy Michael ,1149941,"34,575.48",Southwark CC 071111 - 301111,EC4Y 7EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,13/01/2012,Crown Court Graduated Fee Scheme,London,Stimpson C ,1150393,"53,900.78",Crown Court Graduated Fee Scheme,EC4Y 9DB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,17/01/2012,Crown Court Graduated Fee Scheme,London,Aylett Crispin David William  ,1150866,"58,705.20",Crown Court Graduated Fee Scheme,WC1R 5BH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,17/01/2012,Crown Court Graduated Fee Scheme,West Midlands,Raggatt Timothy ,1151044,"39,260.64",Crown Court Graduated Fee Scheme,B2 5LG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,17/01/2012,Crown Court Graduated Fee Scheme,West Midlands,Heywood Mark ,1151300,"31,793.51",Crown Court Graduated Fee Scheme,B4 6DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/01/2012,Crown Court Very High Cost Cases,Organised Crime Division,Thompson Collingwood ,1151461,"32,880.00",Crown Court Very High Cost Cases,WC1R 4BS,Not available,Not available,Not available,Programme
