Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,PHARMACY,DIAGNOSTICS,AAH HOSPITAL SERVICE,"47,340.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,PHARMACY,DIAGNOSTICS,ALLOGA UK LTD,"25,500.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2017,HIRE OF CLINICAL EQUIPMENT,PATIENT AND PUBLIC INVOLVEMENT,ARJO HUNTLEIGH,"85,484.40",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2017,PHARMACY PILGRIM,DIAGNOSTICS,BAYER PLC,"31,464.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,EXTERNAL LAUNDRY CONTRACT,SITE ESTATES & FACIL BOSTON,BERENDSEN UK LTD (SUNLIGHT),"34,135.45",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,EXTERNAL LAUNDRY CONTRACT,SITE ESTATES & FACIL LINCOLN,BERENDSEN UK LTD (SUNLIGHT),"43,526.92",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,11/04/2017,SERVICES FROM NON-NHS BODIES,ORTHOPAEDICS BOSTON,BMI HEALTHCARE LTD,"43,980.92",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,11/04/2017,SERVICES FROM NON-NHS BODIES,ORTHOPAEDICS LINCOLN,BMI HEALTHCARE LTD,"23,575.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,ENGIN AND MAINT EXT CONTRACTS,CORPORATE ESTATES & FACIL,BOC LTD (MANCHESTER),"74,958.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,EQUIPMENT >5K,CAPITAL PROGRAMME,CARL ZEISS LTD,"58,519.63",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,EQUIPMENT >5K,CAPITAL PROGRAMME,CARL ZEISS LTD,"58,519.63",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,ENGIN AND MAINT EXT CONTRACTS,CORPORATE ESTATES & FACIL,CHECKMATE FIRE SOLUTIONS LTD,"30,000.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,ENGINEERING SERVICES,CAPITAL PROGRAMME,COVAC LIMITED,"92,776.23",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,STRUCTURE,CAPITAL PROGRAMME,D J HINTON & CO LIMITED,"24,734.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,STRUCTURE,CAPITAL PROGRAMME,D J HINTON & CO LIMITED,"30,000.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,EQUIPMENT >5K,CAPITAL PROGRAMME,DRAEGER MEDICAL UK LIMITED,"109,982.56",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/04/2017,ELECTRICITY,SITE ESTATES & FACIL BOSTON,EDF ENERGY 1 LIMITED,"45,840.91",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/04/2017,ELECTRICITY,SITE ESTATES & FACIL GRANTHAM,EDF ENERGY 1 LIMITED,"34,190.24",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/04/2017,CHILDCARE VOUCHERS,PAN TRUST,FIDELITI LTD,"44,203.24",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,EQUIPMENT >5K,CAPITAL PROGRAMME,FUJIFILM UK LTD,"74,400.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2017,EQUIPMENT >5K,CAPITAL PROGRAMME,GE MEDICAL SYSTEMS LTD,"118,819.95",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,EQUIPMENT >5K,CAPITAL PROGRAMME,GE MEDICAL SYSTEMS LTD,"210,518.81",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,EQUIPMENT >5K,CAPITAL PROGRAMME,GE MEDICAL SYSTEMS LTD,"87,711.81",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,EQUIPMENT >5K,CAPITAL PROGRAMME,GE MEDICAL SYSTEMS LTD,"70,190.42",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,EQUIPMENT >5K,CAPITAL PROGRAMME,GE MEDICAL SYSTEMS LTD,"51,730.01",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,STRUCTURE,CAPITAL PROGRAMME,GELDER LTD,"147,625.97",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,STRUCTURE,CAPITAL PROGRAMME,GELDER LTD,"63,040.56",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,EQUIPMENT >5K,CAPITAL PROGRAMME,GETINGE UK LIMITED,"200,836.06",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"35,256.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"33,805.44",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"26,058.36",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,PAYE,PAN TRUST,HM REVENUE & CUSTOMS,"2,828,586.45",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,PAYE,PAN TRUST,HM REVENUE & CUSTOMS,"3,199,348.21",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,FUEL - STEAM,SITE ESTATES & FACIL BOSTON,INDUSTRIAL ENERGY SERVICES LTD,"70,442.19",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,FUEL - STEAM,SITE ESTATES & FACIL BOSTON,INDUSTRIAL ENERGY SERVICES LTD,"108,058.65",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,ENGIN AND MAINT EXT CONTRACTS,CORPORATE ESTATES & FACIL,LANTEI LTD,"24,140.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,COURSE FEES,ORG DEVELOPMENT & TRAINING,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"34,200.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,EXTERNAL CONTRACTS,FINANCE,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"37,566.67",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,STRUCTURE,CAPITAL PROGRAMME,LINDUM GROUP LTD,"110,865.45",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,STRUCTURE,CAPITAL PROGRAMME,LINDUM GROUP LTD,"256,494.82",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2017,STRUCTURE,CAPITAL PROGRAMME,LINDUM GROUP LTD,"434,484.94",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,LLOYDS PHARM DISPENSING COSTS,PHARMACY,LLOYDS PHARMACY,"41,967.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,LLOYDS PHARMACY,PHARMACY,LLOYDS PHARMACY,"718,150.71",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,LICENCE FEES - GENERAL,CORPORATE ESTATES & FACIL,MICAD SYSTEM UK LTD,"47,043.28",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2017,COST OF FP 10 PRESCRIPTIONS,PHARMACY,NHS BUSINESS SERVICES AUTHORITY (FP10),"28,710.72",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/04/2017,CNST CONTRIBUTIONS,DIAGNOSTICS,NHS LITIGATION AUTHORITY,"17,617.91",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/04/2017,CNST CONTRIBUTIONS,GOVERNANCE,NHS LITIGATION AUTHORITY,"1,563,777.69",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/04/2017,CNST CONTRIBUTIONS,W&C SERVICES BOSTON,NHS LITIGATION AUTHORITY,"223,281.39",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/04/2017,CNST CONTRIBUTIONS,W&C SERVICES LINCOLN,NHS LITIGATION AUTHORITY,"346,695.21",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/04/2017,CNST CONTRIBUTIONS,GOVERNANCE,NHS LITIGATION AUTHORITY,"34,897.10",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,PROPERTY LEASE,CORPORATE ESTATES & FACIL,NHS PROPERTY SERVICES LTD,"106,833.37",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,PROPERTY LEASE,CORPORATE ESTATES & FACIL,NHS PROPERTY SERVICES LTD,"23,597.13",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2017,PROPERTY LEASE,CORPORATE ESTATES & FACIL,NHS SOUTH LINCOLNSHIRE CCG,"207,533.28",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,EQUIPMENT >5K,CAPITAL PROGRAMME,NHS SUPPLY CHAIN (CAPITAL INVOICES ONLY),"66,449.40",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,XRAY MAINTENANCE,DIAGNOSTICS,NHS SUPPLY CHAIN (MAINTENANCE),"25,120.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,XRAY MAINTENANCE,DIAGNOSTICS,NHS SUPPLY CHAIN (MAINTENANCE),"121,275.98",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,XRAY MAINTENANCE,DIAGNOSTICS,NHS SUPPLY CHAIN (MAINTENANCE),"67,942.27",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,XRAY MAINTENANCE,DIAGNOSTICS,NHS SUPPLY CHAIN (MAINTENANCE),"64,689.71",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,XRAY MAINTENANCE,DIAGNOSTICS,NHS SUPPLY CHAIN (MAINTENANCE),"48,129.83",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,XRAY MAINTENANCE,DIAGNOSTICS,NHS SUPPLY CHAIN (MAINTENANCE),"140,008.80",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/04/2017,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),"259,473.47",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,11/04/2017,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),"229,123.63",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/04/2017,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),"248,113.75",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,PATHOLOGY SERVICES,BLOOD & PATHLINKS,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"837,307.50",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2017,PATHOLOGY SERVICES,BLOOD & PATHLINKS,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"34,060.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2017,ENGIN AND MAINT EXT CONTRACTS,CORPORATE ESTATES & FACIL,OAKLEAF TECHNICAL SERVICES LTD,"35,506.33",Apr-17
