Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/09/2014,MINOR CLINICAL EQUIPMENT,INTEGRATED MEDICINE LINCOLN,MEDTRONIC LTD,"66,240.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/09/2014,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"28,875.48",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/09/2014,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"51,688.80",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/09/2014,HIRE OF CLINICAL EQUIPMENT,SURGICAL SERVICES BOSTON,ARJO HUNTLEIGH,"87,933.60",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/09/2014,FUEL - STEAM,DIRECTOR OF ESTATES & FACILITIES,DALKIA UTILITIES SERVICES PLC,"98,893.79",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/09/2014,HIRE OF CLINICAL EQUIPMENT,SURGICAL SERVICES BOSTON,ARJO HUNTLEIGH,"88,322.40",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/09/2014,PROPERTY LEASE,DIRECTOR OF ESTATES & FACILITIES,NHS PROPERTY SERVICES LTD,"122,716.38",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/09/2014,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"213,270.59",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/09/2014,BLOOD PRODUCTS,BLOOD & PATHLINKS,NHS BLOOD AND TRANSPLANT,"73,898.63",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/09/2014,FUEL - STEAM,DIRECTOR OF ESTATES & FACILITIES,DALKIA UTILITIES SERVICES PLC,"92,889.22",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/09/2014,RENTS,DIRECTOR OF ESTATES & FACILITIES,PROGRESS CARE HOUSING ASSOCIATION LTD,"81,273.63",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/09/2014,STRUCTURE,CAPITAL PROGRAM,J TOMLINSON LTD,"83,481.77",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/09/2014,ELECTRICITY,DIRECTOR OF ESTATES & FACILITIES,EDF ENERGY 1 LIMITED,"45,371.98",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,11/09/2014,EXTERNAL CONTRACTS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"40,020.50",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/09/2014,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"195,028.82",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,PHARMACY PILGRIM,DIAGNOSTICS,ROCHE PRODUCTS LTD,"29,103.84",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"36,622.56",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"38,967.50",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,ADMIN CLERICAL OTHER,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"30,666.66",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,OTHER NURSING,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"62,696.15",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF ESTATES & FACILITIES,BERENDSEN UK LTD (SUNLIGHT),"32,444.45",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF ESTATES & FACILITIES,BERENDSEN UK LTD (SUNLIGHT),"42,175.30",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,SERVICES FROM NON-NHS BODIES,DIRECTOR OF OPERATIONS,SYNERGY HEALTH (UK) LTD,"244,811.50",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,ELECTRICITY,DIRECTOR OF ESTATES & FACILITIES,EDF ENERGY 1 LIMITED,"85,328.38",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,FUEL - STEAM,DIRECTOR OF ESTATES & FACILITIES,COFELY LTD,"48,523.48",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,NETWORK HARD/W,DIRECTOR OF PERF IMPROVEMENT,INTRINSIC TECHNOLOGY,"29,792.72",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,BLOOD PRODUCTS,BLOOD & PATHLINKS,NHS BLOOD AND TRANSPLANT,"103,443.64",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,FUEL - STEAM,DIRECTOR OF ESTATES & FACILITIES,DALKIA UTILITIES SERVICES PLC,"51,813.90",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,FUEL - STEAM,DIRECTOR OF ESTATES & FACILITIES,DALKIA UTILITIES SERVICES PLC,"51,813.90",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,FUEL - STEAM,DIRECTOR OF ESTATES & FACILITIES,DALKIA UTILITIES SERVICES PLC,"51,813.90",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,WATER AND SEWERAGE,DIRECTOR OF ESTATES & FACILITIES,ANGLIAN WATER,"29,494.36",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,MEDICAL NEGLIGENCE,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,BROWNE JACOBSON,"21,019.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,EXTERNAL AUDIT,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,KPMG LLP,"30,637.50",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,ELECTRICITY,DIRECTOR OF ESTATES & FACILITIES,EDF ENERGY 1 LIMITED,"38,479.28",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,ELECTRICITY,DIRECTOR OF ESTATES & FACILITIES,EDF ENERGY 1 LIMITED,"33,963.71",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,ELECTRICITY,DIRECTOR OF ESTATES & FACILITIES,EDF ENERGY 1 LIMITED,"79,105.42",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,CPAP MACHINES,CAPITAL PROGRAM,THE SNORING DISORDERS CENTRE LTD,"31,249.56",Sep-14
