FCO SPADS – QUARTERLY RETURN ,,
01 April to 30 June 2013,,
,,
SPECIAL ADVISERS’  HOSPITALITY RECEIVED[1] ,,
,,
,,
ARMINKA HELIC,,
Date of hospitality,Name of organisation ,Type of hospitality received
,,
,,
,,
CHLOE DALTON,,
Date of hospitality,Name of organisation ,Type of hospitality received
,,
,,
,,
DENZIL DAVIDSON,,
Date of hospitality,Name of organisation ,Type of hospitality received
,,
,,
NAWEED KHAN,,
Date of hospitality,Name of organisation ,Type of hospitality received
,,
,,
,,
,,
,,
,,
,,
,,
"SPECIAL ADVISERS’ MEETINGS NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES",,
,,
,,
ARMINKA HELIC,,
Month of Meeting ,Name,Purpose of Meeting  
,,
,,
CHLOE DALTON,,
Month of Meeting ,Name,Purpose of Meeting  
,,
,,
DENZIL DAVIDSON,,
Month of Meeting ,Name,Purpose of Meeting  
,,
,,
,,
NAWEED KHAN,,
Month of Meeting ,Name,Purpose of Meeting  
,,
,,
,,
,,
,,
,,
,,
,,
,,
[1] ‘Does not include details of meetings where special advisers attended alongside their Ministers’.,,
,,
,,
,,
"[1] ‘Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined. * indicates if accompanied by spouse/partner or other family member or friend.’ ",,
