YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEU_BIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,LaboratoryTests2,Commodity,Commodity_List,Species,Species_List,CountryOfDestination,Motivation,LaboratoryTests3,SampleDate,Results2,SampleCount,LaboratoryTestConclusion,ReleasedDate
2017,Q1,1,23,IN,GB,Stansted,GB,GB,IN,India,GB,CVEDP,No,Animal Feedingstuff,2.2,0.63,/,/,notsatisfactory,satisfactory,notdone,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2017-04-28,2017,Q2,4,28,-,00230910,00230910,-,,United Kingdom,-,-,,-,-,-,
2017,Q1,2,10,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,12905,10502,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-04-07,2017,Q2,4,7,-,00230910,00230910,-,,United Kingdom,-,-,,-,-,-,
2017,Q1,2,15,AU,GB,Southampton P,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,13329.5,12575.7,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-07,2017,Q2,4,7,-,02044250,02044250|02044310,Ovis Aries,Ovis Aries|Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q1,2,15,AU,GB,Southampton P,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,13329.5,12575.7,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-07,2017,Q2,4,7,-,02044310,02044250|02044310,Ovis Aries,Ovis Aries|Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q1,2,16,NZ,GB,Southampton P,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,18415.46,17979.2,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-03,2017,Q2,4,3,-,02069099,02069099,Ovis Aries,Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q1,2,16,NZ,GB,Southampton P,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,18348,17952,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-03,2017,Q2,4,3,-,02044310,02044310,Ovis Aries,Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q1,2,22,CN,GB,Felixstowe P,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,2944,558.66,/,/,notsatisfactory,notsatisfactory,satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,5. Id: Mis-Match With Documents,2017-04-07,2017,Q2,4,7,-,00230910,00230910,-,,United Kingdom,-,-,,-,-,-,
2017,Q1,2,22,CN,GB,Felixstowe P,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,2944,558.66,/,/,notsatisfactory,notsatisfactory,satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,1. Absence/Invalid Certificate,2017-04-07,2017,Q2,4,7,-,00230910,00230910,-,,United Kingdom,-,-,,-,-,-,
2017,Q1,2,22,CN,GB,Felixstowe P,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,4153.5,543.96,/,/,satisfactory,notsatisfactory,satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,5. Id: Mis-Match With Documents,2017-04-05,2017,Q2,4,5,-,00230910,00230910,-,,United Kingdom,-,-,,-,-,-,
2017,Q1,2,23,NZ,GB,Southampton P,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,13944.55,13372.23,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-04,2017,Q2,4,4,-,02044250,02044250,Ovis Aries,Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q1,2,23,NZ,GB,Southampton P,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,13135.7,12654.86,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-04,2017,Q2,4,4,-,02044290,02044290|02044290|02044290|02044290,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries|Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q1,3,1,AU,GB,Southampton P,AT,AT,AU,Australia,GB,CVEDP,No,Human Consumption,15854.93,15298.37,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-04,2017,Q2,4,4,-,02044250,02044250,Ovis Aries,Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q1,3,2,CN,GB,Felixstowe P,GB,GB,CN,China,GB,CVEDP,No,Human Consumption,8855,8405,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-01,2017,Q2,4,1,-,05040000,05040000,Sus Scrofa,Sus Scrofa,United Kingdom,-,-,,-,-,-,
2017,Q1,3,2,NZ,GB,Southampton P,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,19847.75,18360,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-04-15,2017,Q2,4,15,-,03047950,03047950|03047950,Macruronus Novaezelandiae,Macruronus Novaezelandiae|Macruronus Novaezelandiae,United Kingdom,-,-,,-,-,-,
