Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount in Sterling
Department of Health,The Pennine Acute Hospitals NHS Trust,03/08/2017,Leased Car Insurance,Corporate Services Other,BRIAN JOHNSTON & CO (INSURANCE BROKERS),0001690811,"762,003.20"
Department of Health,The Pennine Acute Hospitals NHS Trust,03/08/2017,Professional Fees - Capsticks,Corporate Services Other,CAPSTICKS,0001691140,"38,666.04"
Department of Health,The Pennine Acute Hospitals NHS Trust,15/08/2017,SLA Central Mcr Various,Women & Children,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001663348,"208,467.40"
Department of Health,The Pennine Acute Hospitals NHS Trust,15/08/2017,SLA Central Mcr Various,Women & Children,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001664504,"182,141.90"
Department of Health,The Pennine Acute Hospitals NHS Trust,15/08/2017,SLA Central Mcr Various,Women & Children,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001695419,"171,560.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,04/08/2017,SLA Central Mcr Immunology,Estates and Facilities,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001687154,"60,727.43"
Department of Health,The Pennine Acute Hospitals NHS Trust,04/08/2017,SLA Central Mcr Virology,Estates and Facilities,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001687137,"33,878.19"
Department of Health,The Pennine Acute Hospitals NHS Trust,17/08/2017,Child Care Vouchers,Child Care Vouchers,CHILDCARE VOUCHERS LIMITED,0001696331,"98,158.58"
Department of Health,The Pennine Acute Hospitals NHS Trust,17/08/2017,Professional Fees,Corporate Services Other,CHILDCARE VOUCHERS LIMITED,0001696331,"2,355.80"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,AfC AHPs Agency Staff,Integrated & Community Service,COMMUNITY INTEGRATED CARE,0001693366,"41,376.36"
Department of Health,The Pennine Acute Hospitals NHS Trust,17/08/2017,PAS Systems Maintenance,Corporate Services Other,CSC CHORLEY,0001673580,"29,812.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,17/08/2017,Bld Contract Pennine Acute,Capital,D H WELTON CO LTD,0001690215,"58,227.47"
Department of Health,The Pennine Acute Hospitals NHS Trust,17/08/2017,Technical Agency Staff,Medicine,E-LOGICA LTD,0001692400,"43,587.50"
Department of Health,The Pennine Acute Hospitals NHS Trust,30/08/2017,M & S Equipment,Capital,ENVIROGEN WATER TECHNOLOGIES LTD,0001698479,"30,858.60"
Department of Health,The Pennine Acute Hospitals NHS Trust,24/08/2017,M & S Equipment,Capital,FUJIFILM UK LTD,0001696660,"25,248.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,24/08/2017,M & S Equipment,Capital,FUJIFILM UK LTD,0001696660,"8,976.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,24/08/2017,M & S Equipment,Capital,FUJIFILM UK LTD,0001696660,"1,800.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,24/08/2017,M & S Equipment,Capital,G E MEDICAL SYSTEMS,0001682998,"91,405.40"
Department of Health,The Pennine Acute Hospitals NHS Trust,30/08/2017,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001698647,"43,561.15"
Department of Health,The Pennine Acute Hospitals NHS Trust,30/08/2017,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001698647,"1,067.85"
Department of Health,The Pennine Acute Hospitals NHS Trust,30/08/2017,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001698637,"26,122.17"
Department of Health,The Pennine Acute Hospitals NHS Trust,17/08/2017,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001695896,"31,691.87"
Department of Health,The Pennine Acute Hospitals NHS Trust,17/08/2017,Blood Gas Analyser,Estates and Facilities,GENMEDME LIMITED,0001695661,"69,300.46"
Department of Health,The Pennine Acute Hospitals NHS Trust,17/08/2017,Reagent,Estates and Facilities,GENMEDME LIMITED,0001695659,"62,096.82"
Department of Health,The Pennine Acute Hospitals NHS Trust,17/08/2017,Reagent,Estates and Facilities,GENMEDME LIMITED,0001695660,"38,862.25"
Department of Health,The Pennine Acute Hospitals NHS Trust,17/08/2017,Bld Contract Pennine Acute,Capital,H BELL & SONS (ROCHDALE) LTD,0001696030,"29,273.88"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,North Manchester Pharmacy,North Manchester Pharmacy,HEALTHCARE AT HOME LTD,0001693280,"51,684.91"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,North Manchester Pharmacy,North Manchester Pharmacy,HEALTHCARE AT HOME LTD,0001693286,"51,341.10"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,North Manchester Pharmacy,North Manchester Pharmacy,HEALTHCARE AT HOME LTD,0001693300,"63,216.31"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,North Manchester Pharmacy,North Manchester Pharmacy,HEALTHCARE AT HOME LTD,0001694308,"26,058.36"
Department of Health,The Pennine Acute Hospitals NHS Trust,17/08/2017,Hospital Saturday Fund,Hospital Saturday Fund,HEALTHSURE GROUP LTD,0001694632,"32,059.61"
Department of Health,The Pennine Acute Hospitals NHS Trust,03/08/2017,Legal Charges,Corporate Services Other,HILL DICKINSON LLP,0001683309,"48,449.90"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/08/2017,Apprenticeship Levy Recharge,Apprenticeship Levy Recharge,HMRC GOVERNMENT EMPLOYERS A/C,0001696432,"183,729.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/08/2017,Springhill Hospice,Springhill Hospice,HMRC GOVERNMENT EMPLOYERS A/C,0001696420,"65,510.26"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/08/2017,NI Ers,NI Ers,HMRC GOVERNMENT EMPLOYERS A/C,0001696432,"3,928,686.02"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/08/2017,NI Ers,NI Ers,HMRC GOVERNMENT EMPLOYERS A/C,0001696504,"17,517.35"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/08/2017,NI Ees,NI Ees,HMRC GOVERNMENT EMPLOYERS A/C,0001696432,"2,764,248.75"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/08/2017,Income Tax,Income Tax,HMRC GOVERNMENT EMPLOYERS A/C,0001696432,"5,622,905.81"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/08/2017,Income Tax,Income Tax,HMRC GOVERNMENT EMPLOYERS A/C,0001696504,"12,294.58"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/08/2017,Student Loan,Student Loan,HMRC GOVERNMENT EMPLOYERS A/C,0001696432,"413,087.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/08/2017,Maternity Pay,Maternity Pay,HMRC GOVERNMENT EMPLOYERS A/C,0001696432,"-247,916.04"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/08/2017,Paternity Pay,Paternity Pay,HMRC GOVERNMENT EMPLOYERS A/C,0001696432,"-4,386.58"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/08/2017,Adoption Pay,Adoption Pay,HMRC GOVERNMENT EMPLOYERS A/C,0001696432,"-1,297.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,17/08/2017,Non NHS Services General,Integrated & Community Service,INHEALTH LTD,0001679917,"51,761.29"
