Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Reference,Amount
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Laboratory Reagents,Histopathology & Cyctology Tw,A Menarini Diagnostics,346731,45599.4
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Laboratory Reagents,Biochemistry Trustwide,Abbott Laboratories Ltd,346622,31436.26
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Ext Contr Laundry,Laundry Ddh,Airedale Nhs Trust,13776,25236.54
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,26/04/2010,Ext Contr Laundry,Laundry Ddh,Airedale Nhs Trust,14004,32354.54
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Commercial Sector,Mri Service,Alliance Medical Ltd,346483,84330.41
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Nonres Bldg Adds Purchased,Balance Sheet,Balfour Beatty Construction Ltd,346350,791477.65
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,26/04/2010,Laboratory Reagents,Microbiology Trustwide,Becton Dickinson Uk Ltd,339569,25349.47
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,26/04/2010,Laboratory Reagents,Microbiology Trustwide,Becton Dickinson Uk Ltd,350839,25129.44
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Stocks Finished Goods,Balance Sheet,Bio Products Laboratory,14196,28015
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Staff Consultancy & Suppt,Order Communications,Calderdale And Huddersfield Foundation Trust,13777,35848
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,26/04/2010,External Consultancy Fees,Myht Nurse Management,Care Quality Commision,348613,75000
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,19/04/2010,Aucc Additions Donated,Balance Sheet,Consort Healthcare (Mid Yorkshire)  Ltd,346690,162482.53
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,26/04/2010,Info Tech Security Costs,Hospital Development Project,Consort Healthcare (Mid Yorkshire)  Ltd,352401,165712.16
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,28/04/2010,Pfi ,Unitary Payment,Consort Healthcare (Mid Yorkshire)  Ltd,353225,191906.49
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,26/04/2010,Computer Hardware Purch,Information Technology,Dell Corporation Ltd,350688,70135.75
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,It Additions,Balance Sheet,Dell Corporation Ltd,351636,86544.63
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,Director,Chief Executive,Department Of Health,13808,37954.48
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Computer Software/License,Myht Nurse Management,Dr Foster Ltd,345439,31500
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,23/04/2010,Payroll Ded'Ns N/S <1yr,Balance Sheet,Edenred,12134,39709.29
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,External Data Contracts,Edms Project,Edm Group Ltd,347767,77862
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,Audit Fees: Statutory,Myht Finance Team,Grant Thornton,346403,51406.25
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Nonres Bldg Adds Purchased,Balance Sheet,Grove Building Solutions Ltd,346185,48500
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Computer Software/License,Information Technology,Healthcare Software Systems,346532,39644.5
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Commercial Sector,Mri Service,Inhealth Ltd,346300,43948.08
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Medical Equip Additions Purch,Balance Sheet,Inspiration Healthcare Ltd,346164,48586.25
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Medical Equip Additions Purch,Balance Sheet,Inspiration Healthcare Ltd,346194,48586.25
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Medical Equip Additions Purch,Balance Sheet,Karl Storz Endoscopy Uk Ltd,351750,415985.6
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Medical Equip Additions Purch,Balance Sheet,Karl Storz Endoscopy Uk Ltd,351751,-407134.85
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Fm Computer Contracts,Information Technology,Kcom,336540,-81906.37
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,It Additions,Balance Sheet,Kcom,346429,51997.43
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Software Additions Purchased,Balance Sheet,Kcom,346429,37152.64
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Laboratory External Tests,Biochemistry Trustwide,Leeds Teaching Hospitals Nhs Trust,14156,58207
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Laboratory External Tests,Haematology Trustwide,Leeds Teaching Hospitals Nhs Trust,14157,35352
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Laboratory External Tests,Haematology Trustwide,Leeds Teaching Hospitals Nhs Trust,14158,54251
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Laboratory External Tests,Histopathology & Cyctology Tw,Leeds Teaching Hospitals Nhs Trust,14158,84373
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Laboratory External Tests,Histopathology & Cyctology Tw,Leeds Teaching Hospitals Nhs Trust,14160,29073
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Laboratory External Tests,Microbiology Trustwide,Leeds Teaching Hospitals Nhs Trust,14159,48312
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Laboratory External Tests,Pathology Management Trustwide,Leeds Teaching Hospitals Nhs Trust,13742,624077
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Laboratory External Tests,Pathology Management Trustwide,Leeds Teaching Hospitals Nhs Trust,14208,-624077
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Senior Lecturer,General Surgery - Trustwide,Leeds Teaching Hospitals Nhs Trust,13848,-69081.04
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Senior Lecturer,General Surgery - Trustwide,Leeds Teaching Hospitals Nhs Trust,13898,-40951.99
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Medical Equip Additions Purch,Balance Sheet,Leica Microsystems Uk Ltd,344728,28115.75
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,01/04/2010,Medical Records Library,Packing & Storeage,Magnum Services,12089,34948.5
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Medical Equip Additions Purch,Balance Sheet,Med Imaging Limited,344727,39919.45
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,Medical Equip Additions Purch,Balance Sheet,Medtronic Ltd,348096,80487.5
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,21/04/2010,Insurance Costs,Myht Losses And Comps,Mitsui Sumitomo Insurance Ltd,348528,60564
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,21/04/2010,Postage & Carriage,General Office Pgh,Neopost Ltd Rcb Credifon A/C,348854,25000
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,Blood Products,Blood Service Trustwide,Nhs Blood And Transplant,13884,37983.32
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,Blood Products,Blood Service Trustwide,Nhs Blood And Transplant,13886,111300.5
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,Blood Products,Blood Service Trustwide,Nhs Blood And Transplant,13889,46595.2
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,Blood Products,Blood Service Trustwide,Nhs Blood And Transplant,13966,28283.72
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Blood Products,Blood Service Trustwide,Nhs Blood And Transplant,14070,46595.2
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Blood Products,Blood Service Trustwide,Nhs Blood And Transplant,14072,111300.5
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Blood Products,Blood Service Trustwide,Nhs Blood And Transplant,14074,37983.32
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Fp10s,A&E Ddh,Nhs Business Services Authority,13743,94.9
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Fp10s,Clinical Haematology Ddh,Nhs Business Services Authority,13743,9437.58
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Fp10s,Clinical Haematology Pgi,Nhs Business Services Authority,13743,4216.93
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Fp10s,Ent Pgh,Nhs Business Services Authority,13743,1313.72
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Fp10s,General Medicine Ddh,Nhs Business Services Authority,13743,1206.6
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Fp10s,General Medicine Pgh,Nhs Business Services Authority,13743,11.1
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Fp10s,General Medicine Pgi,Nhs Business Services Authority,13743,27.5
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Fp10s,General Surgery - Trustwide,Nhs Business Services Authority,13743,1813.95
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Fp10s,Neurology Pgh,Nhs Business Services Authority,13743,192.22
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Fp10s,Ophthalmology Clay,Nhs Business Services Authority,13743,4785.65
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Fp10s,Rheumatology Pgh,Nhs Business Services Authority,13743,928.81
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Fp10s,Rheumatology Pgi,Nhs Business Services Authority,13743,330.69
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Fp10s,Urology Pgh,Nhs Business Services Authority,13743,3961.3
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Fp10s,A&E Ddh,Nhs Business Services Authority,14163,32.4
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Fp10s,Clinical Haematology Ddh,Nhs Business Services Authority,14163,28109.56
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Fp10s,Clinical Haematology Pgi,Nhs Business Services Authority,14163,16584.33
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Fp10s,Ent Pgh,Nhs Business Services Authority,14163,1987.09
