CPS outcomes by principal offence category suffolk,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,117,94.3%,20,5.7%
C Sexual Offences,5,66.7%,1,33.3%
D Burglary,17,95.0%,3,5.0%
E Robbery,4,85.7%,3,14.3%
F Theft And Handling,133,95.4%,7,4.6%
G Fraud And Forgery,7,100.0%,2,0.0%
H Criminal Damage,46,86.8%,1,13.2%
I Drugs Offences,46,97.7%,4,2.3%
J Public Order Offences,96,91.4%,3,8.6%
K All Other Offences (excluding Motoring),26,90.7%,4,9.3%
L Motoring Offences,322,95.3%,23,4.7%
Admin Finalisations,0,0.0%,10,100.0%
TOTAL,819,91.0%,81,9.0%
