Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/06/2015,Subsistence UK -UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",99192,4,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/06/2015,Subsistence UK -Default,Trade Group - Service Delivery,"Personal Expense, Name Witheld",99192,20,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/06/2015,Mileage Allowance UK -UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",99192,148.6,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/06/2015,Other Travel -UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",99218,4,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/06/2015,Subsistence UK -UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",99218,5,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/06/2015,Other Travel -UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",99218,6.6,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/06/2015,Subsistence UK -UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",99218,15,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/06/2015,Rail Travel UK -UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",99218,15.2,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/06/2015,Other Travel -UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",99218,53,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/06/2015,Mileage Allowance UK -UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",99218,167.45,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/06/2015,Other Travel -UKTI (BIS) Devolved Admin,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",99219,4.15,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/06/2015,Subsistence UK -UKTI (BIS) Devolved Admin,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",99219,11.94,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/06/2015,Taxi Services UK -UKTI (BIS) Devolved Admin,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",99219,29.42,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/06/2015,Mileage Allowance UK -UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",99220,55.35,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/06/2015,Taxi Services UK -UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",99221,6,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/06/2015,Subsistence UK -UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",99221,20,,,EMPLOYEE,,,Administration
