Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,24/10/2012,Travel and subsistence UK,Patents Directorate,JK ExecutiveTravel,76,6,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,26/10/2012,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSIN828604,17075.69,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,02/10/2012,Computer Hardware,Business Support Directorate,Computacenter (UK) ltd,3804231877,28375.53,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,23/10/2012,Computer Capital,Finance Directorate,DSG Retail Ltd,11542190,4146.94,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,10/10/2012,Software Development,Trade Marks Directorate,European Dynamics,12215,401335.5,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,10/10/2012,Agency Staff,Innovation Directorate,Acorn Recruitment Ltd,650348,283.5,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,19/10/2012,Agency Staff,Innovation Directorate,Acorn Recruitment Ltd,652030,850.5,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,05/10/2012,Agency Staff,Innovation Directorate,Acorn Recruitment Ltd,649479,909.01,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,17/10/2012,Agency Staff,Innovation Directorate,Acorn Recruitment Ltd,651200,912.19,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,26/10/2012,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5368772,648.46,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,01/10/2012,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5355413,980.59,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,04/10/2012,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5357045,996.41,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,17/10/2012,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5363889,1107.12,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,11/10/2012,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5360536,1154.57,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,25/10/2012,Agency Staff,Copyright and IP Enforcement Directorate,Acorn Recruitment Ltd,652822,314.4,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,31/10/2012,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5369758,618.12,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,01/10/2012,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5355405,927.9,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,09/10/2012,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5360063,1082.56,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,03/10/2012,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5357413,1545.3,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,09/10/2012,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5360064,1545.3,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,16/10/2012,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5363311,1545.3,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/10/2012,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5369011,1545.3,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,17/10/2012,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5363310,1546.5,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,04/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,650333,180.18,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,18/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,652015,330.34,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,24/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,652828,426.43,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,31/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,653618,471.47,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,15/10/2012,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5362423,1405.92,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,02/10/2012,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5356740,1757.4,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,10/10/2012,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5360383,1757.4,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,24/10/2012,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5366865,1757.4,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,31/10/2012,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5369740,1757.4,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,25/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,652826,167.74,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,25/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,652842,354.37,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,25/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,652821,370.99,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,25/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,652835,390.24,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,02/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,650331,428.02,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,09/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,651185,428.02,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,19/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,652013,428.02,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,02/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,650338,441.34,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,09/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,651191,441.34,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,19/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,652020,441.34,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,25/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,652834,441.34,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,02/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,650345,444.47,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,09/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,651198,444.47,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,19/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,652026,444.47,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,02/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,650327,465.31,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,09/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,651180,465.31,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,19/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,652009,465.31,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,09/10/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,651192,481.3,Not applicable
