Minister,Date,Name of organisation or individual,Purpose of meeting,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",02/07/2015,Women's International League for Peace and Freedom,To discuss human rights and Preventing Sexual Violence in Conflict,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",07/07/2015,Meeting with the International Committee of the Red Cross ,To discuss human Rights and Preventing Sexual Violence in Conflict (PSVI),
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",21/07/2015,European Union Rule of Law Mission in Kosovo,To discuss human rights and Preventing Sexual Violence in Conflict,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",23/07/2015,Physicians for Human Rights ,To discuss human rights and preventing Sexual violence in conflict,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",23/07/2015,Women’s International League for peace and Freedom,To discuss human rights and preventing Sexual violence in conflict,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",23/07/2015,Amnesty international,To discuss human rights and preventing Sexual violence in conflict,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",23/07/2015,Save the children,To discuss human rights and preventing Sexual violence in conflict,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",23/07/2015,Care international ,To discuss human rights and preventing Sexual violence in conflict,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",23/07/2015,Human Rights Watch ,To discuss human rights and preventing Sexual violence in conflict,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",23/07/2015,London School of Economics ,To discuss human rights and preventing Sexual violence in conflict,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",23/07/2015,World Vision ,To discuss human rights and preventing Sexual violence in conflict,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",23/07/2015,Tear Fund,To discuss human rights and preventing Sexual violence in conflict,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",23/07/2015,War Child ,To discuss human rights and preventing Sexual violence in conflict,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",23/07/2015,Church of England,To discuss human rights and preventing Sexual violence in conflict,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",23/07/2015,"Executive Director of the Women's Initiatives for Gender Justice,",To discuss human rights and Preventing Sexual Violence in Conflict,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",30/07/2015,"International Red Cross, Bristol University, Action Aid, Amnesty International, Christian Solidarity Worldwide, Human Rights Watch",To discuss human rights policy,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",14/07/2015,Inspirational Women’s Network,To discuss human rights.,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",29/08/2015,Meeting with China National Climate Change Experts Committee,To discuss climate change. ,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",14/09/2015,Free Yezdi Foundation,To discuss Human Rights & PSVI,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",31/08/2015,"Global Development Editor, The Guardian",To discuss  Human Rights and & PSVI,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",31/08/2015,Vice-President of the International Committee of the Red Cross,To discuss Human Rights and & PSVI,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",31/08/2015,"NATO Special Representative for Women, Peace and Security",To discuss Human Rights and & PSVI,
"Minister of State, Rt Hon Baroness Anelay of St Johns DBE",31/08/2015,"Director of the Refugee Law Project, Uganda",To discuss Human Rights and & PSVI,
James Duddridge MP – Parliamentary Under Secretary of State,Nil Return,,,
"Tobias Ellwood MP, Parliamentary Under Secretary of State",08/07/2015,Alicia Arrigoni (US Hydrologist),Discuss Mosul Dam,
"Tobias Ellwood MP, Parliamentary Under Secretary of State",15/07/2015,"David Mepham, HRW",Discuss Human Rights in region,
"Tobias Ellwood MP, Parliamentary Under Secretary of State",16/07/2015,Jewish Leadership Council,Discuss MEPP,
"Tobias Ellwood MP, Parliamentary Under Secretary of State",16/07/2015,"Oliver McTernan, Forward Thinking",Discuss MEPP,
"Tobias Ellwood MP, Parliamentary Under Secretary of State",21/07/2015,"Caroline Wyatt, BBC",Discuss persecution of Christians in the Middle East,
"Tobias Ellwood MP, Parliamentary Under Secretary of State",22/07/2015,"Jeremy Bowen, BBC",Discuss situation in the Middle East,
"Tobias Ellwood MP, Parliamentary Under Secretary of State",27/07/2015,"Saad Mohseni, CEO of Moby",Discuss counter extremism and peace building,
"Tobias Ellwood MP, Parliamentary Under Secretary of State",19/08/2015,"Rishi Saha, Facebook",Discuss counter-ISIL comms,
"Tobias Ellwood MP, Parliamentary Under Secretary of State",11/09/2015,Cobham (company based at Bournemouth Airport),Discuss termination of Home Office contract (for security provisions),
"Tobias Ellwood MP, Parliamentary Under Secretary of State",14/09/2015,Archbishop Mouneer and Archbishop of York,Discuss Algerian issues,
