Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Amount
Department of Health,Western Cheshire PCT,20/12/2010,Hlthcre-Foundation Trsts,RBT MID CHESH BLK,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,"505,795.09"
Department of Health,Western Cheshire PCT,15/12/2010,Hlthcre-Foundation Trsts,RM2 S MANCHESTER UNI,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,"28,579.00"
Department of Health,Western Cheshire PCT,20/12/2010,Hcare Srv Rec NHS Trust,RJE N STAFF HOSP,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,"39,159.00"
Department of Health,Western Cheshire PCT,16/12/2010,Hcare Srv Rec NHS Trust,RJE N STAFF HOSP,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,"39,159.00"
Department of Health,Western Cheshire PCT,15/12/2010,Hlthcre-Foundation Trsts,RBL WIRRAL HOSP BLK,WIRRAL PCT,"44,748.00"
Department of Health,Western Cheshire PCT,20/12/2010,Hlthcre-Foundation Trsts,RBL WIRRAL HOSP BLK,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,"1,331,298.75"
Department of Health,Western Cheshire PCT,02/12/2010,Minor Works,ESTATES OPERATIONAL CAP,CHARTER CONSTRUCTION SERVICES LTD,"65,065.06"
Department of Health,Western Cheshire PCT,15/12/2010,Hlthcre-Foundation Trsts,RW3 C MAN & MAN CHILD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"26,642.00"
Department of Health,Western Cheshire PCT,15/12/2010,Hlthcre-Foundation Trsts,RXA CHESH & WIRR BLK,CHESHIRE & WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,"103,461.50"
Department of Health,Western Cheshire PCT,15/12/2010,Hlthcre-Foundation Trsts,RWW N CHESHIRE HOSP,WARRINGTON & HALTON HOSPITALS NHS FOUNDATION TRUST,"303,146.00"
Department of Health,Western Cheshire PCT,15/12/2010,Hcare Srv Rec NHS Trust,RBN ST HELENS & KNOWS,ST HELENS&KNOWSLEY HOSPITALS NHS TRUST,"62,662.00"
