AreaChecklist,ProposedAuditStartDate,DateAuditCompleted
Asset Management ,2014-07,2014-07
Quarterly Audit of Access Control,2014-07,2014-07
Out of Hours (for June 14),2014-07,2014-07
Cryptographic Audit (Internal check),2014-08,2014-08
Out of Hours (for July 14),2014-08,2014-08
Out of Hours (for Aug 14),2014-09,2014-09
"Policy, Organisation and Incident Management) ",2014-11,2014-11
IT Health Check Info-Assure,2014-11,2014-11
Business Continuity ,2014-12,2014-12
Physical Security (incl. Access Control),2015-01,2015-01
Devolved Office Audit - NI,2015-02,2015-02
Devolved Office Audit - Cardiff ,2015-03,2015-03
Information Security Audit ? Internal Audit Div,2015-03,2015-03
Devolved Office Audit - Aberdeen,2015-04,2015-04
Laptop/ Secret Register ,2015-06,2015-06
X-Ray Screening Test (mail),2015-06,2015-06
Info Security Awareness ,2015-07,2015-07
Cryptographic Audit (AVH),2015-08,2015-09
Spot Checks (AVH & Foss),2015-09,2015-09
Laptop Security,2015-10,2015-10
Compliance,2015-11,2015-11
IT Health Check Info Assure,2015-11,2015-11
Asset Management ,2015-12,2015-12
CI Survey / Devolved Office Audit (Cardiff),2016-01,2016-01
Devolved Office Audit (NI),2016-02,2016-02
Information Security Audit ? Internal Audit Div ,2016-03,2016-03
CESG Crypto Audit,2016-03,2016-03
"Policy, Organisation and Incident Management ",2016-05,2016-05
Physical Security (incl. Access Control),2016-06,2016-06
Email audit,2016-07,2016-07
Laptop/ Secret Register ,2016-08,2016-08
CCTV Self-Assessment ,2016-11,2016-11
Joiners and Leavers,2016-11,2016-11
Business Continuity ,2016-12,2016-12
CCTV signage,2017-01,2017-01
Devolved Office Audit (Cardiff),2017-02,2017-02
Delegate Access on email,2017-02,2017-03
Security Awareness,2017-03,2017-03
Internal Audit,2017-04,2017-04
IT Health Check,2017-04,2017-04
P Drive,2017-05,2017-05
Devolved Office (NI),2017-07,2017-07
Cryptographic Material,2017-08,2017-08
Laptop / SECRET Docs register,2017-09,2017-09
Policy Organisation and Incident Management,2017-10,2017-10
Staff Requiring Building Passes,2017-12,2017-12
AVH Security Sweep,2018-01,2018-01
Devolved Office Audit (Cardiff),2018-02,2018-03
Devolved Office (NI),2018-03,2018-03
