Department for International Development,,,,,,,Accounts 2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consolidated Statement of Comprehensive Net Expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for the year ended 31 March 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2011-12,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,£000,,,£000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Departmental,,,Departmental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note,DFID,Group,,DFID,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administration costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staff costs,8,"61,002","61,002",,"76,707","76,707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other costs,9,"66,730","68,829",,"77,472","79,055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Income,11,"(6,486)","(6,486)",,"(6,070)","(5,977)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Programme expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staff costs,8,"53,325","53,325",,"35,569","35,569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other costs,10,"6,727,035","6,743,088",,"6,908,230","6,924,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Income,11,"(2,814)","(2,189)",,"(6,642)","(5,716)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant in Aid to NDPBs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Administration Grant in Aid,28,"2,144", -   ,,"1,676", -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Programme Grant in Aid,28,"17,399", -   ,,"16,725", -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Operating Cost for the year ended 31 March,,,"6,918,335","6,917,569",,"7,103,667","7,103,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure,,,"6,927,635","6,926,244",,"7,116,379","7,115,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total income,,,"(9,300)","(8,675)",,"(12,712)","(11,693)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Operating Cost for the year ended 31 March,,,"6,918,335","6,917,569",,"7,103,667","7,103,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
