Department,Entity,Supplier Name,Payment Date,Transaction Number,Expense Area,Expense Type,Amount(excluding VAT)
FCO,FCOS,3M UNITED KINGDOM PLC,11-Jul-13,151392,Operations,IS Software,"42,000.00"
FCO,FCOS,ANS GROUP PLC,31-Jul-13,154488,Operations,FCOS IT - Capital,"39,096.24"
FCO,FCOS,CAPGEMINI UK PLC,24-Jul-13,156226,Corporate,IS Software,"36,000.00"
FCO,FCOS,NATIONAL AUDIT OFFICE,19-Jul-13,154806,Corporate,NAO Fees,"50,000.00"
FCO,FCOS,DEFENCE BUSINESS SERVICES FINANCE,19-Jul-13,154078,Services and Logistics,Freight and Transport,"40,243.00"
FCO,FCOS,INTERSERVE FM LTD,24-Jul-13,156408,Client Delivery,FCOS Equipment - Capital,"81,227.57"
FCO,FCOS,DHL LOGISTICS UK LTD,19-Jul-13,155664,Services and Logistics,DHL Exports,"524,634.96"
FCO,FCOS,SOFTWARE AG (UK) LIMITED,10-Jul-13,153395,Operations,IS Software,"89,333.42"
FCO,FCOS,SOFTWARE AG (UK) LIMITED,18-Jul-13,155545,Operations,IS Software,"89,333.42"
FCO,FCOS,SOFTWARE AG (UK) LIMITED,19-Jul-13,153077,Operations,IS Software,"51,915.00"
FCO,FCOS,SIEGENIA AUBI LTD,18-Jul-13,155634,Client Delivery,Equipment,"44,080.00"
FCO,FCOS,SOUTH MIDLANDS COMMUNIC  LTD,8-Jul-13,154562,Client Delivery,IS Hardware,"104,740.00"
FCO,FCOS,SOUTH MIDLANDS COMMUNIC  LTD,8-Jul-13,154555,Client Delivery,IS Hardware,"56,840.00"
FCO,FCOS,WILLIS LIMITED,19-Jul-13,155870,Corporate,Insurance,"49,191.47"
FCO,FCOS,WILLIS LIMITED,19-Jul-13,155876,Corporate,Insurance,"30,000.00"
FCO,FCOS,WILLIS LIMITED,19-Jul-13,155872,Corporate,Insurance,"51,414.24"
FCO,FCOS,WILLIS LIMITED,19-Jul-13,155877,Corporate,Insurance,"52,735.00"
FCO,FCOS,WILLIS LIMITED,19-Jul-13,155867,Corporate,Insurance,"156,046.84"
FCO,FCOS,WILLIS LIMITED,19-Jul-13,155864,Corporate,Insurance,"41,975.73"
FCO,FCOS,OROSTREAM INTERNATIONAL CONTRACTS LTD,25-Jul-13,156461,Client Delivery,Building Maintenance,"26,780.00"
FCO,FCOS,DHL GLOBAL FORWARDING (UK) LTD,10-Jul-13,154954,Services and Logistics,DHL Exports,"457,726.47"
