Title:,"Status of species in the wider marine environment: Marine Seabirds, 1986 to 2010",,
Year:,1986 - 2010,,
Geography:,England,,
Units:,Index (1986) = 100,,
Source:,"British Trust for Ornithology (BTO), Royal Society for the Protection of Birds (RSPB), Joint Nature Conservation Committee (JNCC), Defra",,
URL:,http://www.defra.gov.uk/statistics/environment/biodiversity/,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,
Nat. Statistic:,No,,
Custodian," Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,
Contact:,transparency@defra.gsi.gov.uk,,
Release Date:,Jun-12,,
Notes:,,,
,,,
,,,
,,,
,,,
Year,Seabirds (19),Subsurface Feeding (3),Surface Feeding (5)
1986,100,100,100
1987,104.8,105.7,104.3
1988,102.1,110.4,101.4
1989,103.8,119.2,98.8
1990,99.3,115.8,94.2
1991,93.8,120.8,81.7
1992,111.0,125.5,106.8
1993,104.7,129.3,93.6
1994,94.0,98.8,91.0
1995,99.7,108.3,93.0
1996,95.9,108.3,87.8
1997,100.1,112.6,91.4
1998,90.0,111.1,79.5
1999,94.0,110.6,86.5
2000,95.6,124.7,85.0
2001,100.8,133.9,88.9
2002,105.0,134.2,92.8
2003,104.3,150.9,85.1
2004,98.1,143.5,82.6
2005,100.0,130.4,89.2
2006,104.1,140.3,88.7
2007,101.2,133.8,88.7
2008,98.9,135.6,83.6
2009,103.6,127.8,93.0
2010,103.3,130.4,90.9
