Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/08/2014,PHARMACY PILGRIM,DIAGNOSTICS,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,"53,055.00",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2014,PHARMACY PILGRIM,DIAGNOSTICS,ROCHE PRODUCTS LTD,"40,512.46",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2014,MINOR CLINICAL EQUIPMENT,DIAGNOSTICS,MEDTRONIC LTD,"44,160.00",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/08/2014,PHARMACY,DIAGNOSTICS,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,"47,160.00",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/08/2014,PHARMACY,DIAGNOSTICS,JANSSEN-CILAG LTD,"31,800.00",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/08/2014,PHARMACY,DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"25,406.40",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/08/2014,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"41,911.20",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2014,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"51,688.80",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2014,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"41,911.20",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/08/2014,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"25,354.08",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/08/2014,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"27,293.20",Aug-14
