A3131. Expenditure Over Threshold Report (AP),,,,,,,
,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,30/04/2016,Blood Products,HAEM + BLOOD TRANSFUSION,NHS BLOOD & TRANSPLANT,18375521,"103,917.00"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,30/04/2016,Blood Products,HAEM + BLOOD TRANSFUSION,NHS BLOOD & TRANSPLANT,18568124,"103,917.00"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,30/04/2016,Computer Hardware Purch,Trust internal recharges,BT INET,18309303,"22,530.16"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,30/04/2016,Computer Hardware Purch,HIS programme costs - shared services,INSIGHT DIRECT (UK) LTD,18331990,"360,900.00"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,30/04/2016,Computer Hardware Purch,HIS programme costs - shared services,INSIGHT DIRECT (UK) LTD,18332006,"22,500.00"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,30/04/2016,Computer Hardware Purch,Trust internal recharges,BT INET,18606535,"30,859.41"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,30/04/2016,Computer Maintenance,HIS programme costs - shared services,CCUBE SOLUTIONS LTD,18614948,"101,273.51"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,30/04/2016,Computer Software/License,HIS programme costs - shared services,DE LAGE LANDEN LEASING LTD,18208783,"67,200.00"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,30/04/2016,Computer Software/License,HIS programme costs - shared services,INSIGHT DIRECT (UK) LTD,18331931,"339,830.54"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,30/04/2016,Equip Maint Contracts,RADIOGRAPHY WHISTON,NHS SUPPLY CHAIN,18536216,"91,795.39"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,30/04/2016,Equip Maint Contracts,RADIOGRAPHY WHISTON,INTEGRATED RADIOLOGICAL SERVICES LTD,18536939,"44,212.00"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,30/04/2016,External Consultancy Fees,FINANCE DIRECTORATE HQ,PA CONSULTING SERVICES LTD,18390837,"136,524.00"
